,tweet,sentiment,id,created_at,link
688866,$TSLA rip 20 points since alert.,-1,1291448052478349329,2020-08-06 20:56:24,https://twitter.com/watchjoshtrade/status/1291448052478349329
272326,Big $TSLA EPS miss causes huge crash to levels we haven't seen since... Monday. 🔥,-1,1354558252764291073,2021-01-27 23:33:48,https://twitter.com/meckimac/status/1354558252764291073
1135020,"  The difference in gross margin calculations is there for all to see (eg, excl vs incl dealer/distribution exp). To compare the number $tsla uses to that of other car makers without adjusting for these differences is just mental laziness.",-1,1149652477580414982,2019-07-12 14:11:24,https://twitter.com/Entertained_1/status/1149652477580414982
1312170,"""Self driving probably safe by end of this year."" $TSLA owners sleeping on Autopilot will be relieved.",0,1090744184192012290,2019-01-30 23:50:53,https://twitter.com/wstiles12/status/1090744184192012290
363094," Yes, you were wrong about $TSLA and $NKLA... JPM knows better.  XD",0,1343293674252361732,2020-12-27 21:32:23,https://twitter.com/Fabian_Flores_J/status/1343293674252361732
317941,So like dude  is a 100% fake buy and hold $tsla guy?  Like he just trades Tesla and tries to get new commissions? Really?,0,1348137218792067073,2021-01-10 06:18:54,https://twitter.com/EverydaySocial1/status/1348137218792067073
1160003,"     I just called my Mercedes dealer for my annual inspection; they are coming to my garage Wednesday to pick up my car, inspect it, and return it. And that is just a courtesy they offer, not part of a service contract. $TSLA",-1,1138190781087457281,2019-06-10 23:06:43,https://twitter.com/MotherCabriniNY/status/1138190781087457281
346675,"  $TSLA is the biggest #BUBBLE in history!   #Tesla has a trailing-twelve-months P/E of 98.54X compared to the Automotive - Domestic industry's P/E of 28.78X.   But who cares?   #FED -&gt; ""#Economy is in a best place ever -&gt; on the middle of #pandemic and #Recession/#Depression""  ",-1,1345890056209379329,2021-01-04 01:29:29,https://twitter.com/DiyImplementer/status/1345890056209379329
471285,"SpaceX, NASA set for first operational astronaut mission to space $TSLA  ",1,1328141496814612480,2020-11-16 02:03:03,https://twitter.com/newsfilterio/status/1328141496814612480
116186,* James Anderson to Retire from Baillie Gifford  $TSLA,0,1373240306389426178,2021-03-20 12:49:37,https://twitter.com/davidtayar5/status/1373240306389426178
211620,Oh yea - spent every spare hour for the whole of June 2019 looking into Tesla.  Then dumped life savings into $TSLA in July 2019  $234 (or $48.60 post split)  Best thing I have ever done in my life 😇,1,1362138575463194627,2021-02-17 21:35:18,https://twitter.com/KrestTest/status/1362138575463194627
661594,$TSLA $1.16M CALL Block detected  $2300CALLS   11/20 exp  77  150.30  Time: 3:25pm ET,1,1296290407412830209,2020-08-20 05:38:11,https://twitter.com/InvestInThyself/status/1296290407412830209
259633,Would  be mad at me if I sold my $TSLA stock I bought at $420 to buy $GME? This is my favorite share in my small portfolio. 😢,1,1355907260002820106,2021-01-31 16:54:16,https://twitter.com/TheGunsNMoses/status/1355907260002820106
119574,"By contrast, if $TSLA rallies a ton when she issues a new target of say $2500 a share, we should all stop thinking the market is remotely efficient.",0,1372716872290947079,2021-03-19 02:09:40,https://twitter.com/HankMFRearden/status/1372716872290947079
824251,"if you invested in $TSLA, now it’s the time to diversify with $NIO. This year will go to the moon.",-1,1259428101970259968,2020-05-10 12:20:33,https://twitter.com/MinderStep/status/1259428101970259968
1100103,And the battery life is MUCH lower so distance traveled is far shorter in #TucanSam  BTW and hopefully this will put an end to that accident silliness. $tsla,-1,1169615365967622144,2019-09-05 16:16:48,https://twitter.com/apppro1/status/1169615365967622144
121184,"who didn’t saw this FUD coming to $TSLA for going to bed with #Bitcoin?🙄#ESG  “Tesla's(TSLA) $1.5bn (£1bn) investment in bitcoin(BTC-USD) has a carbon footprint equivalent to the annual emissions of 1.8m cars, according to estimates from Bank of America.”  ",-1,1372549712771829766,2021-03-18 15:05:26,https://twitter.com/c4chaos/status/1372549712771829766
678335,Does this apply to people who work at $tsla?,0,1293702734537883649,2020-08-13 02:15:42,https://twitter.com/ValueDissenter/status/1293702734537883649
174635,So much for $TSLA being battery constrained. #tesla,1,1366499978345127937,2021-03-01 22:25:57,https://twitter.com/TeslaNeutral/status/1366499978345127937
1093752,What a POS weasel. $TSLA Elon Musk claims he didn't intend to accuse British diver of pedophilia,-1,1173795846707654656,2019-09-17 05:08:32,https://twitter.com/crypto_gordon/status/1173795846707654656
1116225,"Ouch.  Musk, why you gotta be that way?   Oh yeah, cuz $TSLA is structurally insolvent.",-1,1158863336118857728,2019-08-07 00:12:04,https://twitter.com/bgrahamdisciple/status/1158863336118857728
415183,$tsla approaching 700 pre market,1,1336244875642212353,2020-12-08 10:42:59,https://twitter.com/kyee/status/1336244875642212353
393802,Why NIO Stock Is Higher Today  #stocks $NIO $TSLA $XPEV,0,1339145795090649094,2020-12-16 10:50:12,https://twitter.com/RGianoli/status/1339145795090649094
662496,"$TSLA now also cooperating with Cembra Money (former GE Capital) to offer 0.99% leasing.  Hey store manger, if you have to order before 9th of August to profit from it, why have you not taken your poster down yet? (pic taken yesterday)  4/14  ",1,1296136090533986305,2020-08-19 19:24:59,https://twitter.com/CallerNaked/status/1296136090533986305
1044112,$TSLA Monthly Chart....Sure looks like all time highs coming to me,1,1197637617270972421,2019-11-21 23:07:13,https://twitter.com/TradetheAction/status/1197637617270972421
948657,Is $TSLA a shitcoin?,-1,1224698189535686656,2020-02-04 15:16:16,https://twitter.com/Pswole/status/1224698189535686656
23373," Not sure, I'm HODLing my $TSLA shares tight though.",1,1385901768702373889,2021-04-24 12:21:45,https://twitter.com/LeopoldStotch32/status/1385901768702373889
1273572,"$TSLA how do you cut charge times by 50%, crazy news!!",1,1103652843708395521,2019-03-07 14:45:17,https://twitter.com/gold959/status/1103652843708395521
1222102,"via barronsonline: Tesla Stock Fell, With Its Self-Driving Technology on Display   $tsla",-1,1120427476579233792,2019-04-22 22:41:41,https://twitter.com/FinTwitTSLA/status/1120427476579233792
959706,Appropriately named the model WHY?? Lol 😂 $tsla $tslaq,-1,1223308058048303114,2020-01-31 19:12:23,https://twitter.com/Commuternyc/status/1223308058048303114
678002,US STOCKS-Futures jump as higher oil prices boost energy stocks $XOM $CVX $TSLA,1,1293786524853600256,2020-08-13 07:48:39,https://twitter.com/newsfilterio/status/1293786524853600256
270225,"$TSLA fell. I’m not surprised. If you are scratching your head, the big guys sold (or shorted?) many 00’s of millions at the peak b/w $889-864 today. Plus other profit taking. Recall CoCo warned about buying right b4 ER? TSLA was the same in Q4.",-1,1354672637016850432,2021-01-28 07:08:19,https://twitter.com/CoCoAndPebble/status/1354672637016850432
939818,Pumping $TSLA 1k tomorrow,1,1224926603756523520,2020-02-05 06:23:55,https://twitter.com/Crypto_Doug/status/1224926603756523520
748505,I don't mean instead of $TSLA..that's for sure..i mean in addition to...you know...diversifying.,0,1281346027463811076,2020-07-09 23:54:33,https://twitter.com/garjen99/status/1281346027463811076
183228,Coordinated effort to bring $TSLA price down so that funds can load up.,-1,1365013722234716162,2021-02-25 20:00:06,https://twitter.com/privacyfirewall/status/1365013722234716162
772662,"June 26 Friday, $TSLA closed $959.74",0,1276925380541243392,2020-06-27 19:08:29,https://twitter.com/ericdavis221/status/1276925380541243392
755163,"  Shorting a stock is fine, it took me years to be alright with people shorting the stock. The problem is people shorting it and making $tsla and Elon look as bad as possible.   I still would never short anything*",1,1280323479968104450,2020-07-07 04:11:19,https://twitter.com/stephenpallotta/status/1280323479968104450
984477,this is an excellent explainer on how Elon gets paid at . TLDR: it’s completely performance-based. Elon gets paid only when $TSLA performs well &amp; meets certain market cap milestones 💪😎🔥 Elon Getting Paid? Elon Musk’s Compensation Plan Explained.,1,1217596666053742592,2020-01-16 00:57:21,https://twitter.com/c4chaos/status/1217596666053742592
878844,"$tsla apologists a la    This is what you enable.  The deaths and length of crisis are mostly on Musk’s hands, but yours are also pressing the trigger.",-1,1241096206304116744,2020-03-20 21:16:08,https://twitter.com/orthereaboot/status/1241096206304116744
500278,I think this is one of the last days that 420 is in our $TSLA 🪑🪑,0,1319004456814510084,2020-10-21 21:55:43,https://twitter.com/navincho/status/1319004456814510084
1085590,"Quite small volume and price range so far today for $TSLA shares  Fredlectrek's email leak last week provided a killjoy somewhat for my plan to throw out some estimated price moves from different delivery prints, but the walk back may re-kindle that idea",0,1178678044183138307,2019-09-30 16:28:39,https://twitter.com/tslaqpodcast/status/1178678044183138307
1156564,Can’t wait till $TSLA ‘s earnings. I think  has something up his sleeves 🎯 — might see a huge squeeze if he does,1,1138958874801856513,2019-06-13 01:58:51,https://twitter.com/umarashraf28/status/1138958874801856513
138978,HODL the line $TSLA,1,1369746213986304000,2021-03-10 21:25:20,https://twitter.com/ChrisDungeon/status/1369746213986304000
832318,"As for a lame collection of bots, no one has more Twitter bots, and no one can set in motion a larger army of flying monkeys to scream and fling scat at Musk detractors, than Engineer Elon. More spending on social media skunking than auto R&amp;D. $tsla",-1,1257148732790972417,2020-05-04 05:23:09,https://twitter.com/montana_skeptic/status/1257148732790972417
726058,"$TSLA I am the king of Tesla stock yes I said it, I am the all seeing eye. I am posting this to make you all know that I have seen the future. I am telling anyone who reads this Tesla will close 1,000 today. You ask yourself but wait that’s a 30-35% drop. Well it’s basic study.",1,1284073153044647938,2020-07-17 12:31:11,https://twitter.com/2iger_/status/1284073153044647938
1277629,"  is the last person on earth that I’d listen to when it comes to stock picking. The guy basically bankrupted himself by shorting. Whatever he says, do the opposite. $TSLA #Tesla #StockMarket #EV #Model3 #S3XY  ",1,1102723943943864320,2019-03-05 01:14:10,https://twitter.com/american_crown/status/1102723943943864320
1314991,How long is  going to be AWOL on the consumer fraud at $TSLA ??? BBB gives them an F for resolving customer complaints.  There are aluminum siding salesmen with better grades than that.,-1,1090057188704428038,2019-01-29 02:21:00,https://twitter.com/DonutShorts/status/1090057188704428038
729905,"… Removes the powerful ""forcing mechanism"" of market turbulence for Congressional/Administration action. You can argue until you're blue in the face that things ""shouldn't"" be that way. But they are. Which is why things like $TSLA shares can rally a thousand bucks in a few...",1,1283381879257931776,2020-07-15 14:44:18,https://twitter.com/RealMikeLarson/status/1283381879257931776
50615,We bag holders have $TSLA and $DOGE forever,1,1382237160041033733,2021-04-14 09:39:54,https://twitter.com/germain_franck/status/1382237160041033733
802414,$TSLA  buy them for a longer expiration,1,1267501730377478144,2020-06-01 19:02:16,https://twitter.com/Tonyv578/status/1267501730377478144
263327,Manipulating $TSLA while crying about $GME,1,1355217754698227716,2021-01-29 19:14:26,https://twitter.com/28delayslater/status/1355217754698227716
264823,This says a lot about quality of the products! Not all EVs are the same! One is wayyyy better than the rest! $TSLA,1,1355150829607673857,2021-01-29 14:48:29,https://twitter.com/AlCocan/status/1355150829607673857
777084,"$TSLA - ""There is no evidence for risks in Tesla right now.""  Hmm...I can't think of any either... $TSLAQ",0,1275481965882494978,2020-06-23 19:32:52,https://twitter.com/sbalatan/status/1275481965882494978
755289,And then you stop and look at the future...  July- Beat Earnings? August - S&amp;P500 Inclusion? September - Battery Day.  Can anything stop $TSLA??,1,1280309642338471938,2020-07-07 03:16:20,https://twitter.com/CanIBeRell/status/1280309642338471938
609351,"Today is the day I thought we'd have on Monday, never could've imagined that post split $aapl $tsla would actually draw in buyers... The logic is still baffling to me. You had weeks, months to buy at least a fractional share. The chase earlier this week was pure greed/ignorance.",1,1301647067526230016,2020-09-04 00:23:38,https://twitter.com/ASAP17/status/1301647067526230016
1308279,7/ My background for this - I’ve witnessed many dealerships take used cars directly to auction and turn them into cash upon trade in. There’s been some rumors of $TSLA doing this. This generally creates an expense as you can normally sell the same car for more to a retail cust.,1,1091548394370355201,2019-02-02 05:06:31,https://twitter.com/nhparks/status/1091548394370355201
930715,I've heard a lot of (reasonable) explanations why $TSLA has still a lot of potential to grow.   I'd be interested now to hear (reasonable) explanations why it is unlikely it will reach $300B market cap in say 5 years.   Anyone?,0,1225638439778844672,2020-02-07 05:32:29,https://twitter.com/pdolega/status/1225638439778844672
265194,Is he? Or does he want us to stop buying $Tsla calls? #HedgeFundMusk,1,1355098515064680453,2021-01-29 11:20:37,https://twitter.com/hbastermajian/status/1355098515064680453
109331,I lost all hope today. Selling all my $TSLA and growth stocks to buy $CPR and $BRK tomorrow.,-1,1374234364243013633,2021-03-23 06:39:39,https://twitter.com/chillyyyyyyyyyy/status/1374234364243013633
550187,I’ve also been saying $600 for $TSLA in the next 12 months. That’s why I’m loading up under $400.,1,1309353542705176584,2020-09-25 06:46:25,https://twitter.com/JonahLupton/status/1309353542705176584
721487,The Goob strikes again on $TSLA $1600 #tlchat #daytrading,0,1285267229605605378,2020-07-20 19:36:01,https://twitter.com/MccaslinAndy/status/1285267229605605378
881244,Makes perfect sense based on the NAZI 5th Column theory of Rogue CIA agents in cahoots with Drug Cartel funneling their products in $TSLA Cars. They need alternative sources of distribution now that madness of 100% production in face of total shutdown of all economies is upon US.,0,1240607710086926337,2020-03-19 12:55:02,https://twitter.com/funy1x/status/1240607710086926337
217702,"SmartOptions® Unusual Activity Alert (Delayed)  $TSLA $1020 Calls 06/18/2021 Exp  Trade Volume: 631 Contracts  $5,994,500 was traded now.  Current Stock Price: $869.27  Trade Type: Block  Follow the Money &amp; Trade Options with Our SmartOptions® Ai.  ",0,1361401419614461952,2021-02-15 20:46:06,https://twitter.com/SmartOptionsAi/status/1361401419614461952
579644,$TSLA    looks like Mr. Elon's stoink is trying to make a lil run at things here,1,1305883170668240896,2020-09-15 16:56:24,https://twitter.com/burner_trading/status/1305883170668240896
383493,ooooooooooooh shiiiiiiit i'm done $tsla,0,1340039610085289992,2020-12-18 22:01:54,https://twitter.com/RosendoChV/status/1340039610085289992
1308027,"#Tesla Model 3 tops the Consumer Reports list of the most loved cars, see here:   $TSLA #TeslaMotors #TeslaModel3 #ElectricVehicle #ElonMusk  ",1,1091743787511177218,2019-02-02 18:02:57,https://twitter.com/evannex_com/status/1091743787511177218
