id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355364559612235777,1355129168879624193,2021-01-30 04:57:47 CET,2021-01-30,04:57:47,+0200,1293603872779440128,investnsave,Timothy,,@RealMimileaks @flatpancakesss It’s for stocks lmao $AAP,en,[],[],[],0,0,0,[],['aap'],https://twitter.com/InvestNSave/status/1355364559612235777,False,,0,,,,,,,,"[{'screen_name': 'RealMimileaks', 'name': 'Louis // Mimileaks', 'id': '320281757'}, {'screen_name': 'flatpancakesss', 'name': 'pancake', 'id': '932522595915894784'}]",,,,
1355281227012562960,1355281227012562960,2021-01-29 23:26:39 CET,2021-01-29,23:26:39,+0200,716737614771044352,optioncharts,max pain,,$AAP Implied Volatility expiration 02/19/2021 #maxpain #options  https://t.co/C2qUQR8tw9  https://t.co/lCYCpgAMHk,en,[],['http://maximum-pain.com/iv/AAP?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/Es7tGCzW4AAIFb6.jpg'],0,0,0,"['maxpain', 'options']",['aap'],https://twitter.com/optioncharts/status/1355281227012562960,False,,1,https://pbs.twimg.com/media/Es7tGCzW4AAIFb6.jpg,,,,,,,[],,,,
1355238308872409088,1354893218106761222,2021-01-29 20:36:06 CET,2021-01-29,20:36:06,+0200,53921288,streetballer09,StreetBaller,,@Willfromchina_ The TOP Holdings of Melvin Capital ARE tanking $FISV $BABA $BKNG $EXPE $LB $AAP $AMZ $AZO @StockSwingAlert @SpacTraderinTra @Jyates5  https://t.co/udiJRwi9ld,en,"[{'screen_name': 'stockswingalert', 'name': 'stock swing alert', 'id': '1240876822981685249'}, {'screen_name': 'spactraderintra', 'name': 'spactraderintraining', 'id': '1313686024741158912'}, {'screen_name': 'jyates5', 'name': 'jerad yates', 'id': '275288972'}]",[],"['https://pbs.twimg.com/media/Es7E-kkWMAMuF48.png', 'https://pbs.twimg.com/media/Es7FYd-W8AMr9FB.png', 'https://pbs.twimg.com/media/Es7FhweXIAIlJsE.png', 'https://pbs.twimg.com/media/Es7FzVlW4AQWtke.png']",1,0,1,[],"['fisv', 'baba', 'bkng', 'expe', 'lb', 'aap', 'amz', 'azo']",https://twitter.com/Streetballer09/status/1355238308872409088,False,,1,https://pbs.twimg.com/media/Es7E-kkWMAMuF48.png,,,,,,,"[{'screen_name': 'Willfromchina_', 'name': 'Will', 'id': '2268448728'}]",,,,
1355211132127096835,1355211132127096835,2021-01-29 18:48:07 CET,2021-01-29,18:48:07,+0200,142816837,momentumptrsllc,MomoprtnrsLLC,,$aap bailed on my feb 65s i didnt take 70 when i had it ...so -40% dont like the MM 50 area for support and rebound not enough time for me,en,[],[],[],0,0,0,[],['aap'],https://twitter.com/MomentumPtrsLLC/status/1355211132127096835,False,,0,,,,,,,,[],,,,
1355173749738201089,1355173749738201089,2021-01-29 16:19:34 CET,2021-01-29,16:19:34,+0200,1239238832484057088,justjoe19791,Justjoe1979,,$FLES I expect there will be a lot more news coming from this account over the next several weeks and months! Anyone invested in $AMZN $EBAY $PRTS $AAP $BWA $LKQ $MGA $SMP $TEN $AZO $ORLY $GPC should have a vested interest in doing some DD on $FLES. Diversify and Win!,en,[],[],[],0,1,2,[],"['fles', 'amzn', 'ebay', 'prts', 'aap', 'bwa', 'lkq', 'mga', 'smp', 'ten', 'azo', 'orly', 'gpc', 'fles']",https://twitter.com/Justjoe19791/status/1355173749738201089,False,https://twitter.com/The4LessGroup/status/1355172246906667009,0,,,,,,,,[],,,,
1355173605752139776,1355173605752139776,2021-01-29 16:19:00 CET,2021-01-29,16:19:00,+0200,2422703600,swingtradebot,SwingTradeBot,,Reversed from Down today: $IIAC $SCHH $VCVC $TBF $PLD $AAP $VNO $MTBC $FXNC $BBRE $VCVCU $CPT $HUDI $VTAQU $SPIB $FCACU $KUKE $SRVR $CLFD $LMACU ...  https://t.co/uuYYhupj1A,und,[],['https://swingtradebot.com/alerts/98-reversed-from-down'],[],0,0,0,[],"['iiac', 'schh', 'vcvc', 'tbf', 'pld', 'aap', 'vno', 'mtbc', 'fxnc', 'bbre', 'vcvcu', 'cpt', 'hudi', 'vtaqu', 'spib', 'fcacu', 'kuke', 'srvr', 'clfd', 'lmacu']",https://twitter.com/SwingTradeBot/status/1355173605752139776,False,,0,,,,,,,,[],,,,
1355169772363780097,1355169772363780097,2021-01-29 16:03:46 CET,2021-01-29,16:03:46,+0200,1354200169542262788,investoromaha,Omaha Investor,,"@jimcramer get better, we miss you $AAP @MadMoneyOnCNBC",en,"[{'screen_name': 'madmoneyoncnbc', 'name': 'mad money on cnbc', 'id': '16451932'}]",[],[],0,0,0,[],['aap'],https://twitter.com/InvestorOmaha/status/1355169772363780097,False,,0,,,,,,,,[],,,,
1355083697918148610,1355083697918148610,2021-01-29 10:21:44 CET,2021-01-29,10:21:44,+0200,374729426,tickeron,Tickeron,,$AAP's in Downtrend: Moving Average Convergence Divergence (MACD) Histogram just turned negative. View odds for this and other indicators:  https://t.co/mCwJUzDI0q #AdvanceAutoParts #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/tbqi7WtbzM,en,[],['https://srnk.us/go/2494835'],['https://pbs.twimg.com/media/Es45cUBUUAU0MMt.jpg'],0,0,0,"['advanceautoparts', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['aap'],https://twitter.com/Tickeron/status/1355083697918148610,False,,1,https://pbs.twimg.com/media/Es45cUBUUAU0MMt.jpg,,,,,,,[],,,,
1354865732748599296,1354865732748599296,2021-01-28 19:55:37 CET,2021-01-28,19:55:37,+0200,348544213,teresatrades,TeresaTrades,,Largest PUT OI decreases $PLTR $VIR $SKT $AAL $TPR $SBUX $LI $T $LB $ANGI $PFE $K $MSFT $GME $GPS $LVS $INTC $AAP $TWTR $ALGN  https://t.co/qaa1wnMB7f #trading #learntotrade #stocks #stockstowatch #daytrading #scalptrading #optionstrading #swingtrading #fintwit #StockMarket #money  https://t.co/3EaFYSHmko,en,[],['http://staygreen.blackboxstocks.com/SHt'],['https://pbs.twimg.com/media/Es1nzkhU4AUM0YO.jpg'],1,0,2,"['trading', 'learntotrade', 'stocks', 'stockstowatch', 'daytrading', 'scalptrading', 'optionstrading', 'swingtrading', 'fintwit', 'stockmarket', 'money']","['pltr', 'vir', 'skt', 'aal', 'tpr', 'sbux', 'li', 't', 'lb', 'angi', 'pfe', 'k', 'msft', 'gme', 'gps', 'lvs', 'intc', 'aap', 'twtr', 'algn']",https://twitter.com/TeresaTrades/status/1354865732748599296,False,,1,https://pbs.twimg.com/media/Es1nzkhU4AUM0YO.jpg,,,,,,,[],,,,
1354836677668306944,1354836677668306944,2021-01-28 18:00:10 CET,2021-01-28,18:00:10,+0200,963495628545327104,stckpro,STCK.PRO,,$AAP $AZO $ORLY NEW ARTICLE :  https://t.co/ceGF0p98w6: Completely Misunderstood By Short Sellers - Significant Upside Ahead  https://t.co/2WE8U3CQho Get all the latest $AAP related news here :  https://t.co/KrYJTjg54f,en,[],"['http://CarParts.com', 'https://www.stck.pro/news/AAP/10638362', 'https://www.stck.pro/news/AAP']",[],0,0,0,[],"['aap', 'azo', 'orly', 'aap']",https://twitter.com/StckPro/status/1354836677668306944,False,,0,,,,,,,,[],,,,
