id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355556727190671367,1355556727190671367,2021-01-30 17:41:23 CET,2021-01-30,17:41:23,+0200,716737614771044352,optioncharts,max pain,,$AEE Implied Volatility expiration 02/19/2021 #maxpain #options  https://t.co/QaXSgRGwMD  https://t.co/uCrT0pSqk6,en,[],['http://maximum-pain.com/iv/AEE?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/Es_nqP4W4AEpx-d.jpg'],0,0,0,"['maxpain', 'options']",['aee'],https://twitter.com/optioncharts/status/1355556727190671367,False,,1,https://pbs.twimg.com/media/Es_nqP4W4AEpx-d.jpg,,,,,,,[],,,,
1355536580014972932,1355536580014972932,2021-01-30 16:21:19 CET,2021-01-30,16:21:19,+0200,1347925610082009092,hcmcguy,don,,*REPOST* REPOST* $HCMC ALERT 🚨 HCMC BUY BUY BUY 0.0007 RESEARCH ASAP! Lawsuit win @elonmusk  $COMS $KDE $ABT $ANF $ADPT $ARXX $AES $AET $AFFX $AFL $A $AKAM $ABS $AL $AA $ATI $AGN $AW $ALL $AT $ALTR $AMZN $AEP $AM $AIG $APCC $AHC $AEE $AEOS $AXP $AMTD $AMGN $AMR $ASO $APC $ADI  https://t.co/7W1gpG6KTg,en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],['https://pbs.twimg.com/media/Es_VUrxXYAEgHmK.jpg'],1,2,1,[],"['hcmc', 'coms', 'kde', 'abt', 'anf', 'adpt', 'arxx', 'aes', 'aet', 'affx', 'afl', 'a', 'akam', 'abs', 'al', 'aa', 'ati', 'agn', 'aw', 'all', 'at', 'altr', 'amzn', 'aep', 'am', 'aig', 'apcc', 'ahc', 'aee', 'aeos', 'axp', 'amtd', 'amgn', 'amr', 'aso', 'apc', 'adi']",https://twitter.com/HCMCGUY/status/1355536580014972932,False,,1,https://pbs.twimg.com/media/Es_VUrxXYAEgHmK.jpg,,,,,,,[],,,,
1355481779449171972,1355481779449171972,2021-01-30 12:43:34 CET,2021-01-30,12:43:34,+0200,374729426,tickeron,Tickeron,,"$AEE in Uptrend: 50-day Moving Average crossed above 200-day Moving Average on August 10, 2020. View odds for this and other indicators:  https://t.co/u6nlGkKv1d #Ameren #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/0JacKWl53M",en,[],['https://srnk.us/go/2497424'],['https://pbs.twimg.com/media/Es-jfsZVoAwWx33.png'],0,0,0,"['ameren', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['aee'],https://twitter.com/Tickeron/status/1355481779449171972,False,,1,https://pbs.twimg.com/media/Es-jfsZVoAwWx33.png,,,,,,,[],,,,
1355154316169007108,1355154316169007108,2021-01-29 15:02:21 CET,2021-01-29,15:02:21,+0200,1022006086872821762,communiststocks,Communist Stock Analysis,,Ameren - $AEE  💰 QUOTE $AEE was DOWN ⬇ on Thu Jan 28 Closed at 73.91 USD for a -1.57% loss from previous close 📉 📉 📉  📊 ANALYSIS Ameren should be nationalized ☭ ☭ ☭,en,[],[],[],0,0,0,[],"['aee', 'aee']",https://twitter.com/communiststocks/status/1355154316169007108,False,,0,,,,,,,,[],,,,
1355023725775581187,1355023725775581187,2021-01-29 06:23:26 CET,2021-01-29,06:23:26,+0200,374729426,tickeron,Tickeron,,"$AEE in Uptrend: 50-day Moving Average moved above 200-day Moving Average on August 10, 2020. View odds for this and other indicators:  https://t.co/fOZjFwLFj7 #Ameren #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/xq75N5W70F",en,[],['https://srnk.us/go/2494449'],['https://pbs.twimg.com/media/Es4C5cbUwAEAnpo.png'],0,1,1,"['ameren', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['aee'],https://twitter.com/Tickeron/status/1355023725775581187,False,,1,https://pbs.twimg.com/media/Es4C5cbUwAEAnpo.png,,,,,,,[],,,,
1354995289933885448,1354995289933885448,2021-01-29 04:30:26 CET,2021-01-29,04:30:26,+0200,1289394571844243456,riskycapitalism,Mr.1/2% LongShortSwingScalping MomentumStockTrader,,I'll consider Long 1 cent &gt; daily high $FTI $INTC $HON $BUD $TOT $SQ $TJX $NSC $ECL $DD $MAR $MTCH $CNC $BCS $CTVA $MPLX $MT $PCG $CCL $TCOM $CUK $RCL $GH $CVE $HST $NCLH Short 1 cent &lt; daily low $FFIV $SAP $KMB $RKT $EBAY $CLX $CHD $FOXA $GDRX $AEE $FOX $CAG $SFIX $BB $FUBO $PBH,en,[],[],[],0,0,0,[],"['fti', 'intc', 'hon', 'bud', 'tot', 'sq', 'tjx', 'nsc', 'ecl', 'dd', 'mar', 'mtch', 'cnc', 'bcs', 'ctva', 'mplx', 'mt', 'pcg', 'ccl', 'tcom', 'cuk', 'rcl', 'gh', 'cve', 'hst', 'nclh', 'ffiv', 'sap', 'kmb', 'rkt', 'ebay', 'clx', 'chd', 'foxa', 'gdrx', 'aee', 'fox', 'cag', 'sfix', 'bb', 'fubo', 'pbh']",https://twitter.com/RiskyCapitalism/status/1354995289933885448,False,,0,,,,,,,,[],,,,
1354934610786836495,1354934610786836495,2021-01-29 00:29:19 CET,2021-01-29,00:29:19,+0200,1349606287793815555,gecko_traders,The Gecko🦎,,$AEE in the UK continues to be the shit show of #Uranium.  No AGM. The pumpers keep talking about a deal. Yet no deal announced to the market.  The show is almost over. The quarterly should confirm that they are trading insolvent.   Wonder who will pick Tiris up cheaply?,en,[],[],[],1,0,1,['uranium'],['aee'],https://twitter.com/Gecko_Traders/status/1354934610786836495,False,,0,,,,,,,,[],,,,
1354811898894512135,1354811898894512135,2021-01-28 16:21:42 CET,2021-01-28,16:21:42,+0200,895929863521095680,tradeflags,TradeFlags,,"#GSector #BUY WK3 $SRE, $DTE, $ETR, $CMS, $AEE, $AEP, $POR, $LNT, $ES, $XEL  #Utilities $XLU $FXU #growthstocks #stocks #finance #investment  https://t.co/F4kUg6a1aW  https://t.co/2Dtr3vlgd1",in,[],['https://tinyurl.com/y4cqj7s4'],['https://pbs.twimg.com/media/Es1CPcsVcAAY_dN.png'],0,0,0,"['gsector', 'buy', 'utilities', 'growthstocks', 'stocks', 'finance', 'investment']","['sre', 'dte', 'etr', 'cms', 'aee', 'aep', 'por', 'lnt', 'es', 'xel', 'xlu', 'fxu']",https://twitter.com/TradeFlags/status/1354811898894512135,False,,1,https://pbs.twimg.com/media/Es1CPcsVcAAY_dN.png,,,,,,,[],,,,
1354806104769720323,1354806104769720323,2021-01-28 15:58:41 CET,2021-01-28,15:58:41,+0200,2422703600,swingtradebot,SwingTradeBot,,20 DMA Support today: $T $GAIN $CMCSA $FE $TSN $D $SOL $AEE $ANET $AFL $STM $ACIU $WEAT $AMSC $ARKK $EVH $JHB $RUTH $TACO $RYN ...  https://t.co/deOpbNHOIE,en,[],['https://swingtradebot.com/alerts/34-20-dma-support'],[],0,0,1,[],"['t', 'gain', 'cmcsa', 'fe', 'tsn', 'd', 'sol', 'aee', 'anet', 'afl', 'stm', 'aciu', 'weat', 'amsc', 'arkk', 'evh', 'jhb', 'ruth', 'taco', 'ryn']",https://twitter.com/SwingTradeBot/status/1354806104769720323,False,,0,,,,,,,,[],,,,
1354714233766744065,1354714233766744065,2021-01-28 09:53:37 CET,2021-01-28,09:53:37,+0200,374729426,tickeron,Tickeron,,"$AEE in Uptrend: 50-day Moving Average broke above 200-day Moving Average on August 10, 2020. View odds for this and other indicators:  https://t.co/cKDjI2FVvc #Ameren #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/cKtP9gBVM5",en,[],['https://srnk.us/go/2492456'],['https://pbs.twimg.com/media/EszpaqFUUAAqGL0.png'],0,0,0,"['ameren', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['aee'],https://twitter.com/Tickeron/status/1354714233766744065,False,,1,https://pbs.twimg.com/media/EszpaqFUUAAqGL0.png,,,,,,,[],,,,
