id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355629870278176774,1355629870278176774,2021-01-30 22:32:02 CET,2021-01-30,22:32:02,+0200,716737614771044352,optioncharts,max pain,,$AMCR Delta expiration 02/19/2021 #maxpain #options  https://t.co/1w5jGxmTjw  https://t.co/fIaC9rGNfv,en,[],['http://maximum-pain.com/greeks/AMCR?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/EtAqLv4W4AAtOV5.jpg'],0,0,0,"['maxpain', 'options']",['amcr'],https://twitter.com/optioncharts/status/1355629870278176774,False,,1,https://pbs.twimg.com/media/EtAqLv4W4AAtOV5.jpg,,,,,,,[],,,,
1355435580172038144,1355435580172038144,2021-01-30 09:39:59 CET,2021-01-30,09:39:59,+0200,374729426,tickeron,Tickeron,,"$AMCR's 10-day Moving Average broke below its 50-day Moving Average on January 14, 2021. View odds for this and other indicators:  https://t.co/cSt6Ijfxd1 #Amcor #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/ADS7fcuKTA",en,[],['https://srnk.us/go/2497110'],['https://pbs.twimg.com/media/Es95ejjU4AUQsAh.jpg'],0,0,0,"['amcor', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['amcr'],https://twitter.com/Tickeron/status/1355435580172038144,False,,1,https://pbs.twimg.com/media/Es95ejjU4AUQsAh.jpg,,,,,,,[],,,,
1355326114097336321,1355199232660148227,2021-01-30 02:25:00 CET,2021-01-30,02:25:00,+0200,19362313,owlfeathersinc,Katie Henderson,,@rcubed2003 @JacobWa95836311 @eWhispers According to the earnings calendar on Stocktwits:  2/2 $AMCR (Amcor)  2/25 $AMC (AMC Ent.)   https://t.co/L8x473DUtV,en,[],['https://stocktwits.com/earnings-calendar'],[],0,0,1,[],"['amcr', 'amc']",https://twitter.com/OwlFeathersInc/status/1355326114097336321,False,,0,,,,,,,,"[{'screen_name': 'rcubed2003', 'name': 'TheBots-are-Coming', 'id': '22885231'}, {'screen_name': 'JacobWa95836311', 'name': 'J Man', 'id': '1077256292153131012'}, {'screen_name': 'eWhispers', 'name': 'Earnings Whispers', 'id': '136136326'}]",,,,
1355237654976225289,1355237654976225289,2021-01-29 20:33:30 CET,2021-01-29,20:33:30,+0200,1339610676524769281,tradewithalerts,TradeWithAlerts,,"Large Print $AMCR Size: 163383 Price: 10.945 Time: 1433 Amount: $1,788,226.94",en,[],[],[],0,0,0,[],['amcr'],https://twitter.com/TradeWithAlerts/status/1355237654976225289,False,,0,,,,,,,,[],,,,
1355219950340812801,1355219950340812801,2021-01-29 19:23:09 CET,2021-01-29,19:23:09,+0200,2837784071,faisamtrader,FaisamTrader,,"@JacobWa95836311 @conocophillips @Humana @elfcosmetics @AMCTheatres @rambusinc @Merck @MuellerWaterPro @LPL @billcom @CirrusLogic Well, at least partially right.  We had $AMC as 2/2, instead of $AMCR (but AMCR should not be on this list).",en,"[{'screen_name': 'conocophillips', 'name': 'conocophillips', 'id': '23449774'}, {'screen_name': 'humana', 'name': 'humana', 'id': '24160942'}, {'screen_name': 'elfcosmetics', 'name': 'elfcosmetics', 'id': '19933480'}, {'screen_name': 'amctheatres', 'name': 'amc theatres', 'id': '40245758'}, {'screen_name': 'rambusinc', 'name': 'rambus inc.', 'id': '19615847'}, {'screen_name': 'merck', 'name': 'merck', 'id': '35961145'}, {'screen_name': 'muellerwaterpro', 'name': 'muellerwaterproducts', 'id': '546197270'}, {'screen_name': 'lpl', 'name': 'lpl financial', 'id': '882891427'}, {'screen_name': 'billcom', 'name': 'bill.com', 'id': '16222907'}, {'screen_name': 'cirruslogic', 'name': 'cirrus logic', 'id': '50077530'}]",[],[],0,0,0,[],"['amc', 'amcr']",https://twitter.com/FaisamTrader/status/1355219950340812801,False,,0,,,,,,,,[],,,,
1355205795739271174,1355199232660148227,2021-01-29 18:26:54 CET,2021-01-29,18:26:54,+0200,136136326,ewhispers,Earnings Whispers,,"@JacobWa95836311 @conocophillips @Humana @elfcosmetics @AMCTheatres @rambusinc @Merck @MuellerWaterPro @LPL @billcom @CirrusLogic Well, at least partially right.  We had $AMC as 2/2, instead of $AMCR (but AMCR should not be on this list).",en,[],[],[],2,0,0,[],"['amc', 'amcr']",https://twitter.com/eWhispers/status/1355205795739271174,False,,0,,,,,,,,"[{'screen_name': 'JacobWa95836311', 'name': 'J Man', 'id': '1077256292153131012'}, {'screen_name': 'conocophillips', 'name': 'ConocoPhillips', 'id': '23449774'}, {'screen_name': 'Humana', 'name': 'Humana', 'id': '24160942'}, {'screen_name': 'elfcosmetics', 'name': 'elfcosmetics', 'id': '19933480'}, {'screen_name': 'AMCTheatres', 'name': 'AMC Theatres', 'id': '40245758'}, {'screen_name': 'rambusinc', 'name': 'Rambus Inc.', 'id': '19615847'}, {'screen_name': 'Merck', 'name': 'Merck', 'id': '35961145'}, {'screen_name': 'MuellerWaterPro', 'name': 'MuellerWaterProducts', 'id': '546197270'}, {'screen_name': 'LPL', 'name': 'LPL Financial', 'id': '882891427'}, {'screen_name': 'billcom', 'name': 'Bill.com', 'id': '16222907'}, {'screen_name': 'CirrusLogic', 'name': 'Cirrus Logic', 'id': '50077530'}]",,,,
1355186345950531587,1355186345950531587,2021-01-29 17:09:37 CET,2021-01-29,17:09:37,+0200,1339610676524769281,tradewithalerts,TradeWithAlerts,,"Large Print $AMCR Size: 200000 Price: 10.925 Time: 1109 Amount: $2,185,000.00",en,[],[],[],0,1,2,[],['amcr'],https://twitter.com/TradeWithAlerts/status/1355186345950531587,False,,0,,,,,,,,[],,,,
1355178132169490435,1355178132169490435,2021-01-29 16:36:59 CET,2021-01-29,16:36:59,+0200,1339610676524769281,tradewithalerts,TradeWithAlerts,,"Large Print $AMCR Size: 250000 Price: 11.025 Time: 1036 Amount: $2,756,250.00",en,[],[],[],0,0,0,[],['amcr'],https://twitter.com/TradeWithAlerts/status/1355178132169490435,False,,0,,,,,,,,[],,,,
1355176283672621060,1355176283672621060,2021-01-29 16:29:38 CET,2021-01-29,16:29:38,+0200,1339610676524769281,tradewithalerts,TradeWithAlerts,,"Large Print $AMCR Size: 107300 Price: 11.005 Time: 1029 Amount: $1,180,836.50",en,[],[],[],0,0,0,[],['amcr'],https://twitter.com/TradeWithAlerts/status/1355176283672621060,False,,0,,,,,,,,[],,,,
1355143177662066692,1355143177662066692,2021-01-29 14:18:05 CET,2021-01-29,14:18:05,+0200,33923173,fhoro,Frances Horodelski,,"I fought the law.....  $RSI, $AMCR, $QBTC.TO   https://t.co/ylvanE5qJ6",en,[],['https://franceshorodelski.com/f/i-fought-the-law'],[],0,1,6,[],"['rsi', 'amcr', 'qbtc.to']",https://twitter.com/fhoro/status/1355143177662066692,False,,0,,,,,,,,[],,,,
