id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355563642616508419,1355563642616508419,2021-01-30 18:08:52 CET,2021-01-30,18:08:52,+0200,1306059911810502661,scottel95320400,Scott E,,@GameStop $gme $ino $amc $nok @CitronResearch I don't think Wallstreet gets it. Some of us just want to see hedge funds burn to the ground. I am more than happy to buy a share of GME and hold in exchange for bankrupting a hedgefund. It really is personal. $aph,en,"[{'screen_name': 'citronresearch', 'name': 'citron research', 'id': '236953420'}]",[],[],0,0,0,[],"['gme', 'ino', 'amc', 'nok', 'aph']",https://twitter.com/ScottEl95320400/status/1355563642616508419,False,,0,,,,,,,,[],,,,
1355260941995225089,1355260941995225089,2021-01-29 22:06:02 CET,2021-01-29,22:06:02,+0200,1315434407692509184,earningsflyinc,Earningsfly Stock Research Bot,,Amphenol Corporation current quarter revenue growth YoY of 10.60% ranked 1301 out of 5426 companies in our database.    https://t.co/J82aDD2xZT $APH  🚀🚀🚀🚀🚀  https://t.co/6khYsq2aMz,en,[],['https://www.earningsfly.com/stocks/aph?source=twitter-bot'],['https://pbs.twimg.com/media/Es7apOEXIAAmK4c.png'],0,0,0,[],['aph'],https://twitter.com/earningsflyinc/status/1355260941995225089,False,,1,https://pbs.twimg.com/media/Es7apOEXIAAmK4c.png,,,,,,,[],,,,
1355212213280104448,1355212213280104448,2021-01-29 18:52:24 CET,2021-01-29,18:52:24,+0200,3222699058,__tm3k,%Bot,,TIMBERRR!!!!  2021-01-29 09:48 PST Stock Watchlist:  $ACN - $245.32 Oversold $AMD - $85.45 Oversold $ALLE - $108.27 Oversold $APH - $125.55 Oversold $ARNC - $24.5 Oversold $AZO - $1116.86 Oversold $BAX - $76.78 Oversold $BR - $142.04 Oversold,en,[],[],[],1,1,2,[],"['acn', 'amd', 'alle', 'aph', 'arnc', 'azo', 'bax', 'br']",https://twitter.com/__tm3k/status/1355212213280104448,False,,0,,,,,,,,[],,,,
1355175540265799680,1355175540265799680,2021-01-29 16:26:41 CET,2021-01-29,16:26:41,+0200,1306059911810502661,scottel95320400,Scott E,,@CitronResearch @inoviolt Citron will no longer publish research and comments about its short positions. Why? Not because they are kind...but be ause too many burned retail investors will band together to run the shorted stocks up. I hope Left burns in hell. $aph $ino $gme $nok,en,"[{'screen_name': 'inoviolt', 'name': 'inoviolt', 'id': '1284142487825723392'}]",[],[],0,0,4,[],"['aph', 'ino', 'gme', 'nok']",https://twitter.com/ScottEl95320400/status/1355175540265799680,False,,0,,,,,,,,[],,,,
1355156501963399170,1355156501963399170,2021-01-29 15:11:02 CET,2021-01-29,15:11:02,+0200,1979190776,tickerreport,Ticker Report,,Amphenol Co. $APH Forecasted to Post Q1 2021 Earnings of $0.94 Per Share  https://t.co/uUlQxJLcOh,en,[],['http://tickerreport.com/?p=6998554'],[],0,0,0,[],['aph'],https://twitter.com/TickerReport/status/1355156501963399170,False,,0,,,,,,,,[],,,,
1355156483600769029,1355156483600769029,2021-01-29 15:10:57 CET,2021-01-29,15:10:57,+0200,61661638,americanbanking,US Banking News,,Jefferies Financial Group Equities Analysts Decrease Earnings Estimates for Amphenol Co. $APH  https://t.co/FEYu4p3zZ2 #stocks,en,[],['http://americanbankingnews.com/?p=18176825'],[],0,0,0,['stocks'],['aph'],https://twitter.com/AmericanBanking/status/1355156483600769029,False,,0,,,,,,,,[],,,,
1355028379121057793,1355028379121057793,2021-01-29 06:41:55 CET,2021-01-29,06:41:55,+0200,374729426,tickeron,Tickeron,,"$APH's price moved below its 50-day Moving Average on January 26, 2021. View odds for this and other indicators:  https://t.co/ASYap4jY5A #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/T6v4GjCoiV",en,[],['https://srnk.us/go/2494478'],['https://pbs.twimg.com/media/Es4HIU2VcAA4vv9.jpg'],0,0,0,"['stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['aph'],https://twitter.com/Tickeron/status/1355028379121057793,False,,1,https://pbs.twimg.com/media/Es4HIU2VcAA4vv9.jpg,,,,,,,[],,,,
1354945355352334339,1354945355352334339,2021-01-29 01:12:01 CET,2021-01-29,01:12:01,+0200,716737614771044352,optioncharts,max pain,,$APH Delta expiration 02/19/2021 #maxpain #options  https://t.co/4PH1qTAMmc  https://t.co/d6Dl9Pb5xZ,en,[],['http://maximum-pain.com/greeks/APH?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/Es27nu2XYAsRDFC.jpg'],0,0,0,"['maxpain', 'options']",['aph'],https://twitter.com/optioncharts/status/1354945355352334339,False,,1,https://pbs.twimg.com/media/Es27nu2XYAsRDFC.jpg,,,,,,,[],,,,
1354823858595872770,1354823858595872770,2021-01-28 17:09:13 CET,2021-01-28,17:09:13,+0200,4584354895,mitickwatcher,TickWatcher,,"Today Top Flow in #technology sector, Buy Flow &amp; Sell Flow $MSFT $ADBE $GOOG $EBAY $TEL $ORCL $EA $QCOM $ACN $WU $V $AAPL $GOOGL $T $LRCX $CTXS $APH $WDC $STX $VZ #stock #stocks #StockMarket #Investment #investing  https://t.co/Gr3YvQQ4OY  https://t.co/HxOPOgQfio",en,[],['https://apple.co/2XZuTYw'],"['https://pbs.twimg.com/media/Es1NHPPU4AA3P-1.jpg', 'https://pbs.twimg.com/media/Es1NHW2UwAIDRde.jpg', 'https://pbs.twimg.com/media/Es1NHgjVoBEpgzx.jpg', 'https://pbs.twimg.com/media/Es1NHnBUcAAINkm.jpg']",0,0,0,"['technology', 'stock', 'stocks', 'stockmarket', 'investment', 'investing']","['msft', 'adbe', 'goog', 'ebay', 'tel', 'orcl', 'ea', 'qcom', 'acn', 'wu', 'v', 'aapl', 'googl', 't', 'lrcx', 'ctxs', 'aph', 'wdc', 'stx', 'vz']",https://twitter.com/MITickWatcher/status/1354823858595872770,False,,1,https://pbs.twimg.com/media/Es1NHPPU4AA3P-1.jpg,,,,,,,[],,,,
1354664418236190721,1354664418236190721,2021-01-28 06:35:40 CET,2021-01-28,06:35:40,+0200,374729426,tickeron,Tickeron,,"$APH's price moved below its 50-day Moving Average on January 26, 2021. View odds for this and other indicators:  https://t.co/E3iaHaSzAm #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/MkuTVgh45S",en,[],['https://srnk.us/go/2492137'],['https://pbs.twimg.com/media/Esy8HBCUUAATqee.jpg'],0,0,0,"['stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['aph'],https://twitter.com/Tickeron/status/1354664418236190721,False,,1,https://pbs.twimg.com/media/Esy8HBCUUAATqee.jpg,,,,,,,[],,,,
