id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355655037540835329,1355655037540835329,2021-01-31 00:12:02 CET,2021-01-31,00:12:02,+0200,323138766,focus_on_dvds,Focus on Dividends,,"Notable Analyst Upgrades and Downgrades for Week of January 25, 2021 $ADP, $AXP, $BAC, $CL, $CMCSA, $D, $DG, $FRT, $GLW, $KMB, $KR, $MMM, $PG, $PPG, $ROK, $SYY, $TXN, $WFC, $WMT, $WSM  https://t.co/a8ESYoEO36  https://t.co/k5RfpUqWUl",en,[],['https://buff.ly/3cnv4GM'],['https://pbs.twimg.com/media/EtBBEo-W4AkBXcy.jpg'],0,0,0,[],"['adp', 'axp', 'bac', 'cl', 'cmcsa', 'd', 'dg', 'frt', 'glw', 'kmb', 'kr', 'mmm', 'pg', 'ppg', 'rok', 'syy', 'txn', 'wfc', 'wmt', 'wsm']",https://twitter.com/Focus_on_Dvds/status/1355655037540835329,False,,1,https://pbs.twimg.com/media/EtBBEo-W4AkBXcy.jpg,,,,,,,[],,,,
1355589566946750466,1350534446437568514,2021-01-30 19:51:53 CET,2021-01-30,19:51:53,+0200,76882273,david_kballero,DCJ,,"sale $plan (-4,12%), $apo (-4,27%), $elan (-7,95%), $axp (-4,90%). Se mantiene $vvv y $ctxs",es,[],[],[],0,0,0,[],"['plan', 'apo', 'elan', 'axp', 'vvv', 'ctxs']",https://twitter.com/David_Kballero/status/1355589566946750466,False,,0,,,,,,,,[],,,,
1355585124721590272,1355585124721590272,2021-01-30 19:34:13 CET,2021-01-30,19:34:13,+0200,1278742137396314113,madmasth,Madmast Hathi,,$AXP  Why American Express Stock Is a Strong Comeback Candidate  https://t.co/IgHiuKh9zt,en,[],['https://www.barrons.com/articles/why-american-express-is-strong-comeback-candidate-51611970200?st=dkqz1w3g9vibu3a'],[],0,0,1,[],['axp'],https://twitter.com/MadmastH/status/1355585124721590272,False,,0,,,,,,,,[],,,,
1355566270465228803,1355560677423935488,2021-01-30 18:19:18 CET,2021-01-30,18:19:18,+0200,52153039,miral_gandhi,Miral,,"@AmandaCerny $Doge will and always be just a pump and dump. $Doge has 128 billion coins and people expecting it to reach a dollar makes no sense. At 1 dollar, doge will have a market cap of 128 billion, that would make it worth more than $AXP and $SHOP. Don't see this happening.  https://t.co/6WcLU8NkSA",en,[],[],['https://pbs.twimg.com/media/Es_t7GLUcAA2jhB.jpg'],1,1,0,[],"['doge', 'doge', 'axp', 'shop']",https://twitter.com/Miral_Gandhi/status/1355566270465228803,False,,1,https://pbs.twimg.com/media/Es_t7GLUcAA2jhB.jpg,,,,,,,"[{'screen_name': 'AmandaCerny', 'name': 'Amanda Cerny', 'id': '104856942'}]",,,,
1355563331919216640,1355563331919216640,2021-01-30 18:07:38 CET,2021-01-30,18:07:38,+0200,19098822,gemsbot,George Marcovits,,"1 of 11 $AAPL $AMGN $AXP Daily and 30 min charts of the DJIA Components with the SSI indicator, a proprietary indicator based exclusively on the eSignal platform, are posted here some weekends … see 2/11  https://t.co/NKaC0KkgZ9",en,[],[],['https://pbs.twimg.com/media/Es_tqoxXUAAnpn0.jpg'],0,0,0,[],"['aapl', 'amgn', 'axp']",https://twitter.com/GemsBot/status/1355563331919216640,False,,1,https://pbs.twimg.com/media/Es_tqoxXUAAnpn0.jpg,,,,,,,[],,,,
1355559382088642567,1355559382088642567,2021-01-30 17:51:56 CET,2021-01-30,17:51:56,+0200,381759346,stockss2011,Anil VA,,$V &amp; $AXP  https://t.co/wf0KHNKRg2,en,[],[],"['https://pbs.twimg.com/media/Es_qAYWXMAQ1DgI.png', 'https://pbs.twimg.com/media/Es_qAYYW4AcTjDD.png']",0,0,0,[],"['v', 'axp']",https://twitter.com/stockss2011/status/1355559382088642567,False,,1,https://pbs.twimg.com/media/Es_qAYWXMAQ1DgI.png,,,,,,,[],,,,
1355546851252948993,1355546851252948993,2021-01-30 17:02:08 CET,2021-01-30,17:02:08,+0200,121158213,alerttrade,"Trade Alerts, Trade Ideas and Crypto 🇺🇸",,Trading Ideas: $AXP - watching $120 area  https://t.co/dNMO4yUdiW 📈 FREE trade-of-week via ⟶  https://t.co/BCEHq7Ce2N  https://t.co/k05Fdi6Y4a,en,[],"['http://dlvr.it/RrgRZP', 'http://freetrade.pw']",['https://pbs.twimg.com/media/Es_erQeUYAI48WW.png'],0,0,0,[],['axp'],https://twitter.com/AlertTrade/status/1355546851252948993,False,,1,https://pbs.twimg.com/media/Es_erQeUYAI48WW.png,,,,,,,[],,,,
1355536580014972932,1355536580014972932,2021-01-30 16:21:19 CET,2021-01-30,16:21:19,+0200,1347925610082009092,hcmcguy,don,,*REPOST* REPOST* $HCMC ALERT 🚨 HCMC BUY BUY BUY 0.0007 RESEARCH ASAP! Lawsuit win @elonmusk  $COMS $KDE $ABT $ANF $ADPT $ARXX $AES $AET $AFFX $AFL $A $AKAM $ABS $AL $AA $ATI $AGN $AW $ALL $AT $ALTR $AMZN $AEP $AM $AIG $APCC $AHC $AEE $AEOS $AXP $AMTD $AMGN $AMR $ASO $APC $ADI  https://t.co/7W1gpG6KTg,en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],['https://pbs.twimg.com/media/Es_VUrxXYAEgHmK.jpg'],1,2,1,[],"['hcmc', 'coms', 'kde', 'abt', 'anf', 'adpt', 'arxx', 'aes', 'aet', 'affx', 'afl', 'a', 'akam', 'abs', 'al', 'aa', 'ati', 'agn', 'aw', 'all', 'at', 'altr', 'amzn', 'aep', 'am', 'aig', 'apcc', 'ahc', 'aee', 'aeos', 'axp', 'amtd', 'amgn', 'amr', 'aso', 'apc', 'adi']",https://twitter.com/HCMCGUY/status/1355536580014972932,False,,1,https://pbs.twimg.com/media/Es_VUrxXYAEgHmK.jpg,,,,,,,[],,,,
1355535748406120453,1355535748406120453,2021-01-30 16:18:01 CET,2021-01-30,16:18:01,+0200,323138766,focus_on_dvds,Focus on Dividends,,"Notable Analyst #Upgrades and #Downgrades for Week of January 25, 2021 $ADP, $AXP, $BAC, $CL, $CMCSA, $D, $DG, $FRT, $GLW, $KMB, $KR, $MMM, $PG, $PPG, $ROK, $SYY, $TXN, $WFC, $WMT, $WSM  https://t.co/a8ESYoEO36",en,[],['https://buff.ly/3cnv4GM'],[],0,1,1,"['upgrades', 'downgrades']","['adp', 'axp', 'bac', 'cl', 'cmcsa', 'd', 'dg', 'frt', 'glw', 'kmb', 'kr', 'mmm', 'pg', 'ppg', 'rok', 'syy', 'txn', 'wfc', 'wmt', 'wsm']",https://twitter.com/Focus_on_Dvds/status/1355535748406120453,False,,0,,,,,,,,[],,,,
1355529242881224709,1355529242881224709,2021-01-30 15:52:10 CET,2021-01-30,15:52:10,+0200,925751546159169536,sleekoptions,sleekOptions,,"$AXP [Jan-15 120 Calls] up +128.52%  Alerted at $2.70  on Dec 28 2020 10:00AM Peak after alert $6.17 on 2021-01-07   Daily Progress:  https://t.co/xGiOH1pN07  https://t.co/OUDcYhHi76",en,[],['https://sleekoptions.com/st.aspx?ald=437aa5ad-d67b-4eff-968a-ef05f2ddcf9f'],['https://pbs.twimg.com/media/Es_OqblXMAA_-Jb.jpg'],0,0,0,[],['axp'],https://twitter.com/sleekoptions/status/1355529242881224709,False,,1,https://pbs.twimg.com/media/Es_OqblXMAA_-Jb.jpg,,,,,,,[],,,,
