id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355574715247689736,1303756248345702400,2021-01-30 18:52:52 CET,2021-01-30,18:52:52,+0200,843743447299297280,all_light_long,All Light Long,,"Out $Ben +100% depuis l'achat pendant le creux de mars à 5,5€",fr,[],[],[],0,0,1,[],['ben'],https://twitter.com/All_Light_Long/status/1355574715247689736,False,,0,,,,,,,,[],,,,
1355419011614294018,1355419011614294018,2021-01-30 08:34:09 CET,2021-01-30,08:34:09,+0200,374729426,tickeron,Tickeron,,$BEN's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for this and other indicators:  https://t.co/4Kp4CoS8AN #FranklinResources #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/aZ0XKbisoi,en,[],['https://srnk.us/go/2497003'],['https://pbs.twimg.com/media/Es9qaIjVEAEGtoo.jpg'],0,0,1,"['franklinresources', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['ben'],https://twitter.com/Tickeron/status/1355419011614294018,False,,1,https://pbs.twimg.com/media/Es9qaIjVEAEGtoo.jpg,,,,,,,[],,,,
1355339664891121665,1355339664891121665,2021-01-30 03:18:51 CET,2021-01-30,03:18:51,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$IBGR CEO Will Be Confirming A Buyout Offer Is On The Table Following Talks In Florida  https://t.co/Mv3xmUJu9A  $LRCX $QEP $UAA $AEO $CAG $MGON $VRX $CY $NVAX $SEEK $CIG $BEN,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,0,0,[],"['ibgr', 'lrcx', 'qep', 'uaa', 'aeo', 'cag', 'mgon', 'vrx', 'cy', 'nvax', 'seek', 'cig', 'ben']",https://twitter.com/askwarrenbuffet/status/1355339664891121665,False,,0,,,,,,,,[],,,,
1355324983757725698,1355324983757725698,2021-01-30 02:20:31 CET,2021-01-30,02:20:31,+0200,738550990698336261,stockbard,stockbard,,$YUM! $ADS $ARE $ESE $I $AM $MA $FOR $A $GLOB $MR $BEN,en,[],[],[],0,0,7,[],"['yum', 'ads', 'are', 'ese', 'i', 'am', 'ma', 'for', 'a', 'glob', 'mr', 'ben']",https://twitter.com/stockbard/status/1355324983757725698,False,,0,,,,,,,,[],,,,
1355297083851329536,1355296895078424576,2021-01-30 00:29:39 CET,2021-01-30,00:29:39,+0200,578234529,jacobd_smith,Jacob Smith,,@JonRisinger $BËN,und,[],[],[],0,0,0,[],[],https://twitter.com/JacobD_Smith/status/1355297083851329536,False,,0,,,,,,,,"[{'screen_name': 'JonRisinger', 'name': 'Jon Risinger', 'id': '12015232'}]",,,,
1355216806789730306,1355216806789730306,2021-01-29 19:10:40 CET,2021-01-29,19:10:40,+0200,1297976961587789824,ogg_monkey_,🏴󠁧󠁢󠁳󠁣󠁴󠁿 ogg 💛🐝,,invest in benstarcoin $BEN,de,[],[],[],0,1,7,[],['ben'],https://twitter.com/ogg_monkey_/status/1355216806789730306,False,,0,,,,,,,,[],,,,
1355214261962895362,1355214261962895362,2021-01-29 19:00:33 CET,2021-01-29,19:00:33,+0200,1159151871585640449,vtmndanny,golf boy dan,,EVERYONE INVEST $BEN,en,[],[],[],1,0,5,[],['ben'],https://twitter.com/vtmndanny/status/1355214261962895362,False,https://twitter.com/BenstarTheHomo/status/1355188224847654916,0,,,,,,,,[],,,,
1355213815550504966,1355213815550504966,2021-01-29 18:58:46 CET,2021-01-29,18:58:46,+0200,2422703600,swingtradebot,SwingTradeBot,,20 DMA Support today: $BEN $U $GORO $RCS $MTDR $SAVE $DXC $ARKW $VRNS $WU $WAL $SBG $TLYS $AOUT $DZZ ...  https://t.co/deOpbNqdR6,en,[],['https://swingtradebot.com/alerts/34-20-dma-support'],[],0,2,2,[],"['ben', 'u', 'goro', 'rcs', 'mtdr', 'save', 'dxc', 'arkw', 'vrns', 'wu', 'wal', 'sbg', 'tlys', 'aout', 'dzz']",https://twitter.com/SwingTradeBot/status/1355213815550504966,False,,0,,,,,,,,[],,,,
1355211614023245824,1355211614023245824,2021-01-29 18:50:02 CET,2021-01-29,18:50:02,+0200,2812632288,investingstockz,Investing.com Stocks,,"Franklin Res, $BEN, is down 5.4% -  https://t.co/3VIx6eST0Q",en,[],['https://invst.ly/6hf7x'],[],0,0,0,[],['ben'],https://twitter.com/InvestingStockz/status/1355211614023245824,False,,0,,,,,,,,[],,,,
1355188437456924672,1355188224847654916,2021-01-29 17:17:56 CET,2021-01-29,17:17:56,+0200,1021060874243592192,ayelibtard,tr,,@BenstarTheHomo to the moon!! $BEN 🚀🚀🚀,en,[],[],[],1,0,2,[],['ben'],https://twitter.com/ayelibtard/status/1355188437456924672,False,,0,,,,,,,,"[{'screen_name': 'BenstarTheHomo', 'name': '🌻𝗕𝗲𝗻𝘀𝘁𝗮𝗿🌱🐝', 'id': '984974367913332737'}]",,,,
1355188224847654916,1355188224847654916,2021-01-29 17:17:05 CET,2021-01-29,17:17:05,+0200,984974367913332737,benstarthehomo,🌻𝗕𝗲𝗻𝘀𝘁𝗮𝗿🌱🐝,,Wish people invest money in me $BEN,en,[],[],[],2,4,25,[],['ben'],https://twitter.com/BenstarTheHomo/status/1355188224847654916,False,,0,,,,,,,,[],,,,
1355051398258429953,1355051398258429953,2021-01-29 08:13:23 CET,2021-01-29,08:13:23,+0200,1134049078424162304,newsfilterio,Investor News,,Franklin Templeton Receives Top Marks in 2021 Corporate Equality Index $BEN  https://t.co/IdeJgZZhu8,en,[],['https://newsfilter.io/articles/franklin-templeton-receives-top-marks-in-2021-corporate-equality-index-249b8ba1c2667e724c8ae2b836d83b38'],[],0,0,0,[],['ben'],https://twitter.com/newsfilterio/status/1355051398258429953,False,,0,,,,,,,,[],,,,
1355045136900583425,1355045136900583425,2021-01-29 07:48:30 CET,2021-01-29,07:48:30,+0200,374729426,tickeron,Tickeron,,"$BEN in +4.35% Uptrend, growing for three consecutive days on January 26, 2021. View odds for this and other indicators:  https://t.co/2Y323oEejm #FranklinResources #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/bfV7bcxk26",en,[],['https://srnk.us/go/2494587'],['https://pbs.twimg.com/media/Es4WXwyVEAIU0LY.png'],0,0,0,"['franklinresources', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['ben'],https://twitter.com/Tickeron/status/1355045136900583425,False,,1,https://pbs.twimg.com/media/Es4WXwyVEAIU0LY.png,,,,,,,[],,,,
1354964306216026112,1354964306216026112,2021-01-29 02:27:19 CET,2021-01-29,02:27:19,+0200,1123412040884690944,stockbeepasx,Stockbeep Scanner,,Jan 29 - Breakdown stocks in AM session  $ZLD $RAP $BEN $RHY $ANZ $SUN $BIT   Scan updates every 5 secs. #asx #ausbiz  https://t.co/xAnee8NrWd,en,[],['http://stockbeep.com/aubdjan29p'],[],0,0,0,"['asx', 'ausbiz']","['zld', 'rap', 'ben', 'rhy', 'anz', 'sun', 'bit']",https://twitter.com/stockbeepASX/status/1354964306216026112,False,,0,,,,,,,,[],,,,
1354836171982037002,1354836171982037002,2021-01-28 17:58:09 CET,2021-01-28,17:58:09,+0200,1023275184944570374,bigbenniejets,BENNIE🧡,,buy stonks in $BEN being shared holder in BEN is gaurunteed to reward u wif bites on ur hands and fur on ur clothes,en,[],[],[],2,0,10,[],['ben'],https://twitter.com/bigbenniejets/status/1354836171982037002,False,,0,,,,,,,,[],,,,
1354826298170994688,1354826298170994688,2021-01-28 17:18:55 CET,2021-01-28,17:18:55,+0200,472650465,otcdynamics,"OTC Dynamics, Inc.",,$BEN Franklin Templeton Receives Top Marks in 2021 Corporate Equality Index  https://t.co/u6UoxoKLnx,en,[],['https://www.otcdynamics.com/ben-franklin-templeton-receives-top-marks-in-2021-corporate-equality-index/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter'],[],0,0,0,[],['ben'],https://twitter.com/otcdynamics/status/1354826298170994688,False,,0,,,,,,,,[],,,,
1354782329563209729,1354782329563209729,2021-01-28 14:24:12 CET,2021-01-28,14:24:12,+0200,3646985662,sbwcws,Shifting Wealth,,Invesco upgraded to Buy from Neutral at UBS $IVZ $TROW $BEN,en,[],[],[],0,0,0,[],"['ivz', 'trow', 'ben']",https://twitter.com/sbwcws/status/1354782329563209729,False,,0,,,,,,,,[],,,,
1354736266328342530,1354736266328342530,2021-01-28 11:21:10 CET,2021-01-28,11:21:10,+0200,1177031502745485313,7bennz,ben,,$BEN going up,en,[],[],[],0,0,3,[],['ben'],https://twitter.com/7bennz/status/1354736266328342530,False,,0,,,,,,,,[],,,,
1354676274732523525,1354676274732523525,2021-01-28 07:22:47 CET,2021-01-28,07:22:47,+0200,374729426,tickeron,Tickeron,,$BEN's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram just turned positive. View odds for this and other indicators:  https://t.co/U4iibWUtCb #FranklinResources #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/Wctmzn2pSX,en,[],['https://srnk.us/go/2492213'],['https://pbs.twimg.com/media/EszG5KZUwAIC_3a.jpg'],0,0,0,"['franklinresources', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['ben'],https://twitter.com/Tickeron/status/1354676274732523525,False,,1,https://pbs.twimg.com/media/EszG5KZUwAIC_3a.jpg,,,,,,,[],,,,
1354665072111603713,1354665072111603713,2021-01-28 06:38:16 CET,2021-01-28,06:38:16,+0200,1559920790,csimarket,CSIMarket.com,,$BEN #FinancialResults #FranklinResources projected on  https://t.co/savSNU1XbB at January 28 to report first quarter FinancialResults  https://t.co/atWK6Nlti2,en,[],"['http://CSIMarket.com', 'https://bit.ly/2v1LoXn']",[],0,0,0,"['financialresults', 'franklinresources']",['ben'],https://twitter.com/CSIMarket/status/1354665072111603713,False,,0,,,,,,,,[],,,,
