id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355607235259289605,1355589950889144327,2021-01-30 21:02:05 CET,2021-01-30,21:02:05,+0200,19495031,pearlcreek,BA,,"@lhamtil Hiding in plain sight as they say, right under most #fintwit noses.  $BR Broadridge Financial.",en,[],[],[],0,0,3,['fintwit'],['br'],https://twitter.com/PearlCreek/status/1355607235259289605,False,,0,,,,,,,,"[{'screen_name': 'lhamtil', 'name': 'Lawrence Hamtil', 'id': '3222282726'}]",,,,
1355595283653136387,1355595164706811905,2021-01-30 20:14:36 CET,2021-01-30,20:14:36,+0200,1115689849095200768,hazyeu,hazy,,@Quick @BrandRiskGG $BR to the moon 🚀,en,[],[],[],1,0,7,[],['br'],https://twitter.com/hazyEU/status/1355595283653136387,False,,0,,,,,,,,"[{'screen_name': 'BrandRiskGG', 'name': 'Brand Risk Boys', 'id': '2898871169'}]",,,,
1355212213280104448,1355212213280104448,2021-01-29 18:52:24 CET,2021-01-29,18:52:24,+0200,3222699058,__tm3k,%Bot,,TIMBERRR!!!!  2021-01-29 09:48 PST Stock Watchlist:  $ACN - $245.32 Oversold $AMD - $85.45 Oversold $ALLE - $108.27 Oversold $APH - $125.55 Oversold $ARNC - $24.5 Oversold $AZO - $1116.86 Oversold $BAX - $76.78 Oversold $BR - $142.04 Oversold,en,[],[],[],1,1,2,[],"['acn', 'amd', 'alle', 'aph', 'arnc', 'azo', 'bax', 'br']",https://twitter.com/__tm3k/status/1355212213280104448,False,,0,,,,,,,,[],,,,
1355167625366687745,1355167625366687745,2021-01-29 15:55:14 CET,2021-01-29,15:55:14,+0200,931835096415592449,jensgrandl1234,maxim.me,,Forget about $GME. $LaF and $BR to the moon 🚀 @familia_germany @BlackRabbitIO @fakeairr  https://t.co/ze3UHy09ad,en,"[{'screen_name': 'familia_germany', 'name': 'la familia germany', 'id': '1195862607963525120'}, {'screen_name': 'blackrabbitio', 'name': 'blackrabbitio', 'id': '1266698015710089217'}, {'screen_name': 'fakeairr', 'name': 'fakeair', 'id': '791232354161491968'}]",[],['https://pbs.twimg.com/media/Es6FxNPXEAIhQj1.jpg'],0,1,15,[],"['gme', 'laf', 'br']",https://twitter.com/jensgrandl1234/status/1355167625366687745,False,,1,https://pbs.twimg.com/media/Es6FxNPXEAIhQj1.jpg,,,,,,,[],,,,
1355110130782769153,1355110130782769153,2021-01-29 12:06:46 CET,2021-01-29,12:06:46,+0200,2356524462,allstocknews,$Stocknewsalerts,,$BR SC 13G/A (Amended Statement of Ownership) SEC Filing From our Stock News Alerts App,en,[],[],[],0,0,0,[],['br'],https://twitter.com/Allstocknews/status/1355110130782769153,False,,0,,,,,,,,[],,,,
1354988641437802498,1354988641437802498,2021-01-29 04:04:01 CET,2021-01-29,04:04:01,+0200,260959063,hg5096,Hiral Ghelani,,$BR releasing Earnings on 1/29 Before Open (Confirmed). $BR Broadridge Launches ESG Advisory Services. Anybody buying/selling in Earnings?     https://t.co/MeTLV7wNKE  https://t.co/brVWiGe9UJ,en,[],['https://stocksearning.com/stocks/BR/earnings-date'],['https://pbs.twimg.com/media/Es3i_RtXYAAO2wj.jpg'],0,0,0,[],"['br', 'br']",https://twitter.com/hg5096/status/1354988641437802498,False,,1,https://pbs.twimg.com/media/Es3i_RtXYAAO2wj.jpg,,,,,,,[],,,,
1354834639152701444,1354834639152701444,2021-01-28 17:52:04 CET,2021-01-28,17:52:04,+0200,716737614771044352,optioncharts,max pain,,$BR Max Pain is 150.00 for maturity 02/19/2021. #maxpain #options  https://t.co/cWSJGqmqrq  https://t.co/M22JTLQ3As,en,[],['http://maximum-pain.com/options/BR?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/Es1W7NWXAAMalhp.jpg'],0,0,0,"['maxpain', 'options']",['br'],https://twitter.com/optioncharts/status/1354834639152701444,False,,1,https://pbs.twimg.com/media/Es1W7NWXAAMalhp.jpg,,,,,,,[],,,,
1354818591124713476,1354818591124713476,2021-01-28 16:48:18 CET,2021-01-28,16:48:18,+0200,323047363,dilettanting,the Militant Man,,Voted pro $SPGI merger with $INFO via $BR 😎,in,[],[],[],0,0,0,[],"['spgi', 'info', 'br']",https://twitter.com/dilettanting/status/1354818591124713476,False,,0,,,,,,,,[],,,,
1354794493652905984,1354794493652905984,2021-01-28 15:12:32 CET,2021-01-28,15:12:32,+0200,1684010208,phhherry,philipe,,meu deus se usar algo depois do $ fica tipo uma hashtag $BR,pt,[],[],[],0,0,0,[],['br'],https://twitter.com/phhherry/status/1354794493652905984,False,,0,,,,,,,,[],,,,
1354792598377013250,1354792598377013250,2021-01-28 15:05:00 CET,2021-01-28,15:05:00,+0200,4823010497,nnwmedia,NetworkNewsWire,,Trade Volume Explodes as Retail Traders Make Their Mark $SRAX $BR $INFO $GNUS $IDEX  https://t.co/qp7dYXN73Q  https://t.co/CK1WwxBqaH,en,[],['https://ibn.fm/8MQXt'],['https://pbs.twimg.com/media/Es0wsDeXIAQANXB.jpg'],0,3,1,[],"['srax', 'br', 'info', 'gnus', 'idex']",https://twitter.com/NNWMedia/status/1354792598377013250,False,,1,https://pbs.twimg.com/media/Es0wsDeXIAQANXB.jpg,,,,,,,[],,,,
