id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355638922370408448,1355638922370408448,2021-01-30 23:08:00 CET,2021-01-30,23:08:00,+0200,1250304786353643521,terrastudiohq,Terra Studio,,A very red share price performance week but still a great start of the year for a number of #ASX -listed #nickel companies $AOU $BSX $QPM $GAL $ESS $CZN $GME $ARN $ARL $POS $PAN $NIC  https://t.co/zvVWNl3DXc,en,[],[],['https://pbs.twimg.com/media/EtAwfjaUwAAJ3C6.png'],0,7,22,"['asx', 'nickel']","['aou', 'bsx', 'qpm', 'gal', 'ess', 'czn', 'gme', 'arn', 'arl', 'pos', 'pan', 'nic']",https://twitter.com/TerraStudioHQ/status/1355638922370408448,False,,1,https://pbs.twimg.com/media/EtAwfjaUwAAJ3C6.png,,,,,,,[],,,,
1355615550177570819,1355615550177570819,2021-01-30 21:35:07 CET,2021-01-30,21:35:07,+0200,1067528455560998912,bluebionow,Blue Healthcare Now,,$BSX significant stock price movement  -2.48 % change recently  https://t.co/v51tkdhwf3,en,[],['https://blueequity.io/symbol/BSX'],[],0,0,0,[],['bsx'],https://twitter.com/BlueBioNow/status/1355615550177570819,False,,0,,,,,,,,[],,,,
1355506720613646343,1355506720613646343,2021-01-30 14:22:40 CET,2021-01-30,14:22:40,+0200,1075815811556761601,gcassidy718,Bio_Gerard,,$BSX a bit volatility -2.48 % change recently  https://t.co/7ORGVMWyhZ,en,[],['https://blueequity.io/symbol/BSX'],[],0,0,0,[],['bsx'],https://twitter.com/gcassidy718/status/1355506720613646343,False,,0,,,,,,,,[],,,,
1355471980410134528,1355471980410134528,2021-01-30 12:04:38 CET,2021-01-30,12:04:38,+0200,925751546159169536,sleekoptions,sleekOptions,,"$BSX [Jan-29 36 Calls] up +157.14%  Alerted at $0.70  on Jan 13 2021 11:16AM Peak after alert $1.80 on 2021-01-21   Daily Progress:  https://t.co/ESnaRQyqNR  https://t.co/qHtC2qnVPs",en,[],['https://sleekoptions.com/st.aspx?ald=25b1839b-77f8-49df-9df9-bbc2693cbffb'],['https://pbs.twimg.com/media/Es-alUJXcAISJSo.jpg'],0,0,0,[],['bsx'],https://twitter.com/sleekoptions/status/1355471980410134528,False,,1,https://pbs.twimg.com/media/Es-alUJXcAISJSo.jpg,,,,,,,[],,,,
1355470949886406658,1355470949886406658,2021-01-30 12:00:32 CET,2021-01-30,12:00:32,+0200,925751546159169536,sleekoptions,sleekOptions,,"$BSX [Jan-29 37 Calls] up +134.88%  Alerted at $0.43  on Jan 20 2021 11:12AM Peak after alert $1.01 on 2021-01-21   Daily Progress:  https://t.co/xzwKLbgXp7  https://t.co/PJK9RQKHOu",en,[],['https://sleekoptions.com/st.aspx?ald=dd7a8f1e-7b7c-4af9-af2f-4eedd7c044f7'],['https://pbs.twimg.com/media/Es-ZpUxXUAMvIrJ.jpg'],0,0,0,[],['bsx'],https://twitter.com/sleekoptions/status/1355470949886406658,False,,1,https://pbs.twimg.com/media/Es-ZpUxXUAMvIrJ.jpg,,,,,,,[],,,,
1355468895776342016,1355468895776342016,2021-01-30 11:52:22 CET,2021-01-30,11:52:22,+0200,925751546159169536,sleekoptions,sleekOptions,,"Peak profit for the last 6 expired option alerts for $BSX 157.14% | 114.29% | 118.75% | 120.00% | -83.52% | 73.12% |     https://t.co/IyZm7gc7G5  https://t.co/7nD1Di21eS",en,[],['https://sleekoptions.com/goodsetups.aspx?sym=BSX'],['https://pbs.twimg.com/media/Es-XxxSXUAAb6ac.jpg'],0,0,0,[],['bsx'],https://twitter.com/sleekoptions/status/1355468895776342016,False,,1,https://pbs.twimg.com/media/Es-XxxSXUAAb6ac.jpg,,,,,,,[],,,,
1355467877458063360,1355467877458063360,2021-01-30 11:48:20 CET,2021-01-30,11:48:20,+0200,925751546159169536,sleekoptions,sleekOptions,,"$BSX - #OptionsTrading - Monthly performance of the algo based option alerts posted for BSX   https://t.co/9LLwE84ltZ",en,[],['https://sleekoptions.com/pps.aspx?sym=BSX'],[],0,0,0,['optionstrading'],['bsx'],https://twitter.com/sleekoptions/status/1355467877458063360,False,,0,,,,,,,,[],,,,
1355466868933468162,1355466868933468162,2021-01-30 11:44:19 CET,2021-01-30,11:44:19,+0200,925751546159169536,sleekoptions,sleekOptions,,"$BSX - Last six months, 48 option alerts peaked above 100% after they were triggered by the algo    https://t.co/IyZm7gc7G5  https://t.co/uuEwgeCVCN",en,[],['https://sleekoptions.com/goodsetups.aspx?sym=BSX'],['https://pbs.twimg.com/media/Es-V7zwXcAYTNdS.jpg'],0,0,0,[],['bsx'],https://twitter.com/sleekoptions/status/1355466868933468162,False,,1,https://pbs.twimg.com/media/Es-V7zwXcAYTNdS.jpg,,,,,,,[],,,,
1355465850258649091,1355465850258649091,2021-01-30 11:40:16 CET,2021-01-30,11:40:16,+0200,925751546159169536,sleekoptions,sleekOptions,,"$BSX - View historical options performance for BSX   https://t.co/IyZm7gc7G5  https://t.co/KfLbzE7RPj",fr,[],['https://sleekoptions.com/goodsetups.aspx?sym=BSX'],['https://pbs.twimg.com/media/Es-VAhBXMAQtvRB.jpg'],0,0,0,[],['bsx'],https://twitter.com/sleekoptions/status/1355465850258649091,False,,1,https://pbs.twimg.com/media/Es-VAhBXMAQtvRB.jpg,,,,,,,[],,,,
1355460808000630785,1355460808000630785,2021-01-30 11:20:14 CET,2021-01-30,11:20:14,+0200,2422703600,swingtradebot,SwingTradeBot,,"$BSX technical alerts: Non-ADX 1,2,3,4 Bullish, 50 DMA Support, Bollinger Band Squeeze, and Fell B...  https://t.co/tgforij4E9",en,[],['https://swingtradebot.com/equities/BSX'],[],0,0,0,[],['bsx'],https://twitter.com/SwingTradeBot/status/1355460808000630785,False,,0,,,,,,,,[],,,,
1355429455334760452,1355429455334760452,2021-01-30 09:15:39 CET,2021-01-30,09:15:39,+0200,1351167510616412161,ehsan29277396,Moneymaker,,"Biden Clean Energy plan in the United States includes a US$400 billion investment supporting the roll out of 25 million EVs  means something for #lithium #nickel #cobalt  players HWK $BSX $COB $ASN   Most people have been focused on iron and copper, ever researched #cobalt ?#ASX",en,[],[],[],0,1,4,"['lithium', 'nickel', 'cobalt', 'cobalt', 'asx']","['bsx', 'cob', 'asn']",https://twitter.com/Ehsan29277396/status/1355429455334760452,False,,0,,,,,,,,[],,,,
1355343141025443842,1355343141025443842,2021-01-30 03:32:40 CET,2021-01-30,03:32:40,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$NIOBF CEO TO Detail Huge Partnership Agreement With Leading US Company As Early As Monday  https://t.co/Mv3xmUJu9A  $GM $BSX $PEP $CL $INFY $OAS $TEVA $DVN $AKS $WMT $BHGE $IBM $ERFB,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,0,0,[],"['niobf', 'gm', 'bsx', 'pep', 'cl', 'infy', 'oas', 'teva', 'dvn', 'aks', 'wmt', 'bhge', 'ibm', 'erfb']",https://twitter.com/askwarrenbuffet/status/1355343141025443842,False,,0,,,,,,,,[],,,,
1355294737431998469,1355294737431998469,2021-01-30 00:20:20 CET,2021-01-30,00:20:20,+0200,818481118483742720,mc_optiontrades,Chameleon 🦎 Options,,$BSX Boston Scientific Option Order Flow Sentiment has Shifted from Bullish to Bearish.  https://t.co/7KoMvwtldu,en,[],['https://marketchameleon.com/Overview/BSX/OptionOrderSentiment/'],[],0,0,0,[],['bsx'],https://twitter.com/MC_OptionTrades/status/1355294737431998469,False,,0,,,,,,,,[],,,,
1355273016951754754,1355273016951754754,2021-01-29 22:54:01 CET,2021-01-29,22:54:01,+0200,438262278,minteractapp,Super Stocks,,"Friday's Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $VRTX $REGN $ALXN $BSX $DGX $CAH $AMGN $PKI $MCK $PRGO $UNH $EW $BIIB $SYK $BAX $HUM $VAR $ABBV $GILD $MDT #stock #stocks #StockMarket #Investment #investing #HealthTech  https://t.co/5JE2nlrW3B  https://t.co/7qgG8SLEcS",en,[],['https://apple.co/2XZuTYw'],"['https://pbs.twimg.com/media/Es7lnrmUYAEp4DE.jpg', 'https://pbs.twimg.com/media/Es7lnx4VcAIxdMn.jpg', 'https://pbs.twimg.com/media/Es7ln2yUYAAA7PT.jpg', 'https://pbs.twimg.com/media/Es7ln8NVoAA6ZC7.jpg']",0,0,0,"['healthcare', 'stock', 'stocks', 'stockmarket', 'investment', 'investing', 'healthtech']","['vrtx', 'regn', 'alxn', 'bsx', 'dgx', 'cah', 'amgn', 'pki', 'mck', 'prgo', 'unh', 'ew', 'biib', 'syk', 'bax', 'hum', 'var', 'abbv', 'gild', 'mdt']",https://twitter.com/MinteractApp/status/1355273016951754754,False,,1,https://pbs.twimg.com/media/Es7lnrmUYAEp4DE.jpg,,,,,,,[],,,,
1355236000000311307,1355236000000311307,2021-01-29 20:26:56 CET,2021-01-29,20:26:56,+0200,2422703600,swingtradebot,SwingTradeBot,,50 DMA Support today: $AMZN $SIRI $BSX $EZA $SCD $PAR $PID $FDEU ...  https://t.co/aW7zteKP9U,en,[],['https://swingtradebot.com/alerts/35-50-dma-support'],[],0,0,0,[],"['amzn', 'siri', 'bsx', 'eza', 'scd', 'par', 'pid', 'fdeu']",https://twitter.com/SwingTradeBot/status/1355236000000311307,False,,0,,,,,,,,[],,,,
