id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355635361330962436,1355635361330962436,2021-01-30 22:53:51 CET,2021-01-30,22:53:51,+0200,853721170826461184,lancerlancer_,Lance,,Large cap companies that have looked to bottom out on the moving average convergence divergence indicator. Could reverse soon and be possible buys next week.   $CE $BKI $ROL $TEL $PKG,en,[],[],[],0,0,0,[],"['ce', 'bki', 'rol', 'tel', 'pkg']",https://twitter.com/LancerLancer_/status/1355635361330962436,False,,0,,,,,,,,[],,,,
1355515333331841034,1355515333331841034,2021-01-30 14:56:54 CET,2021-01-30,14:56:54,+0200,2356524462,allstocknews,$Stocknewsalerts,,$CE New SEC Filing from Celanese From our Stock News Alerts App,en,[],[],[],0,0,0,[],['ce'],https://twitter.com/Allstocknews/status/1355515333331841034,False,,0,,,,,,,,[],,,,
1355497910977376262,1355497910977376262,2021-01-30 13:47:40 CET,2021-01-30,13:47:40,+0200,930803511918411776,thislincolnian,The Lincolnian,,Celanese Co. $CE to Distribute Quarterly Dividend of $0.68 on February 23rd  https://t.co/shlJoksVhH,en,[],['http://thelincolnianonline.com/?p=5379128'],[],0,0,0,[],['ce'],https://twitter.com/ThisLincolnian/status/1355497910977376262,False,,0,,,,,,,,[],,,,
1355428070832787457,1355428070832787457,2021-01-30 09:10:09 CET,2021-01-30,09:10:09,+0200,374729426,tickeron,Tickeron,,"$CE's 10-day Moving Average broke below its 50-day Moving Average on January 27, 2021. View odds for this and other indicators:  https://t.co/7SBB8cY0Hf #Celanese #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/kpK2LJlTTu",en,[],['https://srnk.us/go/2497062'],['https://pbs.twimg.com/media/Es9ypdLUcAE7O_x.jpg'],0,0,0,"['celanese', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['ce'],https://twitter.com/Tickeron/status/1355428070832787457,False,,1,https://pbs.twimg.com/media/Es9ypdLUcAE7O_x.jpg,,,,,,,[],,,,
1355287112501719040,1355287112501719040,2021-01-29 23:50:02 CET,2021-01-29,23:50:02,+0200,773578537764851712,sitefocushq,SiteFocus,,"$CE Earnings Intelligence Analysis of recent earnings identified Celanese  business focus on (acetic,acetyl,volume), (acetic,acetyl,vam,volume), (acetyl,vam,volume) , (acetic,acetyl,eva), (acetyl,eva)  https://t.co/4nOHfhdno3",en,[],['https://www.sitefocus.com/ei-product'],[],0,0,0,[],['ce'],https://twitter.com/SiteFocusHQ/status/1355287112501719040,False,,0,,,,,,,,[],,,,
1355286115138367494,1355286115138367494,2021-01-29 23:46:04 CET,2021-01-29,23:46:04,+0200,2422703600,swingtradebot,SwingTradeBot,,Scan results - Stochastic Buy Signal today: $ZYME $WRK $AXS $FMC $TGI $PTCT $PAGS $CE $CTAS $LNC $EYE $ANTM $GRBK $WWD $ENVA $PKI $ETN $GOLD $CTB $DNB ...  https://t.co/iADQ9jRJnp,en,[],['https://swingtradebot.com/events/24-stochastic-buy-signal/equities?selected_date=2021-01-29'],[],0,0,0,[],"['zyme', 'wrk', 'axs', 'fmc', 'tgi', 'ptct', 'pags', 'ce', 'ctas', 'lnc', 'eye', 'antm', 'grbk', 'wwd', 'enva', 'pki', 'etn', 'gold', 'ctb', 'dnb']",https://twitter.com/SwingTradeBot/status/1355286115138367494,False,,0,,,,,,,,[],,,,
1355265757660147713,1355265757660147713,2021-01-29 22:25:10 CET,2021-01-29,22:25:10,+0200,23059499,seekingalpha,Seeking Alpha,,$CE - Celanese Corporation (CE) CEO Lori Ryerkerk on Q4 2020 Results - Earnings Call Transcript.  https://t.co/hCJ4fTCBc9 #stocks #economy #stockmarket,en,[],['https://seekingalpha.com/article/4402149-celanese-corporation-ce-ceo-lori-ryerkerk-on-q4-2020-results-earnings-call-transcript?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated'],[],0,0,0,"['stocks', 'economy', 'stockmarket']",['ce'],https://twitter.com/SeekingAlpha/status/1355265757660147713,False,,0,,,,,,,,[],,,,
1355259429206126593,1355259429206126593,2021-01-29 22:00:02 CET,2021-01-29,22:00:02,+0200,2461556142,tradingviewbot,TradingView Ideas,,$CE - Post-earnings spike CE - TradingView -  https://t.co/6j5gYFAd5Q,en,[],['https://www.tradingview.com/chart/CE/JfhfPDmR-Post-earnings-spike-CE/'],[],0,0,0,[],['ce'],https://twitter.com/TradingViewBot/status/1355259429206126593,False,,0,,,,,,,,[],,,,
1355248256318627845,1355248256318627845,2021-01-29 21:15:38 CET,2021-01-29,21:15:38,+0200,1099039801397964802,earningsalley,Earnings Alley,,Celanese Corporation $CE held an earnings call on 1/29/2021. Here are the highlights:,en,[],[],[],1,0,0,[],['ce'],https://twitter.com/EarningsAlley/status/1355248256318627845,False,,0,,,,,,,,[],,,,
1355195236574752782,1355195236574752782,2021-01-29 17:44:57 CET,2021-01-29,17:44:57,+0200,1263187382289006600,cmaccchemicals,C-MACC,,"Daily Chemical Reaction: Smells Like Teen Spirit – Optimism Toward 2021 Sector Profit Trends Rises, Real World Ahead  https://t.co/FdZJoCmi1y #energytransition #climatechange #ESG $LYB $CE $DOW $EMM $NGVT $OLN $PSX $GM $CLF  https://t.co/vkxtonSjfI",en,[],['https://hubs.li/H0FHsNf0'],['https://pbs.twimg.com/media/Es6e4q3XYAAf4oJ.png'],0,0,0,"['energytransition', 'climatechange', 'esg']","['lyb', 'ce', 'dow', 'emm', 'ngvt', 'oln', 'psx', 'gm', 'clf']",https://twitter.com/CMACCChemicals/status/1355195236574752782,False,,1,https://pbs.twimg.com/media/Es6e4q3XYAAf4oJ.png,,,,,,,[],,,,
1355168520837996546,1355168520837996546,2021-01-29 15:58:47 CET,2021-01-29,15:58:47,+0200,2422703600,swingtradebot,SwingTradeBot,,Reversed from Down today: $LMAT $CE $DRE ...  https://t.co/uuYYhupj1A,en,[],['https://swingtradebot.com/alerts/98-reversed-from-down'],[],0,0,0,[],"['lmat', 'ce', 'dre']",https://twitter.com/SwingTradeBot/status/1355168520837996546,False,,0,,,,,,,,[],,,,
1355149758118195201,1355149758118195201,2021-01-29 14:44:14 CET,2021-01-29,14:44:14,+0200,938110349986824192,stockpods,StockPods.com,,"$CE Earnings Call Today: 10:00 AM EST  Webcast:  https://t.co/qZCHJU3lX1  Phone, Passcode, Analysts Rating, &amp; Price Target:  https://t.co/hNNOCZDU3G",en,[],"['http://mmm.wallstreethorizon.com/u.asp?u=361039', 'https://www.stockpods.com/Company/Earnings?ticker=CE']",[],0,0,0,[],['ce'],https://twitter.com/StockPods/status/1355149758118195201,False,,0,,,,,,,,[],,,,
