id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355601705858117634,1355601705858117634,2021-01-30 20:40:07 CET,2021-01-30,20:40:07,+0200,1063565390230552576,paultorrescohen,Paul Torres-Cohen,,Paul Torres-Cohen $CHRW,cy,[],[],[],0,0,0,[],['chrw'],https://twitter.com/PaulTorresCohen/status/1355601705858117634,False,,0,,,,,,,,[],,,,
1355590055889412101,1353053829445644288,2021-01-30 19:53:49 CET,2021-01-30,19:53:49,+0200,76882273,david_kballero,DCJ,,"sale $chrw (-12,6%), $cbre (-7,71%). Se quedan $nvda, $msft",et,[],[],[],0,0,0,[],"['chrw', 'cbre', 'nvda', 'msft']",https://twitter.com/David_Kballero/status/1355590055889412101,False,,0,,,,,,,,[],,,,
1355490323896692739,1355490323896692739,2021-01-30 13:17:31 CET,2021-01-30,13:17:31,+0200,1184025479084331008,mehabecapital,Jeremy,,"Unusually heavy option volume on today's open include $URBN, $CHRW, $AES, $JNPR, and $APA.",en,[],[],[],0,0,0,[],"['urbn', 'chrw', 'aes', 'jnpr', 'apa']",https://twitter.com/mehabecapital/status/1355490323896692739,False,,0,,,,,,,,[],,,,
1355452453710417920,1355429562956591105,2021-01-30 10:47:02 CET,2021-01-30,10:47:02,+0200,1265302442155139072,m1tchrosenthal,Mitchell Rosenthal,,"A couple others: $CHD, $CHRW, and some discount stores $WMT, $DG. Interestingly, $COST looking like it's close to breaking down and joining the fate of $DG.  https://t.co/fl4MeOh8vF",en,[],[],['https://pbs.twimg.com/media/Es-IxcqXYAIi3xG.jpg'],3,1,1,[],"['chd', 'chrw', 'wmt', 'dg', 'cost', 'dg']",https://twitter.com/M1tchRosenthal/status/1355452453710417920,False,,1,https://pbs.twimg.com/media/Es-IxcqXYAIi3xG.jpg,,,,,,,[],,,,
1355428844400898050,1355428844400898050,2021-01-30 09:13:13 CET,2021-01-30,09:13:13,+0200,374729426,tickeron,Tickeron,,"$CHRW in -8.73% Downtrend, sliding for three consecutive days on January 28, 2021. View odds for this and other indicators:  https://t.co/9XhoPNxcMb #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/rxPwnQCjrk",en,[],['https://srnk.us/go/2497067'],['https://pbs.twimg.com/media/Es9zWdwVEAAoFHi.png'],0,0,1,"['stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['chrw'],https://twitter.com/Tickeron/status/1355428844400898050,False,,1,https://pbs.twimg.com/media/Es9zWdwVEAAoFHi.png,,,,,,,[],,,,
1355287130185084933,1355287130185084933,2021-01-29 23:50:06 CET,2021-01-29,23:50:06,+0200,2422703600,swingtradebot,SwingTradeBot,,Scan results - MACD Bearish Centerline Cross today: $EHTH $GPC $PSXP $ABM $HLI $PRMW $ROP $GGG $PKG $SANM $EMN $JEF $SON $BHLB $SXT $EQH $SEIC $CHRW $UMPQ $NVRO ...  https://t.co/l76qEPtbQv,de,[],['https://swingtradebot.com/events/67-macd-bearish-centerline-cross/equities?selected_date=2021-01-29'],[],0,0,0,[],"['ehth', 'gpc', 'psxp', 'abm', 'hli', 'prmw', 'rop', 'ggg', 'pkg', 'sanm', 'emn', 'jef', 'son', 'bhlb', 'sxt', 'eqh', 'seic', 'chrw', 'umpq', 'nvro']",https://twitter.com/SwingTradeBot/status/1355287130185084933,False,,0,,,,,,,,[],,,,
1355231989092282373,1355231989092282373,2021-01-29 20:10:59 CET,2021-01-29,20:10:59,+0200,1092930071055294464,chrisw1224,RISK. OFF,,$TW like $CHRW,en,[],[],[],0,0,0,[],"['tw', 'chrw']",https://twitter.com/chrisw1224/status/1355231989092282373,False,,0,,,,,,,,[],,,,
1355212214181875712,1355212213280104448,2021-01-29 18:52:25 CET,2021-01-29,18:52:25,+0200,3222699058,__tm3k,%Bot,,$CHRW - $85.14 Oversold $CCL - $18.53 Oversold $CB - $144.44 Oversold $DISH - $29.44 Oversold $DG - $196.11 Oversold $DOV - $116.64 Oversold $DOW - $52.58 Oversold $EMN - $96.76 Oversold $EW - $82.5 Oversold $EL - $237.05 Oversold $RE - $209.98 Oversold $EXPD - $90.24 Oversold,da,[],[],[],2,0,0,[],"['chrw', 'ccl', 'cb', 'dish', 'dg', 'dov', 'dow', 'emn', 'ew', 'el', 're', 'expd']",https://twitter.com/__tm3k/status/1355212214181875712,False,,0,,,,,,,,[],,,,
1355147671066042370,1355147671066042370,2021-01-29 14:35:56 CET,2021-01-29,14:35:56,+0200,1641671990,drmephd,"Dr. Me, Ph.D",,@BofAML | Neglected GDP Stocks 📈  •&gt; Neglected GDP sensitive Stocks $AES $MOS $AIZ $SBAC $DE $CF $CAT $AVB $SLG $CINF $PLD $GL $IVZ $PSA $BXP $SCHW $CHRW $F  https://t.co/ceq5cLKfv4,en,[],[],['https://pbs.twimg.com/media/Es5zn11XEAAf8fa.jpg'],0,1,0,[],"['aes', 'mos', 'aiz', 'sbac', 'de', 'cf', 'cat', 'avb', 'slg', 'cinf', 'pld', 'gl', 'ivz', 'psa', 'bxp', 'schw', 'chrw', 'f']",https://twitter.com/DrMePhD/status/1355147671066042370,False,,1,https://pbs.twimg.com/media/Es5zn11XEAAf8fa.jpg,,,,,,,[],,,,
1355125267086229512,1355125267086229512,2021-01-29 13:06:55 CET,2021-01-29,13:06:55,+0200,1309325250862092289,qqqtaro1234,QQQ太郎🇺🇸米国株の歩き方,,2021/1/28木 アナリスト評価・目標株価変更銘柄一覧  $AAPL Needham Buy $140&gt;&gt;$170 $AAPL Monness Crespi &amp; Hardt Buy $144&gt;&gt;$170 $AAPL Canaccord Genuity Buy $150&gt;&gt;$155 $CELC H.C. Wainwright Buy $14&gt;&gt;$18 $CHRW Cowen Outperform $102&gt;&gt;$110 $KNX Cowen Market Perform $47&gt;&gt;$52,ja,[],[],[],1,0,2,[],"['aapl', 'aapl', 'aapl', 'celc', 'chrw', 'knx']",https://twitter.com/QQQtaro1234/status/1355125267086229512,False,,0,,,,,,,,[],,,,
