id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355665729295699970,1355665729295699970,2021-01-31 00:54:31 CET,2021-01-31,00:54:31,+0200,3195592128,consistentlylky,Consistently Lucky 📈📊,,"Came across this today, some companies on my watch this week. (Not as enticing as last week, gains are gains) I’d say $PYPL $AMZN &amp; $PENN  $AMZN $BABA $PFE $UPS $PINS $PYPL $SNAP $GOOGL $XOM $F $TMO $PTON $APPS $SPOT $BP $CMG $OTIS $EBAY $VRTX $SIRI $LGND $BIIB $PENN $REGN  https://t.co/mEwfd1P2WG",en,[],[],['https://pbs.twimg.com/media/EtBKy7CXcAEIMR8.jpg'],0,0,1,[],"['pypl', 'amzn', 'penn', 'amzn', 'baba', 'pfe', 'ups', 'pins', 'pypl', 'snap', 'googl', 'xom', 'f', 'tmo', 'pton', 'apps', 'spot', 'bp', 'cmg', 'otis', 'ebay', 'vrtx', 'siri', 'lgnd', 'biib', 'penn', 'regn']",https://twitter.com/ConsistentlyLky/status/1355665729295699970,False,,1,https://pbs.twimg.com/media/EtBKy7CXcAEIMR8.jpg,,,,,,,[],,,,
1355661533812953088,1355661533812953088,2021-01-31 00:37:51 CET,2021-01-31,00:37:51,+0200,3328669373,archishou,Belon Busk,,THIS IS A tweet about $CMG,en,[],[],[],0,0,0,[],['cmg'],https://twitter.com/archishou/status/1355661533812953088,False,,0,,,,,,,,[],,,,
1355655179006259211,1355655179006259211,2021-01-31 00:12:36 CET,2021-01-31,00:12:36,+0200,939438218449182720,4rthr,4rthr,,$CMG... hardly the growth stock and reporting soon but I like this setup... especially given what's happening elsewhere in the market.  https://t.co/38hnKHwBsu,en,[],[],['https://pbs.twimg.com/media/EtBBL79XIAUAIRI.png'],0,0,0,[],['cmg'],https://twitter.com/4rthr/status/1355655179006259211,False,,1,https://pbs.twimg.com/media/EtBBL79XIAUAIRI.png,,,,,,,[],,,,
1355651141669974027,1355651141669974027,2021-01-30 23:56:33 CET,2021-01-30,23:56:33,+0200,209907837,cashrocket,Bob Sacamano 🔴,,"$CMG looks great. Quietly consolidating above its 8EMA, digital business growing like a weed. $1M sweeper of Jan 2022 far OTM 1780 calls last month. RBC 2 weeks ago upgraded to Outperform with $1650 PT.  https://t.co/f7ZD8FbFyN",en,[],[],['https://pbs.twimg.com/media/EtA89TMXEAAKq6U.png'],0,0,1,[],['cmg'],https://twitter.com/CashRocket/status/1355651141669974027,False,,1,https://pbs.twimg.com/media/EtA89TMXEAAKq6U.png,,,,,,,[],,,,
1355650589267550208,1355650589267550208,2021-01-30 23:54:21 CET,2021-01-30,23:54:21,+0200,224837045,kaitduffy,Agent Bubblegum,,*Earnings Next Week* 2/1 - $AIKI 2/2 - $RACE $AMZN $BABA $PFE $GOOG $CMG 2/3 - $GRUB $PYPL $BPYUP $EBAY $SPOT 2/4 - $F $FARM $NOK $RL $DECK $PINS $GPRO,en,[],[],[],1,0,4,[],"['aiki', 'race', 'amzn', 'baba', 'pfe', 'goog', 'cmg', 'grub', 'pypl', 'bpyup', 'ebay', 'spot', 'f', 'farm', 'nok', 'rl', 'deck', 'pins', 'gpro']",https://twitter.com/kaitduffy/status/1355650589267550208,False,,0,,,,,,,,[],,,,
1355642965176279040,1355642965176279040,2021-01-30 23:24:04 CET,2021-01-30,23:24:04,+0200,837481040650326016,goat_ofwallst,Trader Mike Ⓜ️👑 🐐,,#earnins this week  $AMZN $BABA $PFE $UPS $PINS $PYPL  $SNAP $GOOGL $XOM $F $QCOM $TMO  $PTON $ABBV $APPS $SPOT $ON $ATVI  $CLX $BMY $BP $GILD $CMG $EA $OTIS  $EBAY $QTNT $NXPI $FEYE $VRTX $SIRI  $CRUS $MRK $PLUS $LGND $BlIB  $PENN $HOG $ARLP $MDC $REGN  https://t.co/M3glm2wGgw,en,[],[],['https://pbs.twimg.com/media/EtA2FpgXYAYB_zn.jpg'],3,0,2,['earnins'],"['amzn', 'baba', 'pfe', 'ups', 'pins', 'pypl', 'snap', 'googl', 'xom', 'f', 'qcom', 'tmo', 'pton', 'abbv', 'apps', 'spot', 'on', 'atvi', 'clx', 'bmy', 'bp', 'gild', 'cmg', 'ea', 'otis', 'ebay', 'qtnt', 'nxpi', 'feye', 'vrtx', 'siri', 'crus', 'mrk', 'plus', 'lgnd', 'blib', 'penn', 'hog', 'arlp', 'mdc', 'regn']",https://twitter.com/Goat_ofWallSt/status/1355642965176279040,False,,1,https://pbs.twimg.com/media/EtA2FpgXYAYB_zn.jpg,,,,,,,[],,,,
1355641715244331009,1355641715244331009,2021-01-30 23:19:06 CET,2021-01-30,23:19:06,+0200,1288287907116195840,kwhenfinance,Kwhen Finance,,Chipotle Mexican Grill Inc. Shares Approach 52-Week High - Market Mover  https://t.co/sZBPjcKhUn $CMG #stockmarket #kwhenfinance,en,[],['https://ayr.app/l/V1WK'],[],0,1,0,"['stockmarket', 'kwhenfinance']",['cmg'],https://twitter.com/kwhenfinance/status/1355641715244331009,False,,0,,,,,,,,[],,,,
1355636973944397830,1355636973944397830,2021-01-30 23:00:15 CET,2021-01-30,23:00:15,+0200,2448524059,tradewithtechs,Faris Sleem,,Long $CMG  https://t.co/JsXgAtbjG3,pt,[],[],['https://pbs.twimg.com/media/EtAwpCQXEAYl5cm.jpg'],3,0,11,[],['cmg'],https://twitter.com/TradeWithTechs/status/1355636973944397830,False,,1,https://pbs.twimg.com/media/EtAwpCQXEAYl5cm.jpg,,,,,,,[],,,,
1355625516871655432,1355625516871655432,2021-01-30 22:14:44 CET,2021-01-30,22:14:44,+0200,368414441,swan1427,J-Swan,,#earnings   Another HUGE week.   Lets get our piece!   $AMZN $BABA $PFE $UPS $PINS $PYPL $SNAP $GOOGL $XOM $F $QCOM $TMO $PTON $ABBV $APPS $SPOT $ON $ATVI $CLX $BMY $BP $GILD $CMG $EA $OTIS $EBAY $QTNT $NXPI $FEYE $VRTX $SIRI $CRUS $MRK $PLUS $LGND $BIIB $PENN $HOG $ARLP $MDC  https://t.co/nMZfiY6fIs,en,[],[],['https://pbs.twimg.com/media/EtAmOUsXMAEkhlR.jpg'],2,1,4,['earnings'],"['amzn', 'baba', 'pfe', 'ups', 'pins', 'pypl', 'snap', 'googl', 'xom', 'f', 'qcom', 'tmo', 'pton', 'abbv', 'apps', 'spot', 'on', 'atvi', 'clx', 'bmy', 'bp', 'gild', 'cmg', 'ea', 'otis', 'ebay', 'qtnt', 'nxpi', 'feye', 'vrtx', 'siri', 'crus', 'mrk', 'plus', 'lgnd', 'biib', 'penn', 'hog', 'arlp', 'mdc']",https://twitter.com/swan1427/status/1355625516871655432,False,,1,https://pbs.twimg.com/media/EtAmOUsXMAEkhlR.jpg,,,,,,,[],,,,
1355624577452400641,1355624577452400641,2021-01-30 22:11:00 CET,2021-01-30,22:11:00,+0200,19534637,jessecoheninv,Jesse Cohen,,⚠️This Week's Most Notable #Earnings (via @eWhispers)  Mon: $ON $NXPI Tues: $AMZN $GOOGL $BABA $PFE $UPS $CMG $EA $XOM $BP Wed: $ABBV $SPOT $QCOM $APPS $EBAY $PYPL $GRUB Thurs: $CLX $BMY $MRK $GILD $PENN $PTON $PINS $SNAP $TMUS $U $PM $YUM $ATVI $F $FTNT Fri: $REGN  $SPY $QQQ  https://t.co/u0zYCLsRsY,en,"[{'screen_name': 'ewhispers', 'name': 'earnings whispers', 'id': '136136326'}]",[],['https://pbs.twimg.com/media/EtAlS1uXIAAeDwH.jpg'],18,87,255,['earnings'],"['on', 'nxpi', 'amzn', 'googl', 'baba', 'pfe', 'ups', 'cmg', 'ea', 'xom', 'bp', 'abbv', 'spot', 'qcom', 'apps', 'ebay', 'pypl', 'grub', 'clx', 'bmy', 'mrk', 'gild', 'penn', 'pton', 'pins', 'snap', 'tmus', 'u', 'pm', 'yum', 'atvi', 'f', 'ftnt', 'regn', 'spy', 'qqq']",https://twitter.com/JesseCohenInv/status/1355624577452400641,False,,1,https://pbs.twimg.com/media/EtAlS1uXIAAeDwH.jpg,,,,,,,[],,,,
