id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355662595613728771,1355662595613728771,2021-01-31 00:42:04 CET,2021-01-31,00:42:04,+0200,875388751882498049,denariuscoin,Denarius [D],,"Upcoming name registration and update fees in our NVS will be 0.1 $D total, 0.09 $D of that goes to transaction fees (miners and stakers) and 0.01 $D to an unspendable TXO in your wallet. #denarius $crypto #domains #ipfs",en,[],[],[],1,4,13,"['denarius', 'domains', 'ipfs']","['d', 'd', 'd', 'crypto']",https://twitter.com/denariuscoin/status/1355662595613728771,False,,0,,,,,,,,[],,,,
1355658051827580928,1355658051827580928,2021-01-31 00:24:01 CET,2021-01-31,00:24:01,+0200,1206640939717906432,realcryptobuzzb,BuzzKillB,,"In my trying to figure this NVS decentralized domain out, instead of a website it turned into an #IPFS gateway. Could be .d could be .ipfs, either way not touching clearnet outside of IP  @ipfs $D #Denarius   http://poswatch.ipfs/ipfs/QmSTLNqHSmmFBAukiTCe3PQNhALA7BBrRNuj3fihwmgNXf  https://t.co/4nBQKymAoa",en,"[{'screen_name': 'ipfs', 'name': 'ipfs', 'id': '3030006159'}]",[],['https://pbs.twimg.com/media/EtBDGnSUYAAHxPL.jpg'],0,4,7,"['ipfs', 'denarius']",['d'],https://twitter.com/realcryptobuzzb/status/1355658051827580928,False,,1,https://pbs.twimg.com/media/EtBDGnSUYAAHxPL.jpg,,,,,,,[],,,,
1355657979392102402,1353162591250620416,2021-01-31 00:23:43 CET,2021-01-31,00:23:43,+0200,1227946428690989057,thestory0fmoney,The Story of Money,,$DXCM $363.15 -&gt; $374.85 $QS $46.6 -&gt; $43.75 $BJ $44.34 -&gt; $42.07 $FROG $64.72 -&gt; $62.47 $QDEL $240.90 -&gt; $250.97 $WDAY $225.55 -&gt; $227.53 $D $72.42 -&gt; $72.89 $BILL $124.31 -&gt; $121.88,en,[],[],[],0,0,2,[],"['dxcm', 'qs', 'bj', 'frog', 'qdel', 'wday', 'd', 'bill']",https://twitter.com/Thestory0fmoney/status/1355657979392102402,False,,0,,,,,,,,[],,,,
1355655037540835329,1355655037540835329,2021-01-31 00:12:02 CET,2021-01-31,00:12:02,+0200,323138766,focus_on_dvds,Focus on Dividends,,"Notable Analyst Upgrades and Downgrades for Week of January 25, 2021 $ADP, $AXP, $BAC, $CL, $CMCSA, $D, $DG, $FRT, $GLW, $KMB, $KR, $MMM, $PG, $PPG, $ROK, $SYY, $TXN, $WFC, $WMT, $WSM  https://t.co/a8ESYoEO36  https://t.co/k5RfpUqWUl",en,[],['https://buff.ly/3cnv4GM'],['https://pbs.twimg.com/media/EtBBEo-W4AkBXcy.jpg'],0,0,0,[],"['adp', 'axp', 'bac', 'cl', 'cmcsa', 'd', 'dg', 'frt', 'glw', 'kmb', 'kr', 'mmm', 'pg', 'ppg', 'rok', 'syy', 'txn', 'wfc', 'wmt', 'wsm']",https://twitter.com/Focus_on_Dvds/status/1355655037540835329,False,,1,https://pbs.twimg.com/media/EtBBEo-W4AkBXcy.jpg,,,,,,,[],,,,
1355635211183251457,1355624199994355714,2021-01-30 22:53:15 CET,2021-01-30,22:53:15,+0200,1278623990370705408,cryptolokh,lokh,,@PeterMcCormack @CRYPT0N1TE I just sell #Bitcoin to earn more shitcoin... $D is better than #Bitcoin,en,[],[],[],0,0,0,"['bitcoin', 'bitcoin']",['d'],https://twitter.com/cryptolokh/status/1355635211183251457,False,,0,,,,,,,,"[{'screen_name': 'PeterMcCormack', 'name': 'Peter McRedcoat', 'id': '893818632089763840'}, {'screen_name': 'CRYPT0N1TE', 'name': 'Bitcoin BTC Alt Crypto Wise, Gold Silver sarcastic', 'id': '629022922'}]",,,,
1355615695816388610,1355615695816388610,2021-01-30 21:35:42 CET,2021-01-30,21:35:42,+0200,1351544588519915520,vijayraj11122,Vijay,,"If you’re interested in day trading Stock and Option, You can check this chatroom&gt;   $KNDI $MICT $INO $AAPL $SRNE $NIO $CODX $ECOR $MRNA $F $SPY $AAPL $V $WMT $TA $TSLA $BA $MU $NKLA $STC  $FORD $NBY $MICT $SRNE $D $REDU $PT $WMT $GRNQ $NVDA $AMZN  https://t.co/2fm7nidcht",en,[],[],['https://pbs.twimg.com/media/EtAdQUGXYAMGbNJ.jpg'],0,0,0,[],"['kndi', 'mict', 'ino', 'aapl', 'srne', 'nio', 'codx', 'ecor', 'mrna', 'f', 'spy', 'aapl', 'v', 'wmt', 'ta', 'tsla', 'ba', 'mu', 'nkla', 'stc', 'ford', 'nby', 'mict', 'srne', 'd', 'redu', 'pt', 'wmt', 'grnq', 'nvda', 'amzn']",https://twitter.com/Vijayraj11122/status/1355615695816388610,False,,1,https://pbs.twimg.com/media/EtAdQUGXYAMGbNJ.jpg,,,,,,,[],,,,
1355610050690117633,1355610050690117633,2021-01-30 21:13:16 CET,2021-01-30,21:13:16,+0200,875388751882498049,denariuscoin,Denarius [D],,"The first #Denarius $D #domain #name #decentralized   .d, .dnr, .king, .sys, .ipfs, and .denarii Domains are incoming in the next update! Public Gateways will be coming online soon!  #ipfs #nvs $crypto #blockchain #cryptocurrency",en,[],[],[],1,9,16,"['denarius', 'domain', 'name', 'decentralized', 'ipfs', 'nvs', 'blockchain', 'cryptocurrency']","['d', 'crypto']",https://twitter.com/denariuscoin/status/1355610050690117633,False,https://twitter.com/realcryptobuzzb/status/1355607890246004736,0,,,,,,,,[],,,,
1355607890246004736,1355607890246004736,2021-01-30 21:04:41 CET,2021-01-30,21:04:41,+0200,1206640939717906432,realcryptobuzzb,BuzzKillB,,first test website to start doing the bizarre stuff  http://poswatch.d I setup #pihole dnsmasq and running a snap daemon on #raspberrypi4 . NVS roughly 33 seconds to setup after installing pihole. Staring directly at the nginx #IPFS server block for interesting part $D #Denarius  https://t.co/AbaKQJ9yiD,en,[],[],['https://pbs.twimg.com/media/EtAWBpOUcAQcd3Q.png'],1,8,9,"['pihole', 'raspberrypi4', 'ipfs', 'denarius']",['d'],https://twitter.com/realcryptobuzzb/status/1355607890246004736,False,,1,https://pbs.twimg.com/media/EtAWBpOUcAQcd3Q.png,,,,,,,[],,,,
1355586491984998400,1355586491984998400,2021-01-30 19:39:39 CET,2021-01-30,19:39:39,+0200,1351544588519915520,vijayraj11122,Vijay,,"Hey guys, check out this chat room. It's been around since 2015, with real traders helping each other profit.""  $JE $PT $MARA  $STC $BTO $CSIQ $TATT $D $TSLA $NIO $GGAL $GS $LIVE $EXPI $ELP $ARCO $EGRX $ORA $NVTA $AMWL $VGR $CFB  https://t.co/MMYKToxagN",en,[],[],['https://pbs.twimg.com/media/EtACsy5XYAAQH4w.jpg'],0,0,0,[],"['je', 'pt', 'mara', 'stc', 'bto', 'csiq', 'tatt', 'd', 'tsla', 'nio', 'ggal', 'gs', 'live', 'expi', 'elp', 'arco', 'egrx', 'ora', 'nvta', 'amwl', 'vgr', 'cfb']",https://twitter.com/Vijayraj11122/status/1355586491984998400,False,,1,https://pbs.twimg.com/media/EtACsy5XYAAQH4w.jpg,,,,,,,[],,,,
1355538703339433985,1354695405276000256,2021-01-30 16:29:46 CET,2021-01-30,16:29:46,+0200,738734431607742464,washedup4star,Dylan Payne,,@SQiryaqoz @DogecoinRise Venmos $d_payne,es,[],[],[],0,0,2,[],['d'],https://twitter.com/Washedup4star/status/1355538703339433985,False,,0,,,,,,,,"[{'screen_name': 'SQiryaqoz', 'name': 'Samer Qiryaqoz', 'id': '1308112719866785792'}, {'screen_name': 'DogecoinRise', 'name': 'Dogecoin Rise 🐕\U0001fa99📈🚀🌕', 'id': '1345576584204353543'}]",,,,
