id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355568328639709187,1355564477891158016,2021-01-30 18:27:29 CET,2021-01-30,18:27:29,+0200,147453521,hackermanace,Ace,,"Has #wsb seen $ed? Its a sea of sell ratings . The opening orders and rest of the orderflow is okay but seems more of a lotto playing the lower range early.  In my eyes, its ranging the monthly bbands levels and a flip n rip is in tact but waiting will cause premiums to pump.  https://t.co/kcVS1p4AI3",en,[],[],"['https://pbs.twimg.com/media/Es_xk-zW4AEj4oN.jpg', 'https://pbs.twimg.com/media/Es_x0spXcAIGHU8.jpg', 'https://pbs.twimg.com/media/Es_yMY7XYAgiQPm.jpg']",1,0,3,['wsb'],['ed'],https://twitter.com/HackermanAce/status/1355568328639709187,False,,1,https://pbs.twimg.com/media/Es_xk-zW4AEj4oN.jpg,,,,,,,[],,,,
1355564477891158016,1355564477891158016,2021-01-30 18:12:11 CET,2021-01-30,18:12:11,+0200,147453521,hackermanace,Ace,,Top opening OTM dated plays from Friday .   Lets chart a few of them !   $cve $ed $dltr $tak $lvs $erx  https://t.co/4sdS1e0bH5,en,[],[],['https://pbs.twimg.com/media/Es_uXYJW4AMLuZM.jpg'],5,0,7,[],"['cve', 'ed', 'dltr', 'tak', 'lvs', 'erx']",https://twitter.com/HackermanAce/status/1355564477891158016,False,,1,https://pbs.twimg.com/media/Es_uXYJW4AMLuZM.jpg,,,,,,,[],,,,
1355548382165692420,1355548382165692420,2021-01-30 17:08:13 CET,2021-01-30,17:08:13,+0200,1301217026367684611,godawfultrader,TerribleTrader,,"$ED Daily 9,20 ema cross",en,[],[],[],1,0,0,[],['ed'],https://twitter.com/GodAwfulTrader/status/1355548382165692420,False,,0,,,,,,,,[],,,,
1355490537533530117,1355490537533530117,2021-01-30 13:18:22 CET,2021-01-30,13:18:22,+0200,1098323529735507976,floppy_bolsa,Floppy stonks,,"Resumen movimientos ENERO 21: ❌Ventas: $BPY $TRE ✅Nuevas acciones: $ED $LMT ✅Ampliaciones: $KMB $BMY $IRM $GIS $O $KO ✅Aportaciones periódicas fondos: indexados Vanguard, Fundsmith, Baelo, Impassive W. y River Patrimonio",es,[],[],[],1,0,12,[],"['bpy', 'tre', 'ed', 'lmt', 'kmb', 'bmy', 'irm', 'gis', 'o', 'ko']",https://twitter.com/Floppy_bolsa/status/1355490537533530117,False,,0,,,,,,,,[],,,,
1355413342597181440,1355413342597181440,2021-01-30 08:11:37 CET,2021-01-30,08:11:37,+0200,374729426,tickeron,Tickeron,,$ED in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators:  https://t.co/IKoAbyNraQ #ConsolidatedEdison #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/KI51vbq2Fb,en,[],['https://srnk.us/go/2496968'],['https://pbs.twimg.com/media/Es9lQKLVgAENIA2.jpg'],0,0,0,"['consolidatededison', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['ed'],https://twitter.com/Tickeron/status/1355413342597181440,False,,1,https://pbs.twimg.com/media/Es9lQKLVgAENIA2.jpg,,,,,,,[],,,,
1355348226715611139,1355348226715611139,2021-01-30 03:52:53 CET,2021-01-30,03:52:53,+0200,716737614771044352,optioncharts,max pain,,$ED Max Pain=70.00. Maturity=01/29/2021. #maxpain #options  https://t.co/CpPrFp1w6N  https://t.co/q32I2gVSvV,en,[],['http://maximum-pain.com/options/ED?m=01%2f29%2f2021'],['https://pbs.twimg.com/media/Es8qB7gWMAMZ4Uk.jpg'],0,0,0,"['maxpain', 'options']",['ed'],https://twitter.com/optioncharts/status/1355348226715611139,False,,1,https://pbs.twimg.com/media/Es8qB7gWMAMZ4Uk.jpg,,,,,,,[],,,,
1355315285574758400,1355315285574758400,2021-01-30 01:41:59 CET,2021-01-30,01:41:59,+0200,1321851753478979586,kroptions,KR Options,,Finished the last week of the month strong with profits from $AMC $PLTR $DASH $AMC $ED and a small loss from $FUBO. Didn't enter any swing positions based on market conditions but profited from small weekly positions and leaps.  https://t.co/19Y1VqjSfI,en,[],[],['https://pbs.twimg.com/media/Es8Ln3CWMAIq7A9.jpg'],1,0,2,[],"['amc', 'pltr', 'dash', 'amc', 'ed', 'fubo']",https://twitter.com/KROptions/status/1355315285574758400,False,,1,https://pbs.twimg.com/media/Es8Ln3CWMAIq7A9.jpg,,,,,,,[],,,,
1355305994507743233,1355305994507743233,2021-01-30 01:05:04 CET,2021-01-30,01:05:04,+0200,121158213,alerttrade,"Trade Alerts, Trade Ideas and Crypto 🇺🇸",,#AutomatedTrading #AlgoTrading #MachineLearning $SNDL $NAKD $CTRM $AAL $AMC $GNUS $EXPR $ZOM $CCL $XSPA $CSX $SYF $F $GSX $GIS $K $ED $HRL $CAG $SWI $CLX $KMB  #stocks #DayTrading #SwingTrading  🙋 15% off Monthly/Yearly with Coupon Code: MYDISCOUNT15  https://t.co/egbvLSf50A  https://t.co/JCdYvnV9Dm,en,[],['https://buff.ly/2CNPlW9'],['https://pbs.twimg.com/media/Es8DnlqXMAAScAD.png'],1,5,3,"['automatedtrading', 'algotrading', 'machinelearning', 'stocks', 'daytrading', 'swingtrading']","['sndl', 'nakd', 'ctrm', 'aal', 'amc', 'gnus', 'expr', 'zom', 'ccl', 'xspa', 'csx', 'syf', 'f', 'gsx', 'gis', 'k', 'ed', 'hrl', 'cag', 'swi', 'clx', 'kmb']",https://twitter.com/AlertTrade/status/1355305994507743233,False,,1,https://pbs.twimg.com/media/Es8DnlqXMAAScAD.png,,,,,,,[],,,,
1355283067984891906,1354603807020355590,2021-01-29 23:33:58 CET,2021-01-29,23:33:58,+0200,885909416205316096,ericdavis221,Eric Davis,,@jsandy1994 It was one of his lottos $ED! He alerted during a Bearish week that had over $2 to GO UP. $ED was going DOWN the following week. So I looked at the Earnings as it was pulling back. I gotten Calls for Earnings. Someone was buying Bullish shares. But $ED wasn't going UP. Then BOOM!,en,[],[],[],0,0,0,[],"['ed', 'ed', 'ed']",https://twitter.com/ericdavis221/status/1355283067984891906,False,,0,,,,,,,,"[{'screen_name': 'jsandy1994', 'name': 'Joshua Sanders', 'id': '832960282616029184'}]",,,,
1355280359248814085,1355280359248814085,2021-01-29 23:23:12 CET,2021-01-29,23:23:12,+0200,1354192024153501697,traderevil,EvilTrader -- ❌,,long term 🤔🤔🤔  $NGG $ED $PPL   those cars need to get charged?,en,[],[],[],1,0,0,[],"['ngg', 'ed', 'ppl']",https://twitter.com/TraderEvil/status/1355280359248814085,False,https://twitter.com/TraderEvil/status/1355276637634486275,0,,,,,,,,[],,,,
