id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355614881345626115,1355614881345626115,2021-01-30 21:32:28 CET,2021-01-30,21:32:28,+0200,823567045790994434,310value,3:10 Value,,"$DLR, $EQIX in Barron's Round Table, Ahlsten says to buy DLR over EQIX because of DLR's yield despite EQIX's stronger moat. Though DLR's CFO can't cover it's capex, so its dividend is coming from new debt and equity. He may want to re-think this one.....  https://t.co/i4ZBWnL4bv",en,[],[],"['https://pbs.twimg.com/media/EtAcaI6XUAEn6ZJ.png', 'https://pbs.twimg.com/media/EtAce1LXYAMjkfn.png']",3,0,22,[],"['dlr', 'eqix']",https://twitter.com/310Value/status/1355614881345626115,False,,1,https://pbs.twimg.com/media/EtAcaI6XUAEn6ZJ.png,,,,,,,[],,,,
1355546540929114115,1355546540929114115,2021-01-30 17:00:54 CET,2021-01-30,17:00:54,+0200,1130525203619037185,11graphs,11Graphs,,"P/S among largest #reits #realestate $VNQ 1. 🇺🇸 AMERICAN TOWER CORPO. $AMT: 12.93 2. 🇺🇸 PROLOGIS, INC. $PLD: 18.4 3. 🇺🇸 CROWN CASTLE INTERNA. $CCI: 11.68 4. 🇺🇸 EQUINIX, INC. (REIT) $EQIX: 11.24 5. 🇺🇸 DIGITAL REALTY TRUST. $DLR: 11.19",en,[],[],[],0,0,0,"['reits', 'realestate']","['vnq', 'amt', 'pld', 'cci', 'eqix', 'dlr']",https://twitter.com/11Graphs/status/1355546540929114115,False,,0,,,,,,,,[],,,,
1355528210264555523,1355528210264555523,2021-01-30 15:48:04 CET,2021-01-30,15:48:04,+0200,237930369,alexisoomoz,Alexis Zoomo,,$BRK.A $BRK.B $NVR $AMZN $SEB $CABO $BKNG $GOOGL $GOOG $MELI $CMG $AZO $MTD $SHOP $MKL $SAM $CSGP $ISRG $TTD $SHW $TPL $BLK $EQIX $TSLA $CHTR $ATRI $NGD $RIOT $IWSH $F &amp; $SNDL  https://t.co/1wXMDaUoJZ,in,[],['https://stocktwits.com/symbol/SNDL'],[],0,0,1,[],"['brk.a', 'brk.b', 'nvr', 'amzn', 'seb', 'cabo', 'bkng', 'googl', 'goog', 'meli', 'cmg', 'azo', 'mtd', 'shop', 'mkl', 'sam', 'csgp', 'isrg', 'ttd', 'shw', 'tpl', 'blk', 'eqix', 'tsla', 'chtr', 'atri', 'ngd', 'riot', 'iwsh', 'f', 'sndl']",https://twitter.com/Alexisoomoz/status/1355528210264555523,False,,0,,,,,,,,[],,,,
1355490308809756676,1355490308809756676,2021-01-30 13:17:28 CET,2021-01-30,13:17:28,+0200,1184025479084331008,mehabecapital,Jeremy,,"Unusually heavy option volume on today's open include $MU, $EQIX, $GT, $INCY, and $FFIV.",en,[],[],[],0,0,0,[],"['mu', 'eqix', 'gt', 'incy', 'ffiv']",https://twitter.com/mehabecapital/status/1355490308809756676,False,,0,,,,,,,,[],,,,
1355488698092015619,1355488698092015619,2021-01-30 13:11:04 CET,2021-01-30,13:11:04,+0200,1332184168738955266,beeken_tech,Beeken Technology,,$ADC $AMT $CONE $COR $EQIX $GME $KRC $MPW $O $SBAC $SKT $VICI - Scared Money Never Wins  https://t.co/jiynryq4N4  https://t.co/FOPaqsrHiA,en,[],['https://www.beeken.io/bhlp?utm_content=newsfeed-Technology-ADC&utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/Es-pybZVcAAvBZ3.jpg'],0,0,0,[],"['adc', 'amt', 'cone', 'cor', 'eqix', 'gme', 'krc', 'mpw', 'o', 'sbac', 'skt', 'vici']",https://twitter.com/beeken_tech/status/1355488698092015619,False,,1,https://pbs.twimg.com/media/Es-pybZVcAAvBZ3.jpg,,,,,,,[],,,,
1355464222876962826,1355464222876962826,2021-01-30 11:33:48 CET,2021-01-30,11:33:48,+0200,374729426,tickeron,Tickeron,,"$EQIX's 10-day Moving Average crossed above its 50-day Moving Average on January 26, 2021. View odds for this and other indicators:  https://t.co/wkcOnBNPkS #Equinix #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/1JaWZGYWoQ",en,[],['https://srnk.us/go/2497296'],['https://pbs.twimg.com/media/Es-ThxNU4AIpnM_.jpg'],0,0,0,"['equinix', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['eqix'],https://twitter.com/Tickeron/status/1355464222876962826,False,,1,https://pbs.twimg.com/media/Es-ThxNU4AIpnM_.jpg,,,,,,,[],,,,
1355437893867679745,1355437893867679745,2021-01-30 09:49:11 CET,2021-01-30,09:49:11,+0200,896039493819670530,evedra1991,Cryptomoon 🧙‍♂️,,What’s your hidden 💎? $ACGL $AXP $BMTC $BRO $BRX $CCMP $CG $CLF $DLR $DRI $EMR $EPAM $EQIX $ETM $FB $GGG $GILD $GLPG $IGT $INT $IPGP $ITW $JBHT $KMX $LE $LLY $MIDD $MKTX $NDAQ $PAGS $QTS $RIOC $SC $SNDR $SO $SYF $TSEM $WERN $WFC $WWE $XP I’m bullish on $INT this year🌙  https://t.co/n4xy8tmvX7,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Es97kyLXYAEXJM2.jpg'],1,1,3,[],"['acgl', 'axp', 'bmtc', 'bro', 'brx', 'ccmp', 'cg', 'clf', 'dlr', 'dri', 'emr', 'epam', 'eqix', 'etm', 'fb', 'ggg', 'gild', 'glpg', 'igt', 'int', 'ipgp', 'itw', 'jbht', 'kmx', 'le', 'lly', 'midd', 'mktx', 'ndaq', 'pags', 'qts', 'rioc', 'sc', 'sndr', 'so', 'syf', 'tsem', 'wern', 'wfc', 'wwe', 'xp', 'int']",https://twitter.com/evedra1991/status/1355437893867679745,False,,1,https://pbs.twimg.com/tweet_video_thumb/Es97kyLXYAEXJM2.jpg,,,,,,,[],,,,
1355342069070499843,1355342069070499843,2021-01-30 03:28:24 CET,2021-01-30,03:28:24,+0200,1134049078424162304,newsfilterio,Investor News,,Equinix Announces Tax Treatment of 2020 Distributions $EQIX  https://t.co/0ynaOy3Rqd,en,[],['https://newsfilter.io/articles/equinix-announces-tax-treatment-of-2020-distributions-5467ef7792f60ddb79630f25d19cb610'],[],0,0,0,[],['eqix'],https://twitter.com/newsfilterio/status/1355342069070499843,False,,0,,,,,,,,[],,,,
1355324369418018818,1355324369418018818,2021-01-30 02:18:05 CET,2021-01-30,02:18:05,+0200,1315434407692509184,earningsflyinc,Earningsfly Stock Research Bot,,Top 15 Real Estate stocks with market cap over 1 billion in 5 days.    https://t.co/uIZhV9QSo6  $CLNY $EXPI $EQIX $OHI $REG $CSGP $XLRE $GLPI $JOE $NVR $O $MAA $LEN $BRX $UDR  🚀🚀🚀🚀🚀  https://t.co/H8xpulFom8,en,[],['https://www.earningsfly.com/stocks/clny?source=twitter-bot'],['https://pbs.twimg.com/media/Es8UVHLXEAIAX52.jpg'],0,0,0,[],"['clny', 'expi', 'eqix', 'ohi', 'reg', 'csgp', 'xlre', 'glpi', 'joe', 'nvr', 'o', 'maa', 'len', 'brx', 'udr']",https://twitter.com/earningsflyinc/status/1355324369418018818,False,,1,https://pbs.twimg.com/media/Es8UVHLXEAIAX52.jpg,,,,,,,[],,,,
1355323630968823809,1355323630968823809,2021-01-30 02:15:08 CET,2021-01-30,02:15:08,+0200,1315434407692509184,earningsflyinc,Earningsfly Stock Research Bot,,Top 15 Real Estate stocks with market cap over 1 billion today.    https://t.co/dHbFpcam0E  $OPEN $INVH $CLNY $EQIX $MAA $CSGP $BEKE $GLPI $LGIH $REG $XLRE $EXPI $UDR $LEN $Z  🚀🚀🚀🚀🚀  https://t.co/f6gNOtJYaV,en,[],['https://www.earningsfly.com/stocks/open?source=twitter-bot'],['https://pbs.twimg.com/media/Es8TqI_W4AAhzA8.jpg'],0,0,0,[],"['open', 'invh', 'clny', 'eqix', 'maa', 'csgp', 'beke', 'glpi', 'lgih', 'reg', 'xlre', 'expi', 'udr', 'len', 'z']",https://twitter.com/earningsflyinc/status/1355323630968823809,False,,1,https://pbs.twimg.com/media/Es8TqI_W4AAhzA8.jpg,,,,,,,[],,,,
