id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355559213687160834,1355559213687160834,2021-01-30 17:51:16 CET,2021-01-30,17:51:16,+0200,1351544588519915520,vijayraj11122,Vijay,,"Alerts, Analysis, updates, free trials  Join here   $BBY $DG $CRM $DLTR $INTU $DKS $MDT $PANW $SJM $ICLK $OKTA $MRVL $ADSK $HRL $WDAY $BIG $COTY $ULTA $BOX $SPLK $BNS $TOL $VMW $BMO  https://t.co/JQQbRGiYmK",en,[],[],['https://pbs.twimg.com/media/Es_p52gXMAIMmYl.jpg'],0,0,0,[],"['bby', 'dg', 'crm', 'dltr', 'intu', 'dks', 'mdt', 'panw', 'sjm', 'iclk', 'okta', 'mrvl', 'adsk', 'hrl', 'wday', 'big', 'coty', 'ulta', 'box', 'splk', 'bns', 'tol', 'vmw', 'bmo']",https://twitter.com/Vijayraj11122/status/1355559213687160834,False,,1,https://pbs.twimg.com/media/Es_p52gXMAIMmYl.jpg,,,,,,,[],,,,
1355553420170711040,1355531710906179586,2021-01-30 17:28:14 CET,2021-01-30,17:28:14,+0200,1198475077643374592,economianuestra,Santiago Trigo - Nuestra Economía Colectiva,,@indepenrentista Hormel Foods $HRL 📊  https://t.co/ARKgsM1Rph,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Es_kpgTXcAQKfBL.jpg'],1,0,5,[],['hrl'],https://twitter.com/EconomiaNuestra/status/1355553420170711040,False,,1,https://pbs.twimg.com/tweet_video_thumb/Es_kpgTXcAQKfBL.jpg,,,,,,,"[{'screen_name': 'indepenrentista', 'name': 'El Indepenrentista', 'id': '1264968130687905794'}]",,,,
1355515361135898624,1355515361135898624,2021-01-30 14:57:01 CET,2021-01-30,14:57:01,+0200,716737614771044352,optioncharts,max pain,,$HRL high OI range is 46.00 to 46.00 for option expiration 02/05/2021 PutCallRatio=0.74 #maxpain #options  https://t.co/Oq10I46cBv  https://t.co/d703mgRs5U,en,[],['http://maximum-pain.com/options/HRL?m=02%2f05%2f2021'],['https://pbs.twimg.com/media/Es_CCcSXcAUiI8c.jpg'],0,0,0,"['maxpain', 'options']",['hrl'],https://twitter.com/optioncharts/status/1355515361135898624,False,,1,https://pbs.twimg.com/media/Es_CCcSXcAUiI8c.jpg,,,,,,,[],,,,
1355470867451568129,1355470867451568129,2021-01-30 12:00:12 CET,2021-01-30,12:00:12,+0200,56678999,marketcycles,Stock Traders Daily,,How to trade Hormel Foods $HRL With Risk Controls  https://t.co/e4URUvhZId  https://t.co/T3r9Czqvv7,en,[],['https://tinyurl.com/yyru36lc'],['https://pbs.twimg.com/media/Es-ZkgmXEAI2i_Y.png'],0,0,0,[],['hrl'],https://twitter.com/marketcycles/status/1355470867451568129,False,,1,https://pbs.twimg.com/media/Es-ZkgmXEAI2i_Y.png,,,,,,,[],,,,
1355421850080223232,1355421850080223232,2021-01-30 08:45:26 CET,2021-01-30,08:45:26,+0200,374729426,tickeron,Tickeron,,$HRL's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for this and other indicators:  https://t.co/BI4kHDSkta #HormelFoods #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/r5cQGiIkwA,en,[],['https://srnk.us/go/2497022'],['https://pbs.twimg.com/media/Es9s_VlU4AAqc9c.jpg'],0,1,0,"['hormelfoods', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['hrl'],https://twitter.com/Tickeron/status/1355421850080223232,False,,1,https://pbs.twimg.com/media/Es9s_VlU4AAqc9c.jpg,,,,,,,[],,,,
1355339402956787714,1355339402956787714,2021-01-30 03:17:49 CET,2021-01-30,03:17:49,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$VERB CEO To Verify Merger Discussions With Fortune 500 Company As Early As Next Week  https://t.co/Mv3xmUJu9A  $NYCB $PPL $MON $MOMO $HRL $MDT $AMRN $DG $MNKD $NOV,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],1,0,1,[],"['verb', 'nycb', 'ppl', 'mon', 'momo', 'hrl', 'mdt', 'amrn', 'dg', 'mnkd', 'nov']",https://twitter.com/askwarrenbuffet/status/1355339402956787714,False,,0,,,,,,,,[],,,,
1355305994507743233,1355305994507743233,2021-01-30 01:05:04 CET,2021-01-30,01:05:04,+0200,121158213,alerttrade,"Trade Alerts, Trade Ideas and Crypto 🇺🇸",,#AutomatedTrading #AlgoTrading #MachineLearning $SNDL $NAKD $CTRM $AAL $AMC $GNUS $EXPR $ZOM $CCL $XSPA $CSX $SYF $F $GSX $GIS $K $ED $HRL $CAG $SWI $CLX $KMB  #stocks #DayTrading #SwingTrading  🙋 15% off Monthly/Yearly with Coupon Code: MYDISCOUNT15  https://t.co/egbvLSf50A  https://t.co/JCdYvnV9Dm,en,[],['https://buff.ly/2CNPlW9'],['https://pbs.twimg.com/media/Es8DnlqXMAAScAD.png'],1,5,3,"['automatedtrading', 'algotrading', 'machinelearning', 'stocks', 'daytrading', 'swingtrading']","['sndl', 'nakd', 'ctrm', 'aal', 'amc', 'gnus', 'expr', 'zom', 'ccl', 'xspa', 'csx', 'syf', 'f', 'gsx', 'gis', 'k', 'ed', 'hrl', 'cag', 'swi', 'clx', 'kmb']",https://twitter.com/AlertTrade/status/1355305994507743233,False,,1,https://pbs.twimg.com/media/Es8DnlqXMAAScAD.png,,,,,,,[],,,,
1355285226902220807,1355285226902220807,2021-01-29 23:42:32 CET,2021-01-29,23:42:32,+0200,2422703600,swingtradebot,SwingTradeBot,,Scan results - Fell Below 50 DMA today: $EHTH $IRTC $IFF $BAH $HRL $SLQT $UBSI $PB $LOTZ $PK $RMD $LBTYA $ROP $GOCO $UNM $SYF $OLN $TDS $HRC $PFG ...  https://t.co/7iiD4ujTh7,en,[],['https://swingtradebot.com/events/2-fell-below-50-dma/equities?selected_date=2021-01-29'],[],0,0,0,[],"['ehth', 'irtc', 'iff', 'bah', 'hrl', 'slqt', 'ubsi', 'pb', 'lotz', 'pk', 'rmd', 'lbtya', 'rop', 'goco', 'unm', 'syf', 'oln', 'tds', 'hrc', 'pfg']",https://twitter.com/SwingTradeBot/status/1355285226902220807,False,,0,,,,,,,,[],,,,
1355274265860337666,1355274265860337666,2021-01-29 22:58:59 CET,2021-01-29,22:58:59,+0200,438262278,minteractapp,Super Stocks,,"Friday's Top Flow in #consumer staples sector, Buy Flow &amp; Sell Flow $PM $HRL $KR $MNST $KO $SYY $CL $CPB $CLX $ADM $K $WMT $MDLZ $PEP $CVS $PG $MO $HSY $TAP $MKC #stock #stocks #StockMarket #Investment #investing #consumers  https://t.co/5JE2nlrW3B  https://t.co/puHOPjCA46",en,[],['https://apple.co/2XZuTYw'],"['https://pbs.twimg.com/media/Es7mwjlUcAAlmtj.jpg', 'https://pbs.twimg.com/media/Es7mwpJVEAAsjOk.jpg', 'https://pbs.twimg.com/media/Es7mwu1UYAgaruu.jpg', 'https://pbs.twimg.com/media/Es7mw0eU4AA0IBv.jpg']",0,0,0,"['consumer', 'stock', 'stocks', 'stockmarket', 'investment', 'investing', 'consumers']","['pm', 'hrl', 'kr', 'mnst', 'ko', 'syy', 'cl', 'cpb', 'clx', 'adm', 'k', 'wmt', 'mdlz', 'pep', 'cvs', 'pg', 'mo', 'hsy', 'tap', 'mkc']",https://twitter.com/MinteractApp/status/1355274265860337666,False,,1,https://pbs.twimg.com/media/Es7mwjlUcAAlmtj.jpg,,,,,,,[],,,,
1355224413554135042,1355224413554135042,2021-01-29 19:40:53 CET,2021-01-29,19:40:53,+0200,1351544588519915520,vijayraj11122,Vijay,,"Alerts, Analysis, updates, free trials  Join here   $BBY $DG $CRM $DLTR $INTU $DKS $MDT $PANW $SJM $ICLK $OKTA $MRVL $ADSK $HRL $WDAY $BIG $COTY $ULTA $BOX $SPLK $BNS $TOL $VMW $BMO $TD $VEEV $HPE $DELL $BILI $BURL $PLCE $ANF $OLLI $PLAN $FLWS $VIOT  $HPQ $SOL $BITA $ATHM $NTAP  https://t.co/QfxsFEwHwr",in,[],[],['https://pbs.twimg.com/media/Es65YYnXAAg2DOe.jpg'],1,0,0,[],"['bby', 'dg', 'crm', 'dltr', 'intu', 'dks', 'mdt', 'panw', 'sjm', 'iclk', 'okta', 'mrvl', 'adsk', 'hrl', 'wday', 'big', 'coty', 'ulta', 'box', 'splk', 'bns', 'tol', 'vmw', 'bmo', 'td', 'veev', 'hpe', 'dell', 'bili', 'burl', 'plce', 'anf', 'olli', 'plan', 'flws', 'viot', 'hpq', 'sol', 'bita', 'athm', 'ntap']",https://twitter.com/Vijayraj11122/status/1355224413554135042,False,,1,https://pbs.twimg.com/media/Es65YYnXAAg2DOe.jpg,,,,,,,[],,,,
