id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355493227990663170,1355493227990663170,2021-01-30 13:29:04 CET,2021-01-30,13:29:04,+0200,1559920790,csimarket,CSIMarket.com,,"$JCI #StockMarket #JohnsonControlsInternationalPlc published financial first quarter of 2020 Revenues on  https://t.co/savSNTKlN1: Despite soft demand in the financial Q1 of 2020, company managed to improve its EPS per share, EPS per share more than…  https://t.co/qgZlz672Oo",en,[],"['http://CSIMarket.com', 'http://dlvr.it/Rrfxcd']",[],0,0,0,"['stockmarket', 'johnsoncontrolsinternationalplc']",['jci'],https://twitter.com/CSIMarket/status/1355493227990663170,False,,0,,,,,,,,[],,,,
1355412944020885508,1355412944020885508,2021-01-30 08:10:02 CET,2021-01-30,08:10:02,+0200,773578537764851712,sitefocushq,SiteFocus,,"$JCI Earnings Intelligence Analysis of recent earnings identified Johnson Controls International Plc (NYSE: JCI ) business focus on (attachment,margin,service), (attachment,conservative,service), (growth,markets,positive)   https://t.co/kcEfAAcj5D",en,[],['https://www.sitefocus.com/cif/ei/CM_jci00020210129'],[],0,0,0,[],['jci'],https://twitter.com/SiteFocusHQ/status/1355412944020885508,False,,0,,,,,,,,[],,,,
1355364970859540501,1355364970859540501,2021-01-30 04:59:25 CET,2021-01-30,04:59:25,+0200,1134049078424162304,newsfilterio,Investor News,,Recap: Johnson Controls Intl Q1 Earnings $JCI  https://t.co/dwCLdKSCtz,en,[],['https://newsfilter.io/articles/recap-johnson-controls-intl-q1-earnings-a8ec9a81458383558bd737e0b7973aa3'],[],0,0,0,[],['jci'],https://twitter.com/newsfilterio/status/1355364970859540501,False,,0,,,,,,,,[],,,,
1355343179210387456,1355343179210387456,2021-01-30 03:32:49 CET,2021-01-30,03:32:49,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$GRLF CEO To Release Details Of New Joint Venture With Unnamed Nasdaq Traded Stock Following Talks In South Florida  https://t.co/Mv3xmUJu9A  $CVS $ETFC $GGB $NBR $UOIP $AABA $DPBE $AUY $IDGC $CVE $JCI $SRC $VOD $TER,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],2,1,1,[],"['grlf', 'cvs', 'etfc', 'ggb', 'nbr', 'uoip', 'aaba', 'dpbe', 'auy', 'idgc', 'cve', 'jci', 'src', 'vod', 'ter']",https://twitter.com/askwarrenbuffet/status/1355343179210387456,False,,0,,,,,,,,[],,,,
1355329155013996546,1355329155013996546,2021-01-30 02:37:06 CET,2021-01-30,02:37:06,+0200,1315434407692509184,earningsflyinc,Earningsfly Stock Research Bot,,Top 15 Industrials stocks with market cap over 1 billion today.    https://t.co/witIr4A1il  $SBLK $JCI $CVA $CARR $IRM $CATM $PBI $HMSY $BLDP $TT $TRN $GLNG $IEP $PH $TDG  🚀🚀🚀🚀🚀  https://t.co/Msrrg00u5r,en,[],['https://www.earningsfly.com/stocks/sblk?source=twitter-bot'],['https://pbs.twimg.com/media/Es8YrrmXIAANwmp.jpg'],0,0,0,[],"['sblk', 'jci', 'cva', 'carr', 'irm', 'catm', 'pbi', 'hmsy', 'bldp', 'tt', 'trn', 'glng', 'iep', 'ph', 'tdg']",https://twitter.com/earningsflyinc/status/1355329155013996546,False,,1,https://pbs.twimg.com/media/Es8YrrmXIAANwmp.jpg,,,,,,,[],,,,
1355256162556506113,1355256162556506113,2021-01-29 21:47:03 CET,2021-01-29,21:47:03,+0200,2422703600,swingtradebot,SwingTradeBot,,Rose Above Previous Day's High today: $TEDU $SOVB $PXE $AGM $MZZ $FIBR $JCI $YJ $MNTX $FPH $PFL $GYC $APDN $AKUS $BIT $PKO $GIX $HHR $JRSH $HDB ...  https://t.co/TBYRpvrFqi,tl,[],['https://swingtradebot.com/alerts/42-rose-above-previous-day-s-high'],[],0,0,1,[],"['tedu', 'sovb', 'pxe', 'agm', 'mzz', 'fibr', 'jci', 'yj', 'mntx', 'fph', 'pfl', 'gyc', 'apdn', 'akus', 'bit', 'pko', 'gix', 'hhr', 'jrsh', 'hdb']",https://twitter.com/SwingTradeBot/status/1355256162556506113,False,,0,,,,,,,,[],,,,
1355245951577894917,1355245006987079684,2021-01-29 21:06:28 CET,2021-01-29,21:06:28,+0200,1196927877125738504,mundacio,🐍,,"ha aguantado muy bien la caída del mercado, muy bien.   $JCI  https://t.co/9vUZaWYjR4",es,[],[],['https://pbs.twimg.com/media/Es7M9b1XEAMaXx3.png'],0,0,1,[],['jci'],https://twitter.com/Mundacio/status/1355245951577894917,False,,1,https://pbs.twimg.com/media/Es7M9b1XEAMaXx3.png,,,,,,,[],,,,
1355245006987079684,1355245006987079684,2021-01-29 21:02:43 CET,2021-01-29,21:02:43,+0200,1196927877125738504,mundacio,🐍,,Me fui largos en $JCI.,es,[],[],[],1,0,0,[],['jci'],https://twitter.com/Mundacio/status/1355245006987079684,False,,0,,,,,,,,[],,,,
1355232676383342592,1355232676383342592,2021-01-29 20:13:43 CET,2021-01-29,20:13:43,+0200,23059499,seekingalpha,Seeking Alpha,,$JCI - Johnson Controls International plc 2021 Q1 - Results - Earnings Call Presentation.  https://t.co/QEXrRtATdQ #economy #markets #investing,en,[],['https://seekingalpha.com/article/4402039-johnson-controls-international-plc-2021-q1-results-earnings-call-presentation?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated'],[],0,0,0,"['economy', 'markets', 'investing']",['jci'],https://twitter.com/SeekingAlpha/status/1355232676383342592,False,,0,,,,,,,,[],,,,
1355224737639612417,1355224737639612417,2021-01-29 19:42:10 CET,2021-01-29,19:42:10,+0200,23059499,seekingalpha,Seeking Alpha,,$JCI - Johnson Controls International's (JCI) CEO George Oliver on Q1 2021 Results - Earnings Call Transcript.  https://t.co/sRSu9pxvHD #stockmarket #investing #economy,en,[],['https://seekingalpha.com/article/4402062-johnson-controls-internationals-jci-ceo-george-oliver-on-q1-2021-results-earnings-call?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated'],[],0,0,0,"['stockmarket', 'investing', 'economy']",['jci'],https://twitter.com/SeekingAlpha/status/1355224737639612417,False,,0,,,,,,,,[],,,,
