id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355610980798095372,1355610980798095372,2021-01-30 21:16:58 CET,2021-01-30,21:16:58,+0200,116588620,tearanoob,The Best Revenge Is Massive Success,,Any thoughts on $kmi #stock wit their high #dividend payout and their stock buy back program back. #WallStreet,en,[],[],[],0,0,0,"['stock', 'dividend', 'wallstreet']",['kmi'],https://twitter.com/Tearanoob/status/1355610980798095372,False,,0,,,,,,,,[],,,,
1355588730208194563,1355588730208194563,2021-01-30 19:48:33 CET,2021-01-30,19:48:33,+0200,576434817,marketfollows,Market Follows,,Is Kinder Morgan Stock a Buy? $KMI  https://t.co/V5o3oLWaDG $SPY,en,[],['http://dlvr.it/Rrgpky'],[],0,0,0,[],"['kmi', 'spy']",https://twitter.com/MarketFollows/status/1355588730208194563,False,,0,,,,,,,,[],,,,
1355587245722521602,1355587245722521602,2021-01-30 19:42:39 CET,2021-01-30,19:42:39,+0200,1291526440979255296,b_funk_,B. Funk,,Oil production will continue to decline into ‘21 just as demand is picking up.    The majors have slashed caped not just for ‘21 but for the next 3-5 years $XOM $CVX.   Prices are going higher and so are $CLR $APA $OXY $CVE $SM $KMI $PNF   https://t.co/5gM0zopyTF,en,[],['http://www.artberman.com/2021/01/15/duc2k-drilled-uncompleted-wells-wont-save-u-s-oil-production/'],[],0,0,4,[],"['xom', 'cvx', 'clr', 'apa', 'oxy', 'cve', 'sm', 'kmi', 'pnf']",https://twitter.com/B_Funk_/status/1355587245722521602,False,,0,,,,,,,,[],,,,
1355513354475995138,1355513354475995138,2021-01-30 14:49:02 CET,2021-01-30,14:49:02,+0200,963495628545327104,stckpro,STCK.PRO,,$KMI NEW ARTICLE : Is Kinder Morgan Stock a Buy?  https://t.co/wnm2hB1yKB Get all the latest $KMI related news here :  https://t.co/95L5IBL3Tx  https://t.co/ZSZ5jJbzQI,en,[],"['https://www.stck.pro/news/KMI/10675901', 'https://www.stck.pro/news/KMI']",['https://pbs.twimg.com/media/Es_ANl7WMAs3GF3.jpg'],0,0,0,[],"['kmi', 'kmi']",https://twitter.com/StckPro/status/1355513354475995138,False,,1,https://pbs.twimg.com/media/Es_ANl7WMAs3GF3.jpg,,,,,,,[],,,,
1355467844570345477,1355467844570345477,2021-01-30 11:48:12 CET,2021-01-30,11:48:12,+0200,374729426,tickeron,Tickeron,,$KMI in Downtrend: Stochastic indicator reaching into oversold zone View odds for this and other indicators:  https://t.co/nXs28eLrFk #KinderMorgan #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/9fZqjYg8yS,en,[],['https://srnk.us/go/2497323'],['https://pbs.twimg.com/media/Es-W0laU4AE0Tef.jpg'],0,0,0,"['kindermorgan', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['kmi'],https://twitter.com/Tickeron/status/1355467844570345477,False,,1,https://pbs.twimg.com/media/Es-W0laU4AE0Tef.jpg,,,,,,,[],,,,
1355456488605679618,1355456488605679618,2021-01-30 11:03:04 CET,2021-01-30,11:03:04,+0200,2422703600,swingtradebot,SwingTradeBot,,$KMI technical alerts: Fell Below 200 DMA and Fell Below 50 DMA   https://t.co/Y3kERfDjma,en,[],['https://swingtradebot.com/equities/KMI'],[],0,0,0,[],['kmi'],https://twitter.com/SwingTradeBot/status/1355456488605679618,False,,0,,,,,,,,[],,,,
1355371510446370816,1355371510446370816,2021-01-30 05:25:24 CET,2021-01-30,05:25:24,+0200,116588620,tearanoob,The Best Revenge Is Massive Success,,"$KMI i know the world is moving to cleaner sources of energy, luckily KMI know this and are taking small steps to move towards that goal   https://t.co/wFJ5PmJd7P",en,[],['https://www.fool.com/investing/2021/01/23/how-kinder-morgan-is-transitioning-to-the-future-o/'],[],0,1,0,[],['kmi'],https://twitter.com/Tearanoob/status/1355371510446370816,False,,0,,,,,,,,[],,,,
1355347140743053312,1355347140743053312,2021-01-30 03:48:34 CET,2021-01-30,03:48:34,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$HBRM Confirmation Of Insider Buying As New Share Buy Back Program Announced  https://t.co/Mv3xmUJu9A  $KMI $SDRL $NSAV $KO $MYDX $BABA $GTHP $DCTH $PG $PAOG $SIRI $EBAY $APYP,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,0,0,[],"['hbrm', 'kmi', 'sdrl', 'nsav', 'ko', 'mydx', 'baba', 'gthp', 'dcth', 'pg', 'paog', 'siri', 'ebay', 'apyp']",https://twitter.com/askwarrenbuffet/status/1355347140743053312,False,,0,,,,,,,,[],,,,
1355341595441299465,1355341595441299465,2021-01-30 03:26:32 CET,2021-01-30,03:26:32,+0200,818481118483742720,mc_optiontrades,Chameleon 🦎 Options,,$KMI 19-Feb-21 ATM Implied Vol Increases +9.3%. Straddle Implies a Move of ±7.6%  https://t.co/YmSGAUrJNv,en,[],['https://marketchameleon.com/Overview/KMI/OptionSummary/'],[],0,0,0,[],['kmi'],https://twitter.com/MC_OptionTrades/status/1355341595441299465,False,,0,,,,,,,,[],,,,
1355279066526584839,1355279066526584839,2021-01-29 23:18:03 CET,2021-01-29,23:18:03,+0200,818481118483742720,mc_optiontrades,Chameleon 🦎 Options,,$KMI Option Order Flow Sentiment is 64.3% Bullish.  https://t.co/bdl5SmMz2L,en,[],['https://marketchameleon.com/Overview/KMI/OptionOrderSentiment/'],[],0,0,0,[],['kmi'],https://twitter.com/MC_OptionTrades/status/1355279066526584839,False,,0,,,,,,,,[],,,,
1355271653643571200,1355271653643571200,2021-01-29 22:48:36 CET,2021-01-29,22:48:36,+0200,438262278,minteractapp,Super Stocks,,"Friday's Top Flow in #energy sector, Buy Flow &amp; Sell Flow $KMI $PXD $MUR $WMB $SLB $PSX $RIG $MPC $EQT $HP $EOG $RRC $APA $CVX $NBR $VLO $OXY $COP $HAL $COG #stock #stocks #StockMarket #Investment #investing #OilPrice #Oil #oilandgas  https://t.co/5JE2nlrW3B  https://t.co/husOKcw4C9",en,[],['https://apple.co/2XZuTYw'],"['https://pbs.twimg.com/media/Es7kYhQVgAMNuAs.jpg', 'https://pbs.twimg.com/media/Es7kYnEU0AMbwkI.jpg', 'https://pbs.twimg.com/media/Es7kYsLUYAEcrlx.jpg', 'https://pbs.twimg.com/media/Es7kYw_U0AIEMUL.jpg']",0,0,0,"['energy', 'stock', 'stocks', 'stockmarket', 'investment', 'investing', 'oilprice', 'oil', 'oilandgas']","['kmi', 'pxd', 'mur', 'wmb', 'slb', 'psx', 'rig', 'mpc', 'eqt', 'hp', 'eog', 'rrc', 'apa', 'cvx', 'nbr', 'vlo', 'oxy', 'cop', 'hal', 'cog']",https://twitter.com/MinteractApp/status/1355271653643571200,False,,1,https://pbs.twimg.com/media/Es7kYhQVgAMNuAs.jpg,,,,,,,[],,,,
1355264651685220355,1355264651685220355,2021-01-29 22:20:47 CET,2021-01-29,22:20:47,+0200,395416760,realfrugalmogul,Frugal Mogul 🏡,,Did you know that it is possible for you to develop your own investment strategy and not follow the stock market hypes?   I show you just how I did that on this blog post.   147% (annualized) return!  $GME $AMC $EPD $NS $KMI $CVA $ET $GEL $SUN $TRGP $USAC   https://t.co/4OXqeXtnEp,en,[],['https://poormogul.blogspot.com/2021/01/the-birth-of-investment-strategy.html?m=1'],[],0,0,4,[],"['gme', 'amc', 'epd', 'ns', 'kmi', 'cva', 'et', 'gel', 'sun', 'trgp', 'usac']",https://twitter.com/RealFrugalMogul/status/1355264651685220355,False,,0,,,,,,,,[],,,,
1355263438000369671,1355242069040766980,2021-01-29 22:15:57 CET,2021-01-29,22:15:57,+0200,25762392,aaaamhim,Obi,,@stoolpresidente We got this bro!! THANK YOU SO MUCH FOR STANDING UP for the small guys. You're a king kid💯 $AMC see you at $40+ it's a revolution. Shorts have no idea what they're up against. #WeThePeople   #bitcoin$GE $BAC $F $FCX $JCP $CHK $AUY $PBR $CLF $WFC $AA $ABBV $KMI $DIS $TSM $BK $JPM  https://t.co/qhK3wpYiHE,en,[],[],['https://pbs.twimg.com/media/Es7c6kNXcAEPm6B.jpg'],0,3,5,"['wethepeople', 'bitcoin']","['amc', 'bac', 'f', 'fcx', 'jcp', 'chk', 'auy', 'pbr', 'clf', 'wfc', 'aa', 'abbv', 'kmi', 'dis', 'tsm', 'bk', 'jpm']",https://twitter.com/aaaamhim/status/1355263438000369671,False,,1,https://pbs.twimg.com/media/Es7c6kNXcAEPm6B.jpg,,,,,,,"[{'screen_name': 'stoolpresidente', 'name': 'Dave Portnoy', 'id': '43775786'}]",,,,
1355259477763776512,1355259477763776512,2021-01-29 22:00:13 CET,2021-01-29,22:00:13,+0200,1259494808051163136,thebubbleboard,thebubbleboard,,Fri Jan 29th Today's WORST performing sector at the close  Energy -2.9%  follow along here:  https://t.co/e5ZOTPCKMg  #energy #stockbubbles #equitytrading #stockmarket #stocks $EPD $ENB $TRP $EQNR $COP $XOM $KMI $SU $BP $SNP  https://t.co/uA7mVvQ0do,en,[],"['https://thebubbleboard.com/?tickers=EPD,ENB,TRP,EQNR,COP,XOM,KMI,SU,BP,SNP,PTR,VLO,RDS.B,E,TOT,CVX,PBR,PSX,EOG,CEO&name=Energy&utm_medium=bot-post']",['https://pbs.twimg.com/media/Es7ZT_NW8AEywga.jpg'],0,0,0,"['energy', 'stockbubbles', 'equitytrading', 'stockmarket', 'stocks']","['epd', 'enb', 'trp', 'eqnr', 'cop', 'xom', 'kmi', 'su', 'bp', 'snp']",https://twitter.com/thebubbleboard/status/1355259477763776512,False,,1,https://pbs.twimg.com/media/Es7ZT_NW8AEywga.jpg,,,,,,,[],,,,
1355242158593171460,1355242158593171460,2021-01-29 20:51:24 CET,2021-01-29,20:51:24,+0200,1229590007167373315,panxitotrades,panXito trades,,". CLOSED/SOLD: $TWTR $NIO shares $CLOV for a loss $METX $AYRO $BP for a loss $SOLO $HDSN $BYND  . KEPT: $NIO opt calls $FUBO $AMC opened 2 days ago $KMI short $RMO $VLDR and of course $VXX . Just protecting my gains, $SPY broke $370 so not comfy holding.  .  https://t.co/osj4MrGirX",en,[],[],['https://pbs.twimg.com/media/Es7Jj7UU4AMdekE.jpg'],0,0,2,[],"['twtr', 'nio', 'clov', 'metx', 'ayro', 'bp', 'solo', 'hdsn', 'bynd', 'nio', 'fubo', 'amc', 'kmi', 'rmo', 'vldr', 'vxx', 'spy']",https://twitter.com/PanxitoTrades/status/1355242158593171460,False,,1,https://pbs.twimg.com/media/Es7Jj7UU4AMdekE.jpg,,,,,,,[],,,,
1355233248302002189,1355211314843553802,2021-01-29 20:16:00 CET,2021-01-29,20:16:00,+0200,1135712570,tbhraza,Raza Zubair,,@richassvc I like $LMT $NOC $KMI,en,[],[],[],0,0,1,[],"['lmt', 'noc', 'kmi']",https://twitter.com/tbhraza/status/1355233248302002189,False,,0,,,,,,,,"[{'screen_name': 'richassvc', 'name': '₿ryce Du Pont', 'id': '1329144752479068161'}]",,,,
1355232694238642178,1355232694238642178,2021-01-29 20:13:47 CET,2021-01-29,20:13:47,+0200,21066148,mchaudhry82,Maria Chaudhry,,$KMI Kinder Morgan call volume above normal and directionally bullish  https://t.co/SNjn83QIU4,en,[],[],['https://pbs.twimg.com/media/Es7A9AgXMAMpgRv.jpg'],0,0,1,[],['kmi'],https://twitter.com/mchaudhry82/status/1355232694238642178,False,,1,https://pbs.twimg.com/media/Es7A9AgXMAMpgRv.jpg,,,,,,,[],,,,
1355229398572609539,1355229398572609539,2021-01-29 20:00:42 CET,2021-01-29,20:00:42,+0200,1027827540960862208,stockbeep,Stockbeep Scanner,,#Stocks trending lower in afternoon trading (lower lows)  $PFE $BAC $ADMP $FB $WFC $NCLH $C $ET $KMI $SOLO   (+90 more results)  Scan updates every 5 secs. #trading #fintwit  https://t.co/WPffuK9pcX  #Stocks trending lower in afternoon trading (lower lows)  $PFE $BAC $A,en,[],['http://stockbeep.com/dnt-jan29p'],[],1,0,0,"['stocks', 'trading', 'fintwit', 'stocks']","['pfe', 'bac', 'admp', 'fb', 'wfc', 'nclh', 'c', 'et', 'kmi', 'solo', 'pfe', 'bac', 'a']",https://twitter.com/stockbeep/status/1355229398572609539,False,,0,,,,,,,,[],,,,
1355225505633607683,1355225505633607683,2021-01-29 19:45:14 CET,2021-01-29,19:45:14,+0200,3646985662,sbwcws,Shifting Wealth,,Kinder Morgan call volume above normal and directionally bullish $KMI,en,[],[],[],0,0,0,[],['kmi'],https://twitter.com/sbwcws/status/1355225505633607683,False,,0,,,,,,,,[],,,,
