id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355526098268925959,1355526098268925959,2021-01-30 15:39:40 CET,2021-01-30,15:39:40,+0200,712954729,gloriaagudeloca,DONNA...,,"De descarados y este #Alcalde. Los bogotanos no deben donar ni un solo peso. Ojo Bogotanos, los tiene quebrados y va por más.  Inseguridad y desempleo al tope. Ni un $más",es,[],[],[],0,0,1,['alcalde'],[],https://twitter.com/GloriaAgudeloCa/status/1355526098268925959,False,https://twitter.com/Johanajjcol/status/1355134388539973636,0,,,,,,,,[],,,,
1355490319530393601,1355490319530393601,2021-01-30 13:17:30 CET,2021-01-30,13:17:30,+0200,1184025479084331008,mehabecapital,Jeremy,,"Unusually heavy option volume on today's open include $MAS, $ORLY, $FMC, $VMC, and $ETN.",en,[],[],[],0,0,1,[],"['mas', 'orly', 'fmc', 'vmc', 'etn']",https://twitter.com/mehabecapital/status/1355490319530393601,False,,0,,,,,,,,[],,,,
1355451830113722370,1355451830113722370,2021-01-30 10:44:34 CET,2021-01-30,10:44:34,+0200,374729426,tickeron,Tickeron,,"$MAS in -5.66% Downtrend, sliding for three consecutive days on January 27, 2021. View odds for this and other indicators:  https://t.co/h4rJbFZr9B #Mas #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/BTn0KuY3Nz",en,[],['https://srnk.us/go/2497215'],['https://pbs.twimg.com/media/Es-IQa_U0AAvMim.png'],0,0,0,"['mas', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['mas'],https://twitter.com/Tickeron/status/1355451830113722370,False,,1,https://pbs.twimg.com/media/Es-IQa_U0AAvMim.png,,,,,,,[],,,,
1355068942188863495,1355068942188863495,2021-01-29 09:23:06 CET,2021-01-29,09:23:06,+0200,916038000827449344,swftcoin,SWFT Blockchain,,"$MASS from @massnetorg is listed on #SWFTBlockchain!  Here's what you can do now: 💱Swaps $MASS with 200s of #cryptos 💳Pay with $MASS using just a link! 🧧Share $MAS in red packets with up to 5,000 people  Get SWFT Blockchain👇 🍏 https://t.co/KeKe5xPDQf 🤖 https://t.co/DZHMNb2XI8  https://t.co/JedmCrBcE9",en,"[{'screen_name': 'massnetorg', 'name': 'mass', 'id': '1115572539927846912'}]","['http://bit.ly/SWFTiOS', 'http://bit.ly/SWFTAndroid']",['https://pbs.twimg.com/media/Es4r_caVEAEy_QW.jpg'],1,2,7,"['swftblockchain', 'cryptos']","['mass', 'mass', 'mass', 'mas']",https://twitter.com/SwftCoin/status/1355068942188863495,False,,1,https://pbs.twimg.com/media/Es4r_caVEAEy_QW.jpg,,,,,,,[],,,,
1354840275084922880,1354840275084922880,2021-01-28 18:14:27 CET,2021-01-28,18:14:27,+0200,1190270040500649985,masgoldcorp,MAS Gold Corp. - Gold Horizons Wide Open,,$MAS is ready for some gold harvest. @adavidsonsk   https://t.co/vpW7qN0QMD,en,"[{'screen_name': 'adavidsonsk', 'name': 'andrew davidson', 'id': '753800151563587585'}]",['https://www.kitco.com/commentaries/investment-trends/2021-01-28/Why-the-horizon-is-wide-open-for-this-mining-company.html'],[],0,1,0,[],['mas'],https://twitter.com/masgoldcorp/status/1354840275084922880,False,,0,,,,,,,,[],,,,
1354806157416648706,1354806157416648706,2021-01-28 15:58:53 CET,2021-01-28,15:58:53,+0200,2422703600,swingtradebot,SwingTradeBot,,Rose Above Previous Day's High today: $UNP $ROP $PRU $ARI $FTV $MTB $KEY $NUE $UNH $CTLT $EOG $STT $BKNG $ECL $HPQ $HON $ITW $GWW $MAS $CI ...  https://t.co/TBYRpva41I,en,[],['https://swingtradebot.com/alerts/42-rose-above-previous-day-s-high'],[],0,0,0,[],"['unp', 'rop', 'pru', 'ari', 'ftv', 'mtb', 'key', 'nue', 'unh', 'ctlt', 'eog', 'stt', 'bkng', 'ecl', 'hpq', 'hon', 'itw', 'gww', 'mas', 'ci']",https://twitter.com/SwingTradeBot/status/1354806157416648706,False,,0,,,,,,,,[],,,,
1354804362564956169,1354804362564956169,2021-01-28 15:51:45 CET,2021-01-28,15:51:45,+0200,895929863521095680,tradeflags,TradeFlags,,"#GSector #BUY WK3 $HDD.DE, $FDX, $OSK, $BLDR, $DE, $KNX, $RHM.DE, $JBHT, $ARCB, $MAS  #Industrials $XLI $DIA #growthstocks #stocks #finance #investment  https://t.co/QyegaSCzHe  https://t.co/wjdtGHTuNg",en,[],['https://tinyurl.com/y4fav6bn'],['https://pbs.twimg.com/media/Es07YyWUUAQB27D.png'],0,0,0,"['gsector', 'buy', 'industrials', 'growthstocks', 'stocks', 'finance', 'investment']","['hdd.de', 'fdx', 'osk', 'bldr', 'de', 'knx', 'rhm.de', 'jbht', 'arcb', 'mas', 'xli', 'dia']",https://twitter.com/TradeFlags/status/1354804362564956169,False,,1,https://pbs.twimg.com/media/Es07YyWUUAQB27D.png,,,,,,,[],,,,
1354738199688589314,1354734788352102405,2021-01-28 11:28:51 CET,2021-01-28,11:28:51,+0200,916700326677360640,altcoinadoption,AC adoption ⚡️,,@TrustWalletApp $VALUE $XRP $BAX  $TOMO $JUL $JulD $MAS $MCASH,fi,[],[],[],2,0,8,[],"['value', 'xrp', 'bax', 'tomo', 'jul', 'juld', 'mas', 'mcash']",https://twitter.com/AltcoinAdoption/status/1354738199688589314,False,,0,,,,,,,,"[{'screen_name': 'TrustWalletApp', 'name': 'Trust - Crypto Wallet', 'id': '911011433147654144'}]",,,,
1354595061867151360,1354595061867151360,2021-01-28 02:00:04 CET,2021-01-28,02:00:04,+0200,1218527022449864706,crypto_buy_tips,Crypto Buying Tips,,How and Where to Buy MidasProtocol (MAS) – An Easy Step by Step Guide #MidasProtocol $MidasProtocol #MAS $MAS #bitcoin #btc #crypto #cryptocurrencies #cryptobuyingtips #blockchain #coin #coinbase #binance #cryptotrading    https://t.co/77LRsmrXN0,en,[],['https://cryptobuyingtips.com/guides/how-to-buy-midasprotocol-mas'],[],0,0,0,"['midasprotocol', 'mas', 'bitcoin', 'btc', 'crypto', 'cryptocurrencies', 'cryptobuyingtips', 'blockchain', 'coin', 'coinbase', 'binance', 'cryptotrading']",['mas'],https://twitter.com/crypto_buy_tips/status/1354595061867151360,False,,0,,,,,,,,[],,,,
1354584790129754112,1354584790129754112,2021-01-28 01:19:15 CET,2021-01-28,01:19:15,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,"$FTCH Massive Exposure Coming, To Be Featured On Jim Cramer's CNBC ""Mad Money"" Segment Next Week   https://t.co/Mv3xmUJu9A  $MAS $WBA $NLY $TWX $BLLB $XLNX $UITA $ABT $CLNS $NE $VER $COG $YNDX $GRCK",en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,0,1,[],"['ftch', 'mas', 'wba', 'nly', 'twx', 'bllb', 'xlnx', 'uita', 'abt', 'clns', 'ne', 'ver', 'cog', 'yndx', 'grck']",https://twitter.com/askwarrenbuffet/status/1354584790129754112,False,,0,,,,,,,,[],,,,
