id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355626716652167170,1355626716652167170,2021-01-30 22:19:30 CET,2021-01-30,22:19:30,+0200,351124316,brandonvanzee,𝐁𝐫𝐚𝐧𝐝𝐨𝐧 𝐕𝐚𝐧 𝐙𝐞𝐞,,Another big earnings week on the horizon. Dividend investors might want to keep their eyes on:  $AMGN $CB $SMG $ALL $HUM $YUM $PM $EL $SNY $AON $ITW $PFE $UPS $XOM $QCOM $TMO $ABBV $ATVI $CLX $BMY $BP $GILD $OTIS $MRK $HOG $MDC $MCK $MPC,en,[],[],[],4,1,17,[],"['amgn', 'cb', 'smg', 'all', 'hum', 'yum', 'pm', 'el', 'sny', 'aon', 'itw', 'pfe', 'ups', 'xom', 'qcom', 'tmo', 'abbv', 'atvi', 'clx', 'bmy', 'bp', 'gild', 'otis', 'mrk', 'hog', 'mdc', 'mck', 'mpc']",https://twitter.com/BrandonVanZee/status/1355626716652167170,False,https://twitter.com/eWhispers/status/1355517171359768579,0,,,,,,,,[],,,,
1355483068719501318,1355483068719501318,2021-01-30 12:48:41 CET,2021-01-30,12:48:41,+0200,374729426,tickeron,Tickeron,,$MCK in Downtrend: RSI indicator exits overbought zone. View odds for this and other indicators:  https://t.co/H8v9T2FAwY #Mckesson #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/7QHrFYjfpp,en,[],['https://srnk.us/go/2497434'],['https://pbs.twimg.com/media/Es-kqwYUwAAhp8g.jpg'],0,0,0,"['mckesson', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['mck'],https://twitter.com/Tickeron/status/1355483068719501318,False,,1,https://pbs.twimg.com/media/Es-kqwYUwAAhp8g.jpg,,,,,,,[],,,,
1355445504683991043,1355445504683991043,2021-01-30 10:19:25 CET,2021-01-30,10:19:25,+0200,1134049078424162304,newsfilterio,Investor News,,Form SC 13G/A (statement of acquisition of beneficial ownership by individuals) filed with the SEC $MCK  https://t.co/AqikyibJqx,en,[],['https://newsfilter.io/articles/sc-13ga-form---amend-statement-of-acquisition-of-beneficial-ownership-by-individuals---mckesson-corp-0081577569a991c9c9b1f6d721427ad4'],[],0,0,1,[],['mck'],https://twitter.com/newsfilterio/status/1355445504683991043,False,,0,,,,,,,,[],,,,
1355374896059195394,1355374896059195394,2021-01-30 05:38:51 CET,2021-01-30,05:38:51,+0200,1273844033861844993,jarvis_alerts,Jarvis-Alerts,,"$MCK 185C @ 4.75 Exp:12-Mar-21 ↑↑   Total(Day): $99,275",en,[],[],[],0,0,0,[],['mck'],https://twitter.com/Jarvis_Alerts/status/1355374896059195394,False,,0,,,,,,,,[],,,,
1355367083933052929,1355367083933052929,2021-01-30 05:07:48 CET,2021-01-30,05:07:48,+0200,925751546159169536,sleekoptions,sleekOptions,,"$MCK stock trading volume up by +112.13% | 1,707,766 vs 805,070    https://t.co/JShLjNhV0k",en,[],['https://www.sleekoptions.com/sleekscan.aspx?did=MCK'],[],0,0,0,[],['mck'],https://twitter.com/sleekoptions/status/1355367083933052929,False,,0,,,,,,,,[],,,,
1355338545548943363,1355338545548943363,2021-01-30 03:14:24 CET,2021-01-30,03:14:24,+0200,1134049078424162304,newsfilterio,Investor News,,Congresswoman urges Biden team to involve more distributors in COVID vaccine shipments $MCK $JNJ $CAH $ABC  https://t.co/nYf79xLgsO,en,[],['https://newsfilter.io/articles/congresswoman-urges-biden-team-to-involve-more-distributors-in-covid-vaccine-shipments-f311f35994a4439d763a9f0414dced8c'],[],0,0,0,[],"['mck', 'jnj', 'cah', 'abc']",https://twitter.com/newsfilterio/status/1355338545548943363,False,,0,,,,,,,,[],,,,
1355305571323437056,1355305571323437056,2021-01-30 01:03:23 CET,2021-01-30,01:03:23,+0200,925751546159169536,sleekoptions,sleekOptions,,"$MCK stock trading volume up by +111.30% | 1,701,077 vs 805,070    https://t.co/JShLjNhV0k",en,[],['https://www.sleekoptions.com/sleekscan.aspx?did=MCK'],[],0,0,0,[],['mck'],https://twitter.com/sleekoptions/status/1355305571323437056,False,,0,,,,,,,,[],,,,
1355304908375773185,1355304908375773185,2021-01-30 01:00:45 CET,2021-01-30,01:00:45,+0200,1130525203619037185,11graphs,11Graphs,,"Lowest P/S among #stocks $SPX $SPY 1. 🇺🇸 CARDINAL HEALTH, INC. $CAH: 0.11 2. 🇺🇸 ALBERTSONS COMPANIES. $ACI: 0.12 3. 🇺🇸 MCKESSON CORPORATION $MCK: 0.12 4. 🇺🇸 AMERISOURCEBERGEN CO. $ABC: 0.12 5. 🇺🇸 SYNNEX CORPORATION $SNX: 0.18",en,[],[],[],0,0,3,['stocks'],"['spx', 'spy', 'cah', 'aci', 'mck', 'abc', 'snx']",https://twitter.com/11Graphs/status/1355304908375773185,False,,0,,,,,,,,[],,,,
1355287079874424836,1355287079874424836,2021-01-29 23:49:54 CET,2021-01-29,23:49:54,+0200,16118365,ro_patel,Ro Patel,,This sense of urgency should be occurring everywhere. No storing in a freezer &amp; vaccinating later when it is convenient. Do it now!!!  New Rule:  Only vodka &amp; ice cream deserves space in the freezer - nothing else.  $PFE $MRNA $MCK  https://t.co/VKNeauUjCY,en,[],[],['https://pbs.twimg.com/media/Es7yaqGXcAIibBz.png'],0,0,1,[],"['pfe', 'mrna', 'mck']",https://twitter.com/Ro_Patel/status/1355287079874424836,False,,1,https://pbs.twimg.com/media/Es7yaqGXcAIibBz.png,,,,,,,[],,,,
1355273016951754754,1355273016951754754,2021-01-29 22:54:01 CET,2021-01-29,22:54:01,+0200,438262278,minteractapp,Super Stocks,,"Friday's Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $VRTX $REGN $ALXN $BSX $DGX $CAH $AMGN $PKI $MCK $PRGO $UNH $EW $BIIB $SYK $BAX $HUM $VAR $ABBV $GILD $MDT #stock #stocks #StockMarket #Investment #investing #HealthTech  https://t.co/5JE2nlrW3B  https://t.co/7qgG8SLEcS",en,[],['https://apple.co/2XZuTYw'],"['https://pbs.twimg.com/media/Es7lnrmUYAEp4DE.jpg', 'https://pbs.twimg.com/media/Es7lnx4VcAIxdMn.jpg', 'https://pbs.twimg.com/media/Es7ln2yUYAAA7PT.jpg', 'https://pbs.twimg.com/media/Es7ln8NVoAA6ZC7.jpg']",0,0,0,"['healthcare', 'stock', 'stocks', 'stockmarket', 'investment', 'investing', 'healthtech']","['vrtx', 'regn', 'alxn', 'bsx', 'dgx', 'cah', 'amgn', 'pki', 'mck', 'prgo', 'unh', 'ew', 'biib', 'syk', 'bax', 'hum', 'var', 'abbv', 'gild', 'mdt']",https://twitter.com/MinteractApp/status/1355273016951754754,False,,1,https://pbs.twimg.com/media/Es7lnrmUYAEp4DE.jpg,,,,,,,[],,,,
