id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355657274686124034,1355657274686124034,2021-01-31 00:20:55 CET,2021-01-31,00:20:55,+0200,738550990698336261,stockbard,stockbard,,$SWAY $FOR $MEN $I $EFF $FUN $I $MET $ONE,en,[],[],[],0,0,1,[],"['sway', 'for', 'men', 'i', 'eff', 'fun', 'i', 'met', 'one']",https://twitter.com/stockbard/status/1355657274686124034,False,,0,,,,,,,,[],,,,
1355634674379464704,1355634674379464704,2021-01-30 22:51:07 CET,2021-01-30,22:51:07,+0200,738550990698336261,stockbard,stockbard,,$IM $ALL $KEYS $AGO $MET $AT $A $CUB $MMM!,en,[],[],[],0,0,0,[],"['im', 'all', 'keys', 'ago', 'met', 'at', 'a', 'cub', 'mmm']",https://twitter.com/stockbard/status/1355634674379464704,False,,0,,,,,,,,[],,,,
1355596861059559425,1355596861059559425,2021-01-30 20:20:52 CET,2021-01-30,20:20:52,+0200,738550990698336261,stockbard,stockbard,,$I $AM $AT $HUBS $I $MET $MS $PLOW $YUM!,en,[],[],[],0,0,0,[],"['i', 'am', 'at', 'hubs', 'i', 'met', 'ms', 'plow', 'yum']",https://twitter.com/stockbard/status/1355596861059559425,False,,0,,,,,,,,[],,,,
1355590395464458242,1355590395464458242,2021-01-30 19:55:10 CET,2021-01-30,19:55:10,+0200,716737614771044352,optioncharts,max pain,,$MET Implied Volatility expiration 02/05/2021 #maxpain #options  https://t.co/Qb07Sy1VCc  https://t.co/RmrNGp6aUr,en,[],['http://maximum-pain.com/iv/MET?m=02%2f05%2f2021'],['https://pbs.twimg.com/media/EtAGSAlXAAIMWXK.jpg'],0,0,0,"['maxpain', 'options']",['met'],https://twitter.com/optioncharts/status/1355590395464458242,False,,1,https://pbs.twimg.com/media/EtAGSAlXAAIMWXK.jpg,,,,,,,[],,,,
1355576711237263362,1355576711237263362,2021-01-30 19:00:48 CET,2021-01-30,19:00:48,+0200,1348637735268065282,exwhereangel3,Daniela Garcia,,"$MET did well last year, up by 229%. Will it repeat the same performance in 2021? @MET_Token @JordanJKruger @HiltiSamad  https://t.co/arosZttZLf",en,"[{'screen_name': 'met_token', 'name': 'metronome token', 'id': '913460659001679872'}, {'screen_name': 'jordanjkruger', 'name': 'jordan kruger', 'id': '54402723'}, {'screen_name': 'hiltisamad', 'name': 'sam amsterdam-crypto iq', 'id': '925382805546205184'}]",['http://ow.ly/DFEJ30rueoI'],[],0,0,0,[],['met'],https://twitter.com/ExwhereAngel3/status/1355576711237263362,False,,0,,,,,,,,[],,,,
1355551638002556929,1355551638002556929,2021-01-30 17:21:10 CET,2021-01-30,17:21:10,+0200,738550990698336261,stockbard,stockbard,,$IT $MET $EMO $HUBS $ARE $MAIN $MY $INN,en,[],[],[],0,0,0,[],"['it', 'met', 'emo', 'hubs', 'are', 'main', 'my', 'inn']",https://twitter.com/stockbard/status/1355551638002556929,False,,0,,,,,,,,[],,,,
1355542417018118144,1355542417018118144,2021-01-30 16:44:31 CET,2021-01-30,16:44:31,+0200,738550990698336261,stockbard,stockbard,,$DANG! $I $FLY $AT $A $GLOP $HE $PAY $ONE $KEY $FOR $A $FOE $EEP! $I $MET $KIM,en,[],[],[],0,0,1,[],"['dang', 'i', 'fly', 'at', 'a', 'glop', 'he', 'pay', 'one', 'key', 'for', 'a', 'foe', 'eep', 'i', 'met', 'kim']",https://twitter.com/stockbard/status/1355542417018118144,False,,0,,,,,,,,[],,,,
1355462154686619652,1355462154686619652,2021-01-30 11:25:35 CET,2021-01-30,11:25:35,+0200,374729426,tickeron,Tickeron,,$MET in Downtrend: Stochastic indicator is remaining in oversold zone for 1 day. View odds for this and other indicators:  https://t.co/8qFwb5P1HN #Metlife #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/6d7ekyiPsr,en,[],['https://srnk.us/go/2497282'],['https://pbs.twimg.com/media/Es-RpYmVoAIChRM.jpg'],0,0,0,"['metlife', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['met'],https://twitter.com/Tickeron/status/1355462154686619652,False,,1,https://pbs.twimg.com/media/Es-RpYmVoAIChRM.jpg,,,,,,,[],,,,
1355445753192312834,1355445753192312834,2021-01-30 10:20:25 CET,2021-01-30,10:20:25,+0200,738550990698336261,stockbard,stockbard,,$DANG! $ATE $ONE $BIN $IT $MET $MS $LEO,en,[],[],[],0,0,0,[],"['dang', 'ate', 'one', 'bin', 'it', 'met', 'ms', 'leo']",https://twitter.com/stockbard/status/1355445753192312834,False,,0,,,,,,,,[],,,,
1355423178185715714,1355423178185715714,2021-01-30 08:50:42 CET,2021-01-30,08:50:42,+0200,738550990698336261,stockbard,stockbard,,$HE $MET $OUT $A $RATE $I $SEE $MS $SAM $TWO $KEYS $AGO $BAM!,en,[],[],[],0,0,0,[],"['he', 'met', 'out', 'a', 'rate', 'i', 'see', 'ms', 'sam', 'two', 'keys', 'ago', 'bam']",https://twitter.com/stockbard/status/1355423178185715714,False,,0,,,,,,,,[],,,,
1355385424890503169,1355385424890503169,2021-01-30 06:20:41 CET,2021-01-30,06:20:41,+0200,738550990698336261,stockbard,stockbard,,$EFF $AT $CUBS $DANG! $IT $MET $FOR $A $DOOR $IT $YELP $OUT $CUBS,en,[],[],[],0,0,0,[],"['eff', 'at', 'cubs', 'dang', 'it', 'met', 'for', 'a', 'door', 'it', 'yelp', 'out', 'cubs']",https://twitter.com/stockbard/status/1355385424890503169,False,,0,,,,,,,,[],,,,
1355355791272726529,1355355791272726529,2021-01-30 04:22:56 CET,2021-01-30,04:22:56,+0200,707057743157444608,optionsprooi,OptionsPro OI,,"Weekly (Jan 25 - 29) #Financial Sector, Top Buy Flow #Stocks Animated #StockMarket $VNO $MET $SPG Vornado Realty Trust, Metlife, Simon Property Group  https://t.co/Z3kA0Sxmfw",en,[],['https://youtu.be/FdH9Ol8o53g'],[],0,0,0,"['financial', 'stocks', 'stockmarket']","['vno', 'met', 'spg']",https://twitter.com/OptionsProOI/status/1355355791272726529,False,,0,,,,,,,,[],,,,
1355355776852713475,1355355776852713475,2021-01-30 04:22:53 CET,2021-01-30,04:22:53,+0200,707079170644271104,tickwatchermf,Tickwatcher MF,,"Weekly (Jan 25 - 29) #Financial Sector, Top Buy Flow #Stocks Animated #StockMarket $VNO $MET $SPG Vornado Realty Trust, Metlife, Simon Property Group  https://t.co/lXinFFMC6U",en,[],['https://youtu.be/FdH9Ol8o53g'],[],0,0,0,"['financial', 'stocks', 'stockmarket']","['vno', 'met', 'spg']",https://twitter.com/TickwatcherMF/status/1355355776852713475,False,,0,,,,,,,,[],,,,
1355355763464499201,1355355763464499201,2021-01-30 04:22:49 CET,2021-01-30,04:22:49,+0200,706297891070087168,optionsmaxpain,OptionsPro MaxPain,,"Weekly (Jan 25 - 29) #Financial Sector, Top Buy Flow #Stocks Animated #StockMarket $VNO $MET $SPG Vornado Realty Trust, Metlife, Simon Property Group  https://t.co/5bbep6c7qS",en,[],['https://youtu.be/FdH9Ol8o53g'],[],0,0,0,"['financial', 'stocks', 'stockmarket']","['vno', 'met', 'spg']",https://twitter.com/OptionsMaxPain/status/1355355763464499201,False,,0,,,,,,,,[],,,,
1355355749363318792,1355355749363318792,2021-01-30 04:22:46 CET,2021-01-30,04:22:46,+0200,4584354895,mitickwatcher,TickWatcher,,"Weekly (Jan 25 - 29) #Financial Sector, Top Buy Flow #Stocks Animated #StockMarket $VNO $MET $SPG Vornado Realty Trust, Metlife, Simon Property Group  https://t.co/i6Iwtd9YQi",en,[],['https://youtu.be/FdH9Ol8o53g'],[],0,0,0,"['financial', 'stocks', 'stockmarket']","['vno', 'met', 'spg']",https://twitter.com/MITickWatcher/status/1355355749363318792,False,,0,,,,,,,,[],,,,
1355355734624464896,1355355734624464896,2021-01-30 04:22:43 CET,2021-01-30,04:22:43,+0200,438262278,minteractapp,Super Stocks,,"Weekly (Jan 25 - 29) #Financial Sector, Top Buy Flow #Stocks Animated #StockMarket $VNO $MET $SPG Vornado Realty Trust, Metlife, Simon Property Group  https://t.co/dfyGZXN8Bq",en,[],['https://youtu.be/FdH9Ol8o53g'],[],0,0,0,"['financial', 'stocks', 'stockmarket']","['vno', 'met', 'spg']",https://twitter.com/MinteractApp/status/1355355734624464896,False,,0,,,,,,,,[],,,,
1355355721257283591,1355355721257283591,2021-01-30 04:22:39 CET,2021-01-30,04:22:39,+0200,706269135404081152,optionsprovol,OptionsPro Volume,,"Weekly (Jan 25 - 29) #Financial Sector, Top Buy Flow #Stocks Animated #StockMarket $VNO $MET $SPG Vornado Realty Trust, Metlife, Simon Property Group  https://t.co/ZgGO5OBrev",en,[],['https://youtu.be/FdH9Ol8o53g'],[],0,0,0,"['financial', 'stocks', 'stockmarket']","['vno', 'met', 'spg']",https://twitter.com/OptionsProVol/status/1355355721257283591,False,,0,,,,,,,,[],,,,
1355347647826178053,1355347647826178053,2021-01-30 03:50:35 CET,2021-01-30,03:50:35,+0200,738550990698336261,stockbard,stockbard,,$BORN $MS $ALLY $MET $FOR $CUBS $AT $A $POST,en,[],[],[],0,0,0,[],"['born', 'ms', 'ally', 'met', 'for', 'cubs', 'at', 'a', 'post']",https://twitter.com/stockbard/status/1355347647826178053,False,,0,,,,,,,,[],,,,
1355345212709728256,1355345212709728256,2021-01-30 03:40:54 CET,2021-01-30,03:40:54,+0200,1001192245,talkmarkets,TalkMarkets,,"15 Firms going Ex-Dividend next week, including Siemens, CMS Energy and Metlife $AWK $BRO $CMS $FE $HAS $MET $COST $FAST $JBHT $CFG $SIEGY $LW $BMYMP  https://t.co/FnlgB2Qk9U",en,[],['https://talkmarkets.com/content/stocks--equities/15-firms-going-ex-dividend-next-week-including-siemens-cms-energy-and-metlife?post=295742'],[],0,0,0,[],"['awk', 'bro', 'cms', 'fe', 'has', 'met', 'cost', 'fast', 'jbht', 'cfg', 'siegy', 'lw', 'bmymp']",https://twitter.com/TalkMarkets/status/1355345212709728256,False,,0,,,,,,,,[],,,,
1355339506333876226,1355339506333876226,2021-01-30 03:18:13 CET,2021-01-30,03:18:13,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$TMXN CEO To Announce An Open Market Share Buy Back Program To Begin Shortly  https://t.co/Mv3xmUJu9A  $TAP $NGD $AGNC $K $CEGX $I $ADI $LEN $AR $D $ADM $HES $MET $AFL $GLNG,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,1,3,[],"['tmxn', 'tap', 'ngd', 'agnc', 'k', 'cegx', 'i', 'adi', 'len', 'ar', 'd', 'adm', 'hes', 'met', 'afl', 'glng']",https://twitter.com/askwarrenbuffet/status/1355339506333876226,False,,0,,,,,,,,[],,,,
