id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355469909384261633,1355469909384261633,2021-01-30 11:56:24 CET,2021-01-30,11:56:24,+0200,374729426,tickeron,Tickeron,,"$MMC's price moved below its 50-day Moving Average on January 11, 2021. View odds for this and other indicators:  https://t.co/CEugSpbHAs #MarshMcLennanCos #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/UCUkoqBuH6",en,[],['https://srnk.us/go/2497338'],['https://pbs.twimg.com/media/Es-YsxHVoAIStTX.png'],0,0,0,"['marshmclennancos', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['mmc'],https://twitter.com/Tickeron/status/1355469909384261633,False,,1,https://pbs.twimg.com/media/Es-YsxHVoAIStTX.png,,,,,,,[],,,,
1355439628107603969,1355439628107603969,2021-01-30 09:56:04 CET,2021-01-30,09:56:04,+0200,121370906,chartmill,ChartMill,,"$MMC, $MCD and $PKI are the top gainers in the S&amp;P500 for the day.  https://t.co/NIavPlmIb1",en,[],['https://www.chartmill.com/stock/stock-screener?v=3&f=ind_22&s=pt&utm_source=twitterUS&utm_medium=screener&utm_content=Stock_Screener:_top_S&P500_gainers&utm_campaign=social_tracking'],[],0,0,0,[],"['mmc', 'mcd', 'pki']",https://twitter.com/ChartMill/status/1355439628107603969,False,,0,,,,,,,,[],,,,
1355426784351686658,1355426784351686658,2021-01-30 09:05:02 CET,2021-01-30,09:05:02,+0200,773578537764851712,sitefocushq,SiteFocus,,"$MMC Earnings Intelligence Analysis of recent earnings identified Marsh &amp; McLennan Cos.  , Inc (NYSE: MMC ) business focus on (growth,performance,revenue), (employees,growth,performance), (employees,growth,revenue)   https://t.co/79AWBFiZ3X",en,[],['https://www.sitefocus.com/cif/ei/CM_mmc361720210129'],[],0,0,0,[],['mmc'],https://twitter.com/SiteFocusHQ/status/1355426784351686658,False,,0,,,,,,,,[],,,,
1355334773678329858,1355334773678329858,2021-01-30 02:59:25 CET,2021-01-30,02:59:25,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$LRDC CEO TO Detail Significant Partnership Agreement With Leading US Company As Early As Monday  https://t.co/Mv3xmUJu9A  $BHP $CAH $MMC $CRZO $CHS $FUSZ $LYB $TRCO $NLST $LPI $AMT $STM $AGTK,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,0,1,[],"['lrdc', 'bhp', 'cah', 'mmc', 'crzo', 'chs', 'fusz', 'lyb', 'trco', 'nlst', 'lpi', 'amt', 'stm', 'agtk']",https://twitter.com/askwarrenbuffet/status/1355334773678329858,False,,0,,,,,,,,[],,,,
1355267758301315075,1355258231572979714,2021-01-29 22:33:07 CET,2021-01-29,22:33:07,+0200,1292908191597158403,cultivatewealth,Enlightened Capital,,"@kylerhasson Haha well I own $ENB and $EPD so I'm in the same boat! But yeah I agree $FRC and $PGR are great examples, as well as $SCHW. Also insurance brokers like $MMC and $AON have compounded at a high rate over the past decade!",en,[],[],[],2,0,4,[],"['enb', 'epd', 'frc', 'pgr', 'schw', 'mmc', 'aon']",https://twitter.com/Cultivatewealth/status/1355267758301315075,False,,0,,,,,,,,[],,,,
1355040237055950853,1355040237055950853,2021-01-29 07:29:02 CET,2021-01-29,07:29:02,+0200,374729426,tickeron,Tickeron,,"$MMC's price moved below its 50-day Moving Average on January 11, 2021. View odds for this and other indicators:  https://t.co/0Ld6iKo0FK #MarshMcLennanCos #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/vnib6zNQB8",en,[],['https://srnk.us/go/2494555'],['https://pbs.twimg.com/media/Es4R6hQVkAAiibx.png'],0,0,0,"['marshmclennancos', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['mmc'],https://twitter.com/Tickeron/status/1355040237055950853,False,,1,https://pbs.twimg.com/media/Es4R6hQVkAAiibx.png,,,,,,,[],,,,
1355005099685376001,1355005099685376001,2021-01-29 05:09:25 CET,2021-01-29,05:09:25,+0200,1315434407692509184,earningsflyinc,Earningsfly Stock Research Bot,,"Marsh &amp; McLennan Companies, Inc current quarter revenue growth YoY of 0.00% ranked 2027 out of 5426 companies in our database.    https://t.co/tY7wZc45km $MMC  🚀🚀🚀🚀🚀  https://t.co/KbcuIm6ml0",en,[],['https://www.earningsfly.com/stocks/mmc?source=twitter-bot'],['https://pbs.twimg.com/media/Es3x9QRXcAg47cp.png'],0,0,0,[],['mmc'],https://twitter.com/earningsflyinc/status/1355005099685376001,False,,1,https://pbs.twimg.com/media/Es3x9QRXcAg47cp.png,,,,,,,[],,,,
1354906893924265984,1354906893924265984,2021-01-28 22:39:11 CET,2021-01-28,22:39:11,+0200,438262278,minteractapp,Super Stocks,,"Thursday's Top Flow in #Financial sector, Buy Flow &amp; Sell Flow $TROW $MET $DFS $KEY $WFC $IVZ $VTR $MCO $CMA $MTB $PGR $JPM $BAC $SCHW $PSA $COF $MS $MMC $AXP $AFL #stock #stocks #StockMarket #Investment #finance #investing  https://t.co/5JE2nlrW3B  https://t.co/iSIhnjYEIF",en,[],['https://apple.co/2XZuTYw'],"['https://pbs.twimg.com/media/Es2You-UcAANJhY.jpg', 'https://pbs.twimg.com/media/Es2Yoz1VEAAJqBw.jpg', 'https://pbs.twimg.com/media/Es2Yo42VEAAi5pm.jpg', 'https://pbs.twimg.com/media/Es2Yo9tUcAI9HYt.jpg']",0,0,0,"['financial', 'stock', 'stocks', 'stockmarket', 'investment', 'finance', 'investing']","['trow', 'met', 'dfs', 'key', 'wfc', 'ivz', 'vtr', 'mco', 'cma', 'mtb', 'pgr', 'jpm', 'bac', 'schw', 'psa', 'cof', 'ms', 'mmc', 'axp', 'afl']",https://twitter.com/MinteractApp/status/1354906893924265984,False,,1,https://pbs.twimg.com/media/Es2You-UcAANJhY.jpg,,,,,,,[],,,,
1354900872208248835,1354900872208248835,2021-01-28 22:15:15 CET,2021-01-28,22:15:15,+0200,1099039801397964802,earningsalley,Earnings Alley,,"Marsh &amp; McLennan Companies, Inc. $MMC held an earnings call on 1/28/2021. Here are the highlights:",en,[],[],[],1,0,0,[],['mmc'],https://twitter.com/EarningsAlley/status/1354900872208248835,False,,0,,,,,,,,[],,,,
1354882502326804484,1354882502326804484,2021-01-28 21:02:15 CET,2021-01-28,21:02:15,+0200,23059499,seekingalpha,Seeking Alpha,,"$MMC - Marsh &amp; McLennan Companies, Inc. (MMC) CEO Dan Glaser on Q4 2020 Results - Earnings Call Transcript.  https://t.co/Qso6UFQKw2 #finance #stockmarket #business",en,[],['https://seekingalpha.com/article/4401736-marsh-mclennan-companies-inc-mmc-ceo-dan-glaser-on-q4-2020-results-earnings-call-transcript?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated'],[],0,0,0,"['finance', 'stockmarket', 'business']",['mmc'],https://twitter.com/SeekingAlpha/status/1354882502326804484,False,,0,,,,,,,,[],,,,
