id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355592042550861824,1355592042550861824,2021-01-30 20:01:43 CET,2021-01-30,20:01:43,+0200,895929863521095680,tradeflags,TradeFlags,,"#GIndustry #BUY WK4 $MU, $MRVL, $IPHI, $QRVO, $AMD, $SWKS, $MXIM, $NVDA, $SMTC, $AVGO  #Semiconductors $USD $SMH $SOXL $SOXS $SOXX #growthstocks #stocks #finance #investment  https://t.co/xKKmkfvxF9  https://t.co/BS5w5qCk34",en,[],['https://tinyurl.com/yyebjr8k'],['https://pbs.twimg.com/media/EtAHxzjW4AUC6Vt.png'],0,0,0,"['gindustry', 'buy', 'semiconductors', 'growthstocks', 'stocks', 'finance', 'investment']","['mu', 'mrvl', 'iphi', 'qrvo', 'amd', 'swks', 'mxim', 'nvda', 'smtc', 'avgo', 'usd', 'smh', 'soxl', 'soxs', 'soxx']",https://twitter.com/TradeFlags/status/1355592042550861824,False,,1,https://pbs.twimg.com/media/EtAHxzjW4AUC6Vt.png,,,,,,,[],,,,
1355479226766520320,1355479226766520320,2021-01-30 12:33:25 CET,2021-01-30,12:33:25,+0200,39546678,mediasentiment,Media Sentiment®,,$MXIM  new alert at  https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 122,en,[],['http://www.aheadsup.com/twitter/newsentiment.html?user=usequities'],[],0,0,0,"['stocks', 'daytrading', 'nyse', 'nasdaq', 'market']",['mxim'],https://twitter.com/mediasentiment/status/1355479226766520320,False,,0,,,,,,,,[],,,,
1355443579175374858,1355443579175374858,2021-01-30 10:11:46 CET,2021-01-30,10:11:46,+0200,374729426,tickeron,Tickeron,,"$MXIM in Uptrend: price expected to rise as it breaks its lower Bollinger Band on January 27, 2021. View odds for this and other indicators:  https://t.co/AY1tsyQEnd #MaximIntegratedProducts #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/1kEPOAUENX",en,[],['https://srnk.us/go/2497162'],['https://pbs.twimg.com/media/Es-AwKQVoAA-ArK.jpg'],0,0,0,"['maximintegratedproducts', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['mxim'],https://twitter.com/Tickeron/status/1355443579175374858,False,,1,https://pbs.twimg.com/media/Es-AwKQVoAA-ArK.jpg,,,,,,,[],,,,
1355339631714312194,1355339631714312194,2021-01-30 03:18:43 CET,2021-01-30,03:18:43,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,"$SGLB see Confirmation On New Partnership Agreement With Fortune 500 Company, Announcement Imminent  https://t.co/Mv3xmUrTi2  $MXIM $BBT $CANB $BBBY $STI $DHI $VLRX $VIPS $ZNGA $PHM $ATVI $ABBV $ASB",en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,0,0,[],"['sglb', 'mxim', 'bbt', 'canb', 'bbby', 'sti', 'dhi', 'vlrx', 'vips', 'znga', 'phm', 'atvi', 'abbv', 'asb']",https://twitter.com/askwarrenbuffet/status/1355339631714312194,False,,0,,,,,,,,[],,,,
1355261178797322248,1355261178797322248,2021-01-29 22:06:59 CET,2021-01-29,22:06:59,+0200,716737614771044352,optioncharts,max pain,,$MXIM high OI range is 80.00 to 95.00 for option expiration 02/19/2021 PutCallRatio=0.95 #maxpain #options  https://t.co/1Gks7TZ7If  https://t.co/oSgF4SzL10,en,[],['http://maximum-pain.com/options/MXIM?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/Es7a3EjXIAEjvGU.jpg'],0,0,0,"['maxpain', 'options']",['mxim'],https://twitter.com/optioncharts/status/1355261178797322248,False,,1,https://pbs.twimg.com/media/Es7a3EjXIAEjvGU.jpg,,,,,,,[],,,,
1355219817788284930,1355219817788284930,2021-01-29 19:22:37 CET,2021-01-29,19:22:37,+0200,2422703600,swingtradebot,SwingTradeBot,,50 DMA Support today: $UDN $PHB $VECO $DFEB $MXIM $VUG ...  https://t.co/aW7zteKP9U,en,[],['https://swingtradebot.com/alerts/35-50-dma-support'],[],0,0,0,[],"['udn', 'phb', 'veco', 'dfeb', 'mxim', 'vug']",https://twitter.com/SwingTradeBot/status/1355219817788284930,False,,0,,,,,,,,[],,,,
1355176818886770688,1355176818886770688,2021-01-29 16:31:46 CET,2021-01-29,16:31:46,+0200,61661638,americanbanking,US Banking News,,"Analysts Offer Predictions for Maxim Integrated Products, Inc.’s Q1 2022 Earnings $MXIM  https://t.co/0ceGy7InQc #stocks",en,[],['http://americanbankingnews.com/?p=18178432'],[],0,0,0,['stocks'],['mxim'],https://twitter.com/AmericanBanking/status/1355176818886770688,False,,0,,,,,,,,[],,,,
1355088535389265921,1355088535389265921,2021-01-29 10:40:57 CET,2021-01-29,10:40:57,+0200,823097192051343360,tradewithlizeth,Breeee ⚡,,TP 1 Achieved 🎯 Running in  100+ #pips profit   D.M me now to get VIP trials👇  https://t.co/lpvfC3GEk2  $MASI $MTDR $MXIM $MSTR $MDLZ $MPWR $MRC $NBR $NCR $NWE $OKE $PKG $PEGA $PLT $PFC $QUMU $RNR $RXN $STX $SSNC $STAG $SBUX #xauusdsignals #gold #StockMarket #UAE #Canada #XAUUSD  https://t.co/5EXwlOafn7,en,[],['https://api.whatsapp.com/send?phone=447480732107&text=Hey%20Brianna'],['https://pbs.twimg.com/media/Es491ttXMAEe2SE.jpg'],0,0,3,"['pips', 'xauusdsignals', 'gold', 'stockmarket', 'uae', 'canada', 'xauusd']","['masi', 'mtdr', 'mxim', 'mstr', 'mdlz', 'mpwr', 'mrc', 'nbr', 'ncr', 'nwe', 'oke', 'pkg', 'pega', 'plt', 'pfc', 'qumu', 'rnr', 'rxn', 'stx', 'ssnc', 'stag', 'sbux']",https://twitter.com/tradewithlizeth/status/1355088535389265921,False,https://twitter.com/tradewithlizeth/status/1355054994509029377,1,https://pbs.twimg.com/media/Es491ttXMAEe2SE.jpg,,,,,,,[],,,,
1355078698958016513,1355078698958016513,2021-01-29 10:01:52 CET,2021-01-29,10:01:52,+0200,39546678,mediasentiment,Media Sentiment®,,$MXIM  new alert at  https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 60,en,[],['http://www.aheadsup.com/twitter/newsentiment.html?user=usequities'],[],0,0,0,"['stocks', 'daytrading', 'nyse', 'nasdaq', 'market']",['mxim'],https://twitter.com/mediasentiment/status/1355078698958016513,False,,0,,,,,,,,[],,,,
1355077605695909889,1355077605695909889,2021-01-29 09:57:31 CET,2021-01-29,09:57:31,+0200,849417718642159616,themarketsdaily,The Markets Daily,,Royal Bank of Canada Increases Maxim Integrated Products $MXIM Price Target to $97.00  https://t.co/CdbtaRL6gk,en,[],['http://zpr.io/RnXjA'],[],0,0,0,[],['mxim'],https://twitter.com/TheMarketsDaily/status/1355077605695909889,False,,0,,,,,,,,[],,,,
1355036370599731203,1355036370599731203,2021-01-29 07:13:40 CET,2021-01-29,07:13:40,+0200,374729426,tickeron,Tickeron,,$MXIM in Downtrend: RSI indicator exits overbought zone. View odds for this and other indicators:  https://t.co/U490eaf6Tp #MaximIntegratedProducts #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/M14heAryv4,en,[],['https://srnk.us/go/2494530'],['https://pbs.twimg.com/media/Es4OZgOUYAI2-AW.jpg'],0,1,0,"['maximintegratedproducts', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['mxim'],https://twitter.com/Tickeron/status/1355036370599731203,False,,1,https://pbs.twimg.com/media/Es4OZgOUYAI2-AW.jpg,,,,,,,[],,,,
1354787834813534220,1354787834813534220,2021-01-28 14:46:05 CET,2021-01-28,14:46:05,+0200,1559920790,csimarket,CSIMarket.com,,"$MXIM #StockMarket #MaximIntegratedProducts reported second quarter of 2020 Revenues on  https://t.co/savSNTKlN1: For the Q2 of 2020 eps advanced by 28.3 % to $0.68 per share, followed by Sales increase of 14.012 % to $628.288 MM, compared with the prior…  https://t.co/FOMX6wwrny",en,[],"['http://CSIMarket.com', 'http://dlvr.it/RrWvqM']",[],0,0,0,"['stockmarket', 'maximintegratedproducts']",['mxim'],https://twitter.com/CSIMarket/status/1354787834813534220,False,,0,,,,,,,,[],,,,
1354776554467954690,1354776554467954690,2021-01-28 14:01:15 CET,2021-01-28,14:01:15,+0200,61661638,americanbanking,US Banking News,,"Maxim Integrated Products, Inc. to Post Q3 2021 Earnings of $0.76 Per Share, Truist Securiti Forecasts $MXIM  https://t.co/TTvpii1fcg #stocks",en,[],['http://americanbankingnews.com/?p=18157114'],[],0,0,0,['stocks'],['mxim'],https://twitter.com/AmericanBanking/status/1354776554467954690,False,,0,,,,,,,,[],,,,
1354745266297925635,1354745266297925635,2021-01-28 11:56:56 CET,2021-01-28,11:56:56,+0200,823097192051343360,tradewithlizeth,Breeee ⚡,,Safe #Traders can book 75 #pips profit in #xauusd 🤑  D.M me now to get VIP trials👇  https://t.co/lpvfC3GEk2  $MASI $MTDR $MXIM $MSTR $MDLZ $MPWR $MRC $NBR $NCR $NWE $OKE $PKG $PEGA $PLT $PFC $QUMU $RNR $RXN $STX $SSNC $STAG $SBUX #xauusdsignals #gold #StockMarket #UK #Canada #us  https://t.co/SEuAbyMBRT,en,[],['https://api.whatsapp.com/send?phone=447480732107&text=Hey%20Brianna'],['https://pbs.twimg.com/media/Es0FoITVcAQL1Dn.jpg'],0,0,1,"['traders', 'pips', 'xauusd', 'xauusdsignals', 'gold', 'stockmarket', 'uk', 'canada', 'us']","['masi', 'mtdr', 'mxim', 'mstr', 'mdlz', 'mpwr', 'mrc', 'nbr', 'ncr', 'nwe', 'oke', 'pkg', 'pega', 'plt', 'pfc', 'qumu', 'rnr', 'rxn', 'stx', 'ssnc', 'stag', 'sbux']",https://twitter.com/tradewithlizeth/status/1354745266297925635,False,https://twitter.com/tradewithlizeth/status/1354678214761668613,1,https://pbs.twimg.com/media/Es0FoITVcAQL1Dn.jpg,,,,,,,[],,,,
