id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355662097590456324,1355662097590456324,2021-01-31 00:40:05 CET,2021-01-31,00:40:05,+0200,849339817506873346,bullvsbeartrade,BullvsBear,,"#RT 💟  Tabla Cedears al 29/01   CCL $GGAL con aumento desde los 150 (al 15/01) a los 154,5   Entran $GLNT $JNJ salen $NKE $DESP  https://t.co/62LTf5teur",es,[],[],['https://pbs.twimg.com/media/EtBHejwW8AU4hpu.png'],0,3,18,['rt'],"['ggal', 'glnt', 'jnj', 'nke', 'desp']",https://twitter.com/BullvsBearTrade/status/1355662097590456324,False,,1,https://pbs.twimg.com/media/EtBHejwW8AU4hpu.png,,,,,,,[],,,,
1355653888108593155,1355653888108593155,2021-01-31 00:07:28 CET,2021-01-31,00:07:28,+0200,1246486070,scorpion_trader,Scorpion Trader,,Current portfolio  $inaq $hyln $amc $nke $twtr $clov $ipoe  Go @chamath go,en,"[{'screen_name': 'chamath', 'name': 'chamath palihapitiya', 'id': '3291691'}]",[],[],0,0,3,[],"['inaq', 'hyln', 'amc', 'nke', 'twtr', 'clov', 'ipoe']",https://twitter.com/scorpion_trader/status/1355653888108593155,False,,0,,,,,,,,[],,,,
1355652035656478722,1355652035656478722,2021-01-31 00:00:06 CET,2021-01-31,00:00:06,+0200,1209912306144034816,jwalkereklaw,JWRW 💸,,Naruto Shippuden Ramen 🍜  👟 $NKE Nike 📱 $AAPL Apple 📺 $ROKU Roku 📦 $UPS UPS 🚙 $TSLA Tesla 🏘 $O Realty Income  https://t.co/W03e2CyycT,und,[],[],['https://pbs.twimg.com/media/EtA-V5eXUAALa3k.jpg'],0,0,0,[],"['nke', 'aapl', 'roku', 'ups', 'tsla', 'o']",https://twitter.com/JWalkeReklaW/status/1355652035656478722,False,,1,https://pbs.twimg.com/media/EtA-V5eXUAALa3k.jpg,,,,,,,[],,,,
1355649492977127424,1355649492977127424,2021-01-30 23:50:00 CET,2021-01-30,23:50:00,+0200,1283465866785574912,scott30300,Scott,,$hcmc PT end of February  $cydy $opti $tsnp $acb $segi $sfor $pm $alpp $gwph $bb $amc $gme $nke $tsla,ro,[],[],[],2,4,8,[],"['hcmc', 'cydy', 'opti', 'tsnp', 'acb', 'segi', 'sfor', 'pm', 'alpp', 'gwph', 'bb', 'amc', 'gme', 'nke', 'tsla']",https://twitter.com/Scott30300/status/1355649492977127424,False,,0,,,,,,,,[],,,,
1355627852465627149,1355627852465627149,2021-01-30 22:24:01 CET,2021-01-30,22:24:01,+0200,1067310570695577600,trader_blitz,Crypto Blitz,,Nike | $NKE  Is it headed for next bounce back ?  Long or short it with BTC on Trade8:  https://t.co/4feFueMp6S  https://t.co/fGNOd9hmVM,en,[],['http://trade8.to/trade/NKE'],['https://pbs.twimg.com/media/EtAoWRPW8AIs--m.png'],0,0,0,[],['nke'],https://twitter.com/trader_blitz/status/1355627852465627149,False,,1,https://pbs.twimg.com/media/EtAoWRPW8AIs--m.png,,,,,,,[],,,,
1355623043792424960,1355623043792424960,2021-01-30 22:04:54 CET,2021-01-30,22:04:54,+0200,1351007702789591044,thestockpoll,TheStockPoll 📊 | Stock Market Polls,,"If you don’t know who these OG movie villains are, are you really an investor?   Reply other🍿villains😎  $SPY $QQQ $FB $AAPL $AMZN $NFLX $GOOG $AMC $GME $BB $NAKD $NOK $NVAX $IPO $BTC $ETH $XRP $DOGE $TSLA $NIO $PENN $BABA $NKE $GM $V $JPM $GS $WMT $MCD $CVX $MRC $XRP $PYPL $DIS  https://t.co/j3pcDN4ZL4",en,[],[],['https://pbs.twimg.com/media/EtAj-S5UcAIDBXQ.jpg'],3,0,11,[],"['spy', 'qqq', 'fb', 'aapl', 'amzn', 'nflx', 'goog', 'amc', 'gme', 'bb', 'nakd', 'nok', 'nvax', 'ipo', 'btc', 'eth', 'xrp', 'doge', 'tsla', 'nio', 'penn', 'baba', 'nke', 'gm', 'v', 'jpm', 'gs', 'wmt', 'mcd', 'cvx', 'mrc', 'xrp', 'pypl', 'dis']",https://twitter.com/TheStockPoll/status/1355623043792424960,False,,1,https://pbs.twimg.com/media/EtAj-S5UcAIDBXQ.jpg,,,,,,,[],,,,
1355603825969614849,1355603825969614849,2021-01-30 20:48:32 CET,2021-01-30,20:48:32,+0200,1351007702789591044,thestockpoll,TheStockPoll 📊 | Stock Market Polls,,Poll: What movie exposed you to investing/trading?  $SPY $QQQ $FB $AAPL $AMZN $NFLX $GOOG $AMC $GME $BB $NAKD $NOK $NVAX $IPO $BTC $ETH $XRP $DOGE $TSLA $NIO $PENN $BABA $NKE $GM $V $JPM $GS $WMT $MCD $CVX $MRC $XRP $PYPL $DIS #BTC  Reply with another movie choice 🍿🤓,en,[],[],[],2,0,2,['btc'],"['spy', 'qqq', 'fb', 'aapl', 'amzn', 'nflx', 'goog', 'amc', 'gme', 'bb', 'nakd', 'nok', 'nvax', 'ipo', 'btc', 'eth', 'xrp', 'doge', 'tsla', 'nio', 'penn', 'baba', 'nke', 'gm', 'v', 'jpm', 'gs', 'wmt', 'mcd', 'cvx', 'mrc', 'xrp', 'pypl']",https://twitter.com/TheStockPoll/status/1355603825969614849,False,,0,,,,,,,,[],,,,
1355592570626306048,1355558108496494595,2021-01-30 20:03:49 CET,2021-01-30,20:03:49,+0200,743136909031923712,sg423sg,SG 🇺🇸,,"@soloprosperity @GerberKawasaki the course of history. It has to with its recommendation algos, dark patterns, data mining  and very accurate customer profiling and targeting. Apple is guilty of obscene profits and indirectly of exploitative labor (same as $NKE etc). There is a lot of evidence of this.",en,[],[],[],2,0,0,[],['nke'],https://twitter.com/Sg423Sg/status/1355592570626306048,False,,0,,,,,,,,"[{'screen_name': 'soloprosperity', 'name': 'Solo Prosperity', 'id': '965448993386856450'}, {'screen_name': 'GerberKawasaki', 'name': 'Ross Gerber', 'id': '349249475'}]",,,,
1355590214647951360,1355531710906179586,2021-01-30 19:54:27 CET,2021-01-30,19:54:27,+0200,1204411451126870018,c0leccionista,El Coleccionista,,"@indepenrentista Esta semana ha sido un desastre... 🤣  $CMCSA, $NKE, $ABBV, $UPS, $INGR, $SCL, $KO, $O, $MO.",es,[],[],[],0,0,3,[],"['cmcsa', 'nke', 'abbv', 'ups', 'ingr', 'scl', 'ko', 'o', 'mo']",https://twitter.com/c0leccionista/status/1355590214647951360,False,,0,,,,,,,,"[{'screen_name': 'indepenrentista', 'name': 'El Indepenrentista', 'id': '1264968130687905794'}]",,,,
1355587052444676096,1355587052444676096,2021-01-30 19:41:53 CET,2021-01-30,19:41:53,+0200,1351544588519915520,vijayraj11122,Vijay,,"Live Day-Trading room, Free access this room and get live alerts. Check out now..   $BABA $FB $BRK.B $BRK.A $TSM $V $WMT $JNJ $TSLA $PG $MA $NVDA $HD $JPM $UNH $VZ $ADBE $DIS $CRM $PYPL $NFLX $MRK $INTC $CMCSA $KO $BAC $T $PFE $NVS $NKE $SAP $TM $PEP $ABT  https://t.co/NboUJv6XXX",en,[],[],['https://pbs.twimg.com/media/EtADPTOW4AIvUQF.png'],0,0,0,[],"['baba', 'fb', 'brk.b', 'brk.a', 'tsm', 'v', 'wmt', 'jnj', 'tsla', 'pg', 'ma', 'nvda', 'hd', 'jpm', 'unh', 'vz', 'adbe', 'dis', 'crm', 'pypl', 'nflx', 'mrk', 'intc', 'cmcsa', 'ko', 'bac', 't', 'pfe', 'nvs', 'nke', 'sap', 'tm', 'pep', 'abt']",https://twitter.com/Vijayraj11122/status/1355587052444676096,False,,1,https://pbs.twimg.com/media/EtADPTOW4AIvUQF.png,,,,,,,[],,,,
