id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355559188286476291,1355559188286476291,2021-01-30 17:51:10 CET,2021-01-30,17:51:10,+0200,1351544588519915520,vijayraj11122,Vijay,,To enhance your experience in trading and get instant help click here   $GME $HOLD $SAVE $AT $TIME $RH $ITM $TD $DO  $AMC $GME $HDGE $EU $IPO $DIS $NOK $IT $TD $VEEV $HPE $DELL $BILI $BURL $PLCE $ANF $OLLI $PLAN $FLWS $VIOT  $HPQ $SOL $BITA $ATHM $NTAP $SPY  https://t.co/wWsVV5JVjc,en,[],[],['https://pbs.twimg.com/media/Es_p3btW4Acgmka.jpg'],0,0,1,[],"['gme', 'hold', 'save', 'at', 'time', 'rh', 'itm', 'td', 'do', 'amc', 'gme', 'hdge', 'eu', 'ipo', 'dis', 'nok', 'it', 'td', 'veev', 'hpe', 'dell', 'bili', 'burl', 'plce', 'anf', 'olli', 'plan', 'flws', 'viot', 'hpq', 'sol', 'bita', 'athm', 'ntap', 'spy']",https://twitter.com/Vijayraj11122/status/1355559188286476291,False,,1,https://pbs.twimg.com/media/Es_p3btW4Acgmka.jpg,,,,,,,[],,,,
1355433928069419008,1355433928069419008,2021-01-30 09:33:25 CET,2021-01-30,09:33:25,+0200,1134049078424162304,newsfilterio,Investor News,,Form SC 13G/A (statement of acquisition of beneficial ownership by individuals) filed with the SEC $NTAP  https://t.co/1qzdXlY1jd,en,[],['https://newsfilter.io/articles/sc-13ga-form---amend-statement-of-acquisition-of-beneficial-ownership-by-individuals---netapp-inc-00-c06b3bc0e64a62c93ba8680d94226594'],[],0,0,1,[],['ntap'],https://twitter.com/newsfilterio/status/1355433928069419008,False,,0,,,,,,,,[],,,,
1355331257232715778,1355214864780693504,2021-01-30 02:45:27 CET,2021-01-30,02:45:27,+0200,99663,danisaacs,Dan Isaacs,,@ripologist $NTAP from 10/99 to $150/sh with 2 splits by 10/00  https://t.co/iqJZrbIvEb,en,[],[],['https://pbs.twimg.com/media/Es8aRycXAAgDp2q.jpg'],1,1,0,[],['ntap'],https://twitter.com/danisaacs/status/1355331257232715778,False,,1,https://pbs.twimg.com/media/Es8aRycXAAgDp2q.jpg,,,,,,,"[{'screen_name': 'ripologist', 'name': 'Rip Wilson', 'id': '885418392'}]",,,,
1355327480450543617,1355327480450543617,2021-01-30 02:30:26 CET,2021-01-30,02:30:26,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$ETFM To Raise Price Target For Phillips 66 $PSX As New Merger Meetings Happen  https://t.co/Mv3xmUJu9A  $VFC $BITA $HZNP $MUX $SFRX $ES $DKSC $AVXS $WAL $PNR $FCF $AXTA $NTAP,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,0,2,[],"['etfm', 'psx', 'vfc', 'bita', 'hznp', 'mux', 'sfrx', 'es', 'dksc', 'avxs', 'wal', 'pnr', 'fcf', 'axta', 'ntap']",https://twitter.com/askwarrenbuffet/status/1355327480450543617,False,,0,,,,,,,,[],,,,
1355290579912052736,1355290579912052736,2021-01-30 00:03:48 CET,2021-01-30,00:03:48,+0200,2356524462,allstocknews,$Stocknewsalerts,,"$NTAP New Form SC 13G/A for NetApp, Inc. From our Stock News Alerts App",en,[],[],[],0,0,0,[],['ntap'],https://twitter.com/Allstocknews/status/1355290579912052736,False,,0,,,,,,,,[],,,,
1355245698325880836,1355245698325880836,2021-01-29 21:05:28 CET,2021-01-29,21:05:28,+0200,1339610676524769281,tradewithalerts,TradeWithAlerts,,"Large Print $NTAP Size: 130900 Price: 66 Time: 1505 Amount: $8,639,400.00",en,[],[],[],0,0,0,[],['ntap'],https://twitter.com/TradeWithAlerts/status/1355245698325880836,False,,0,,,,,,,,[],,,,
1355230756889628673,1355230756889628673,2021-01-29 20:06:06 CET,2021-01-29,20:06:06,+0200,2422703600,swingtradebot,SwingTradeBot,,20 DMA Support today: $VMW $LC $NTAP $OIA $UCON $MUDSU $GENE $HTH $SFYF $ZCMD $AIC $BTEC $SALM $FLWS $LPL $UITB $BUI $REV $JNPR ...  https://t.co/deOpbNqdR6,in,[],['https://swingtradebot.com/alerts/34-20-dma-support'],[],0,0,0,[],"['vmw', 'lc', 'ntap', 'oia', 'ucon', 'mudsu', 'gene', 'hth', 'sfyf', 'zcmd', 'aic', 'btec', 'salm', 'flws', 'lpl', 'uitb', 'bui', 'rev', 'jnpr']",https://twitter.com/SwingTradeBot/status/1355230756889628673,False,,0,,,,,,,,[],,,,
1355224413554135042,1355224413554135042,2021-01-29 19:40:53 CET,2021-01-29,19:40:53,+0200,1351544588519915520,vijayraj11122,Vijay,,"Alerts, Analysis, updates, free trials  Join here   $BBY $DG $CRM $DLTR $INTU $DKS $MDT $PANW $SJM $ICLK $OKTA $MRVL $ADSK $HRL $WDAY $BIG $COTY $ULTA $BOX $SPLK $BNS $TOL $VMW $BMO $TD $VEEV $HPE $DELL $BILI $BURL $PLCE $ANF $OLLI $PLAN $FLWS $VIOT  $HPQ $SOL $BITA $ATHM $NTAP  https://t.co/QfxsFEwHwr",in,[],[],['https://pbs.twimg.com/media/Es65YYnXAAg2DOe.jpg'],1,0,0,[],"['bby', 'dg', 'crm', 'dltr', 'intu', 'dks', 'mdt', 'panw', 'sjm', 'iclk', 'okta', 'mrvl', 'adsk', 'hrl', 'wday', 'big', 'coty', 'ulta', 'box', 'splk', 'bns', 'tol', 'vmw', 'bmo', 'td', 'veev', 'hpe', 'dell', 'bili', 'burl', 'plce', 'anf', 'olli', 'plan', 'flws', 'viot', 'hpq', 'sol', 'bita', 'athm', 'ntap']",https://twitter.com/Vijayraj11122/status/1355224413554135042,False,,1,https://pbs.twimg.com/media/Es65YYnXAAg2DOe.jpg,,,,,,,[],,,,
1355211124048879616,1355211124048879616,2021-01-29 18:48:05 CET,2021-01-29,18:48:05,+0200,925751546159169536,sleekoptions,sleekOptions,,"Oversold on Hourly   https://t.co/2Hf0ZbjpKC $AMGN  276.69  to 242.64 $BBY  114.06  to 111.11 $ABMD  363.80  to 342.61 $ISRG  778.24  to 751.18 $GPN  184.51  to 180.16 $V  203.05  to 197.56 $UAL  42.65  to 40.95 $NTAP",en,[],['https://www.sleekoptions.com/sleekscan.aspx?sub1=dscan&type=60minoversold'],[],0,0,0,[],"['amgn', 'bby', 'abmd', 'isrg', 'gpn', 'v', 'ual', 'ntap']",https://twitter.com/sleekoptions/status/1355211124048879616,False,,0,,,,,,,,[],,,,
1355192866126049280,1355192866126049280,2021-01-29 17:35:32 CET,2021-01-29,17:35:32,+0200,1063565390230552576,paultorrescohen,Paul Torres-Cohen,,Paul Torres-Cohen $NTAP,en,[],[],[],0,0,0,[],['ntap'],https://twitter.com/PaulTorresCohen/status/1355192866126049280,False,,0,,,,,,,,[],,,,
1355170004774350854,1355170004774350854,2021-01-29 16:04:41 CET,2021-01-29,16:04:41,+0200,2422703600,swingtradebot,SwingTradeBot,,Rose Above Upper Bollinger Band today: $NTAP $WDC $WEAT $NXJ $BIMI $OIA $STRM $MATW $FANH $OXBR $GTHX $UCON $MDP $CAKE $MD $SNBR $SHV $ITM $OPK $RETL ...  https://t.co/AyIukUGmib,en,[],['https://swingtradebot.com/alerts/23-rose-above-upper-bollinger-band'],[],0,0,0,[],"['ntap', 'wdc', 'weat', 'nxj', 'bimi', 'oia', 'strm', 'matw', 'fanh', 'oxbr', 'gthx', 'ucon', 'mdp', 'cake', 'md', 'snbr', 'shv', 'itm', 'opk', 'retl']",https://twitter.com/SwingTradeBot/status/1355170004774350854,False,,0,,,,,,,,[],,,,
1355165102941593601,1355165102941593601,2021-01-29 15:45:12 CET,2021-01-29,15:45:12,+0200,1207698686102441984,stoneypointcap,Stoney Point,,"Next month’s select picks: $NVR, $FB, $EXPD, $PAYC, $FTNT, $AOS, $NTAP, $ATVI, $TER, $FFIV. Check out the Prime picks at the site.  https://t.co/UyFhrLJv9A",en,[],['https://stoneypointinvest.com/blog/february-prime-select-picks-available-now'],[],0,0,0,[],"['nvr', 'fb', 'expd', 'payc', 'ftnt', 'aos', 'ntap', 'atvi', 'ter', 'ffiv']",https://twitter.com/StoneyPointCap/status/1355165102941593601,False,,0,,,,,,,,[],,,,
1355078486466064386,1355078486466064386,2021-01-29 10:01:01 CET,2021-01-29,10:01:01,+0200,374729426,tickeron,Tickeron,,"$NTAP in Uptrend: 50-day Moving Average moved above 200-day Moving Average on October 29, 2020. View odds for this and other indicators:  https://t.co/39ar3EX4f7 #Netapp #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/62EZLPb2y1",en,[],['https://srnk.us/go/2494802'],['https://pbs.twimg.com/media/Es40s5BVkAAGCOk.jpg'],0,1,1,"['netapp', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['ntap'],https://twitter.com/Tickeron/status/1355078486466064386,False,,1,https://pbs.twimg.com/media/Es40s5BVkAAGCOk.jpg,,,,,,,[],,,,
1354944720892518400,1354944720892518400,2021-01-29 01:09:29 CET,2021-01-29,01:09:29,+0200,925751546159169536,sleekoptions,sleekOptions,,"Peak profit for the last 6 expired option alerts for $NTAP 14.58% | -91.63% | 12.70% | 246.91% | 307.69% | 318.18% |     https://t.co/pRw4cDnDR8  https://t.co/Hoinlms70j",en,[],['https://sleekoptions.com/goodsetups.aspx?sym=NTAP'],['https://pbs.twimg.com/media/Es27CyQXIAktgw7.jpg'],0,0,0,[],['ntap'],https://twitter.com/sleekoptions/status/1354944720892518400,False,,1,https://pbs.twimg.com/media/Es27CyQXIAktgw7.jpg,,,,,,,[],,,,
1354943704868466692,1354943704868466692,2021-01-29 01:05:27 CET,2021-01-29,01:05:27,+0200,925751546159169536,sleekoptions,sleekOptions,,$NTAP [Jan-29 65.00 Calls] Option volume Up +936.36% |  Volume: 114 vs 11|,en,[],[],[],0,0,0,[],['ntap'],https://twitter.com/sleekoptions/status/1354943704868466692,False,,0,,,,,,,,[],,,,
1354942696935272449,1354942696935272449,2021-01-29 01:01:27 CET,2021-01-29,01:01:27,+0200,925751546159169536,sleekoptions,sleekOptions,,"$NTAP - #OptionsTrading - Monthly performance of the algo based option alerts posted for NTAP   https://t.co/IXv3c6nPCn",en,[],['https://sleekoptions.com/pps.aspx?sym=NTAP'],[],0,0,0,['optionstrading'],['ntap'],https://twitter.com/sleekoptions/status/1354942696935272449,False,,0,,,,,,,,[],,,,
1354941678377906176,1354941678377906176,2021-01-29 00:57:24 CET,2021-01-29,00:57:24,+0200,925751546159169536,sleekoptions,sleekOptions,,"$NTAP - Last six months, 29 option alerts peaked above 100% after they were triggered by the algo    https://t.co/pRw4cDnDR8  https://t.co/uDTNw4rplQ",en,[],['https://sleekoptions.com/goodsetups.aspx?sym=NTAP'],['https://pbs.twimg.com/media/Es24RrGW4AE7zoC.jpg'],0,0,0,[],['ntap'],https://twitter.com/sleekoptions/status/1354941678377906176,False,,1,https://pbs.twimg.com/media/Es24RrGW4AE7zoC.jpg,,,,,,,[],,,,
1354940658155454464,1354940658155454464,2021-01-29 00:53:21 CET,2021-01-29,00:53:21,+0200,925751546159169536,sleekoptions,sleekOptions,,"$NTAP - View historical options performance for NTAP   https://t.co/pRw4cDnDR8  https://t.co/7nmVX5sOco",en,[],['https://sleekoptions.com/goodsetups.aspx?sym=NTAP'],['https://pbs.twimg.com/media/Es23WS5XYAI6JGn.jpg'],0,0,0,[],['ntap'],https://twitter.com/sleekoptions/status/1354940658155454464,False,,1,https://pbs.twimg.com/media/Es23WS5XYAI6JGn.jpg,,,,,,,[],,,,
1354919643786473476,1354919643786473476,2021-01-28 23:29:50 CET,2021-01-28,23:29:50,+0200,2422703600,swingtradebot,SwingTradeBot,,On our Top 50 Bullish List today: $AGNCP $IMAX $NTAP $CRC $PD $AWH $LAKE $TIGR $GRAY $TTEC ...  https://t.co/fnCT1KOFyh,en,[],['https://swingtradebot.com/scans/top-fifty-bullish?selected_date=2021-01-28'],[],0,1,2,[],"['agncp', 'imax', 'ntap', 'crc', 'pd', 'awh', 'lake', 'tigr', 'gray', 'ttec']",https://twitter.com/SwingTradeBot/status/1354919643786473476,False,,0,,,,,,,,[],,,,
1354918626978111492,1354918626978111492,2021-01-28 23:25:48 CET,2021-01-28,23:25:48,+0200,1339610676524769281,tradewithalerts,TradeWithAlerts,,"Large Print $NTAP Size: 151371 Price: 67.4 Time: 1725 Amount: $10,202,405.40",en,[],[],[],0,0,0,[],['ntap'],https://twitter.com/TradeWithAlerts/status/1354918626978111492,False,,0,,,,,,,,[],,,,
1354777440548171776,1354777440548171776,2021-01-28 14:04:47 CET,2021-01-28,14:04:47,+0200,302349992,stoxline,Stoxline Investing,,"2021-01-27 MA5-MA15 Bull Crossover Stock:  $AR, $BOX, $DBX, $FSR, $NTAP,  $WU   https://t.co/cCImvdZvzG",in,[],['http://www.stoxline.com/article.php?title=2021/01/2021-01-27-ma5-ma15-bull-crossover-stock-ar-box-dbx-fsr-ntap-wu/'],[],0,0,0,[],"['ar', 'box', 'dbx', 'fsr', 'ntap', 'wu']",https://twitter.com/stoxline/status/1354777440548171776,False,,0,,,,,,,,[],,,,
1354746137308237826,1354746137308237826,2021-01-28 12:00:23 CET,2021-01-28,12:00:23,+0200,716737614771044352,optioncharts,max pain,,$NTAP Implied Volatility expiration 01/29/2021 #maxpain #options  https://t.co/lLEiMPBL9S  https://t.co/jf63dcdaVc,en,[],['http://maximum-pain.com/iv/NTAP?m=01%2f29%2f2021'],['https://pbs.twimg.com/media/Es0GbuiWMAEUK1u.jpg'],0,0,0,"['maxpain', 'options']",['ntap'],https://twitter.com/optioncharts/status/1354746137308237826,False,,1,https://pbs.twimg.com/media/Es0GbuiWMAEUK1u.jpg,,,,,,,[],,,,
1354711397783932929,1354711397783932929,2021-01-28 09:42:21 CET,2021-01-28,09:42:21,+0200,374729426,tickeron,Tickeron,,"$NTAP in Uptrend: 50-day Moving Average moved above 200-day Moving Average on October 29, 2020. View odds for this and other indicators:  https://t.co/OkrGadwuS5 #Netapp #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/zwCijqTAGe",en,[],['https://srnk.us/go/2492437'],['https://pbs.twimg.com/media/Eszm1l6VoAgtw9Q.jpg'],0,1,1,"['netapp', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['ntap'],https://twitter.com/Tickeron/status/1354711397783932929,False,,1,https://pbs.twimg.com/media/Eszm1l6VoAgtw9Q.jpg,,,,,,,[],,,,
