id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355501774430498816,1355501774430498816,2021-01-30 14:03:01 CET,2021-01-30,14:03:01,+0200,121370906,chartmill,ChartMill,,"$CGNX, $NTRS and $FAF have a high Dividend Rating, which makes it a good candidate for Dividend Investing.  https://t.co/n14Aopqs9r",en,[],"['https://www.chartmill.com/stock/stock-screener?sid=288&f=p_pg10,v1_50b500,sl_dvd_7_X,sl_he_5_X,sl_pr_5_X&s=dvd&v=19&utm_source=twitterUS&utm_medium=screener&utm_content=Stock_Screener:_Best_Dividend_Stocks&utm_campaign=social_tracking']",[],0,0,2,[],"['cgnx', 'ntrs', 'faf']",https://twitter.com/ChartMill/status/1355501774430498816,False,,0,,,,,,,,[],,,,
1355490272562601986,1355490272562601986,2021-01-30 13:17:19 CET,2021-01-30,13:17:19,+0200,1184025479084331008,mehabecapital,Jeremy,,"Unusually heavy option volume on today's open include $NTRS, $IVZ, $MPC, $HP, and $NFLX.",en,[],[],[],1,0,0,[],"['ntrs', 'ivz', 'mpc', 'hp', 'nflx']",https://twitter.com/mehabecapital/status/1355490272562601986,False,,0,,,,,,,,[],,,,
1355327374666002434,1355327374666002434,2021-01-30 02:30:01 CET,2021-01-30,02:30:01,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$ENZC CEO To Confirm Acquisition Discussions Ongoing In Chicago  https://t.co/Mv3xmUJu9A  $BBVA $SBRA $DEI $NTRS $ALKS $LITE $SNPS $BZUN $ETR $CSTM $PNAT $NCLH $PAY,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],1,0,0,[],"['enzc', 'bbva', 'sbra', 'dei', 'ntrs', 'alks', 'lite', 'snps', 'bzun', 'etr', 'cstm', 'pnat', 'nclh', 'pay']",https://twitter.com/askwarrenbuffet/status/1355327374666002434,False,,0,,,,,,,,[],,,,
1355212215771566081,1355212213280104448,2021-01-29 18:52:25 CET,2021-01-29,18:52:25,+0200,3222699058,__tm3k,%Bot,,$LEG - $41.25 Oversold $LNC - $44.85 Oversold $LYV - $67.08 Oversold $LMT - $325.93 Oversold $MKC - $89.2 Oversold $MDT - $111.66 Oversold $MDLZ - $55.44 Oversold $NTRS - $88.64 Oversold $NOC - $283.79 Oversold $NUE - $48.05 Oversold $PKG - $129.34 Oversold $PSX - $68.2 Oversold,en,[],[],[],1,0,3,[],"['leg', 'lnc', 'lyv', 'lmt', 'mkc', 'mdt', 'mdlz', 'ntrs', 'noc', 'nue', 'pkg', 'psx']",https://twitter.com/__tm3k/status/1355212215771566081,False,,0,,,,,,,,[],,,,
1355192192118218753,1355192192118218753,2021-01-29 17:32:51 CET,2021-01-29,17:32:51,+0200,976281459806949376,realityofjnj,emily,,$VHT $BLK $STT $JPM $BK $BAC $NTRS $NBIM $MS $WFC $GS  $JNJ $MRNA $PFE $BNTX $AZN $GLW $BDX $RVP $MRK $LLY $REGN,in,[],[],[],0,2,2,[],"['vht', 'blk', 'stt', 'jpm', 'bk', 'bac', 'ntrs', 'nbim', 'ms', 'wfc', 'gs', 'jnj', 'mrna', 'pfe', 'bntx', 'azn', 'glw', 'bdx', 'rvp', 'mrk', 'lly', 'regn']",https://twitter.com/REALITYofJNJ/status/1355192192118218753,False,https://twitter.com/REALITYofJNJ/status/1340717280871788544,0,,,,,,,,[],,,,
1355168372321783811,1355168372321783811,2021-01-29 15:58:12 CET,2021-01-29,15:58:12,+0200,374729426,tickeron,Tickeron,,"$NTRS in Uptrend: 50-day Moving Average broke above 200-day Moving Average on October 27, 2020. View odds for this and other indicators:  https://t.co/ZNHzYvBfvq #NorthernTrust #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/tsYWe9ATnq",en,[],['https://srnk.us/go/2495393'],['https://pbs.twimg.com/media/Es6Gc_AVkAIJBf9.jpg'],0,0,0,"['northerntrust', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['ntrs'],https://twitter.com/Tickeron/status/1355168372321783811,False,,1,https://pbs.twimg.com/media/Es6Gc_AVkAIJBf9.jpg,,,,,,,[],,,,
1355092828129521664,1355092828129521664,2021-01-29 10:58:01 CET,2021-01-29,10:58:01,+0200,121370906,chartmill,ChartMill,,"$CGNX, $NTRS and $GRMN showing up in our best Dividend Stock selection.  https://t.co/n14Aopqs9r",en,[],"['https://www.chartmill.com/stock/stock-screener?sid=288&f=p_pg10,v1_50b500,sl_dvd_7_X,sl_he_5_X,sl_pr_5_X&s=dvd&v=19&utm_source=twitterUS&utm_medium=screener&utm_content=Stock_Screener:_Best_Dividend_Stocks&utm_campaign=social_tracking']",[],0,0,0,[],"['cgnx', 'ntrs', 'grmn']",https://twitter.com/ChartMill/status/1355092828129521664,False,,0,,,,,,,,[],,,,
1355027709710090243,1355027709710090243,2021-01-29 06:39:15 CET,2021-01-29,06:39:15,+0200,448034833,rum_tonic,𝐑𝐮𝐦𝐓𝐨𝐧𝐢𝐜🎻,,新規でアメリカ株を買いたいと思います。  $NTRS ノーザントラストか $BLK ブラックロックのどちらかで考えています。,ja,[],[],[],0,0,3,[],"['ntrs', 'blk']",https://twitter.com/rum_tonic/status/1355027709710090243,False,,0,,,,,,,,[],,,,
1355022871517671425,1355022871517671425,2021-01-29 06:20:02 CET,2021-01-29,06:20:02,+0200,121370906,chartmill,ChartMill,,"$NTRS, $FAF and $GNTX showing up in our best Dividend Stock selection.  https://t.co/n14Aopqs9r",en,[],"['https://www.chartmill.com/stock/stock-screener?sid=288&f=p_pg10,v1_50b500,sl_dvd_7_X,sl_he_5_X,sl_pr_5_X&s=dvd&v=19&utm_source=twitterUS&utm_medium=screener&utm_content=Stock_Screener:_Best_Dividend_Stocks&utm_campaign=social_tracking']",[],0,0,0,[],"['ntrs', 'faf', 'gntx']",https://twitter.com/ChartMill/status/1355022871517671425,False,,0,,,,,,,,[],,,,
1355016749750562821,1355016749750562821,2021-01-29 05:55:42 CET,2021-01-29,05:55:42,+0200,716737614771044352,optioncharts,max pain,,$NTRS Implied Volatility expiration 02/19/2021 #maxpain #options  https://t.co/u6hMohV9eJ  https://t.co/0GUz8NCfRp,en,[],['http://maximum-pain.com/iv/NTRS?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/Es38jcyW8AULPzz.jpg'],0,0,0,"['maxpain', 'options']",['ntrs'],https://twitter.com/optioncharts/status/1355016749750562821,False,,1,https://pbs.twimg.com/media/Es38jcyW8AULPzz.jpg,,,,,,,[],,,,
1355016130503581700,1355016130503581700,2021-01-29 05:53:15 CET,2021-01-29,05:53:15,+0200,895929863521095680,tradeflags,TradeFlags,,"TD BUY $NTRS at 91.19, Supp 90.27 Resis 99.69 R10  HiLo 70% T1Y 105 hold 3.0 PE 16.7 DIV 3.10% #Northern T #stocks #trading #finance #market  https://t.co/zUhy26BTTg  https://t.co/7wvhcjv3PU",in,[],['https://tinyurl.com/yy5ljflz'],['https://pbs.twimg.com/media/Es37_VMXYAAi4aY.png'],0,0,0,"['northern', 'stocks', 'trading', 'finance', 'market']",['ntrs'],https://twitter.com/TradeFlags/status/1355016130503581700,False,,1,https://pbs.twimg.com/media/Es37_VMXYAAi4aY.png,,,,,,,[],,,,
1354917014083678208,1354917014083678208,2021-01-28 23:19:23 CET,2021-01-28,23:19:23,+0200,3300085344,wallstcritic,Michael King,,Not sure why $STT $BK and $NTRS were up today considering they're sure to get hauled in front of congress because of $GME,en,[],[],[],1,0,0,[],"['stt', 'bk', 'ntrs', 'gme']",https://twitter.com/WallStCritic/status/1354917014083678208,False,https://twitter.com/QuisitiveInvest/status/1354889390519181318,0,,,,,,,,[],,,,
1354817631958691840,1354817631958691840,2021-01-28 16:44:29 CET,2021-01-28,16:44:29,+0200,374729426,tickeron,Tickeron,,"$NTRS's price moved below its 50-day Moving Average on January 27, 2021. View odds for this and other indicators:  https://t.co/8sozYJhlA2 #NorthernTrust #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/DfMQCZwotb",en,[],['https://srnk.us/go/2493130'],['https://pbs.twimg.com/media/Es1HdOBUwBENmqS.png'],0,0,0,"['northerntrust', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['ntrs'],https://twitter.com/Tickeron/status/1354817631958691840,False,,1,https://pbs.twimg.com/media/Es1HdOBUwBENmqS.png,,,,,,,[],,,,
1354807604438941701,1354807604438941701,2021-01-28 16:04:38 CET,2021-01-28,16:04:38,+0200,895929863521095680,tradeflags,TradeFlags,,"#GSector #SELL WK3 $CFR, $PNC, $WFC, $IVZ, $NTRS, $HBAN, $RDN, $SIVB, $SC, $FITB  #Financial #FinancialServices $FAS $FAZ $XLF $IYG #growthstocks #stocks #finance #investment  https://t.co/7c7IJb4QqN  https://t.co/jKrbis0K87",in,[],['https://tinyurl.com/y2h8fdnm'],['https://pbs.twimg.com/media/Es0-Vc7VkAk8KMh.png'],0,0,0,"['gsector', 'sell', 'financial', 'financialservices', 'growthstocks', 'stocks', 'finance', 'investment']","['cfr', 'pnc', 'wfc', 'ivz', 'ntrs', 'hban', 'rdn', 'sivb', 'sc', 'fitb', 'fas', 'faz', 'xlf', 'iyg']",https://twitter.com/TradeFlags/status/1354807604438941701,False,,1,https://pbs.twimg.com/media/Es0-Vc7VkAk8KMh.png,,,,,,,[],,,,
1354460222430064649,1354460222430064649,2021-01-27 17:04:16 CET,2021-01-27,17:04:16,+0200,2422703600,swingtradebot,SwingTradeBot,,Reversed from Down today: $CBLI $VG $CRNC $NTRS $MGNI $CHTR $KIQ $MAT $HOFV $SVOKU $RLJ $PAYX $KWR $MHH $OVV $GMBL $CBPO $IRBO $DNK $CXP ...  https://t.co/uuYYhupj1A,sl,[],['https://swingtradebot.com/alerts/98-reversed-from-down'],[],0,0,0,[],"['cbli', 'vg', 'crnc', 'ntrs', 'mgni', 'chtr', 'kiq', 'mat', 'hofv', 'svoku', 'rlj', 'payx', 'kwr', 'mhh', 'ovv', 'gmbl', 'cbpo', 'irbo', 'dnk', 'cxp']",https://twitter.com/SwingTradeBot/status/1354460222430064649,False,,0,,,,,,,,[],,,,
1354450583298555905,1354450583298555905,2021-01-27 16:25:58 CET,2021-01-27,16:25:58,+0200,438262278,minteractapp,Super Stocks,,"Today Top Flow in #Financial sector, Buy Flow &amp; Sell Flow $MS $MCO $MMC $PSA $AVB $HST $VNO $USB $RF $NTRS $JPM $BAC $WFC $C $FITB $SCHW $GS $CMA $COF $EQR #stock #stocks #StockMarket #Investment #finance #investing  https://t.co/5JE2nlrW3B  https://t.co/BQYGWo49i9",en,[],['https://apple.co/2XZuTYw'],"['https://pbs.twimg.com/media/Esv5nwyVkAkwaMs.jpg', 'https://pbs.twimg.com/media/Esv5n5XU4AMtyVg.jpg', 'https://pbs.twimg.com/media/Esv5oCOVoAADCsJ.jpg', 'https://pbs.twimg.com/media/Esv5oLfUUAUuaNV.jpg']",0,0,0,"['financial', 'stock', 'stocks', 'stockmarket', 'investment', 'finance', 'investing']","['ms', 'mco', 'mmc', 'psa', 'avb', 'hst', 'vno', 'usb', 'rf', 'ntrs', 'jpm', 'bac', 'wfc', 'c', 'fitb', 'schw', 'gs', 'cma', 'cof', 'eqr']",https://twitter.com/MinteractApp/status/1354450583298555905,False,,1,https://pbs.twimg.com/media/Esv5nwyVkAkwaMs.jpg,,,,,,,[],,,,
1354376799061422081,1354376799061422081,2021-01-27 11:32:46 CET,2021-01-27,11:32:46,+0200,39546678,mediasentiment,Media Sentiment®,,$NTRS  new alert at  https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 160,in,[],['http://www.aheadsup.com/twitter/newsentiment.html?user=usequities'],[],0,0,0,"['stocks', 'daytrading', 'nyse', 'nasdaq', 'market']",['ntrs'],https://twitter.com/mediasentiment/status/1354376799061422081,False,,0,,,,,,,,[],,,,
1354373842962100228,1354373842962100228,2021-01-27 11:21:01 CET,2021-01-27,11:21:01,+0200,121370906,chartmill,ChartMill,,"$CGNX, $NTRS and $CTRE have a high Dividend Rating, which makes it a good candidate for Dividend Investing.  https://t.co/n14Aopqs9r",en,[],"['https://www.chartmill.com/stock/stock-screener?sid=288&f=p_pg10,v1_50b500,sl_dvd_7_X,sl_he_5_X,sl_pr_5_X&s=dvd&v=19&utm_source=twitterUS&utm_medium=screener&utm_content=Stock_Screener:_Best_Dividend_Stocks&utm_campaign=social_tracking']",[],0,0,0,[],"['cgnx', 'ntrs', 'ctre']",https://twitter.com/ChartMill/status/1354373842962100228,False,,0,,,,,,,,[],,,,
1354132145602654209,1354132145602654209,2021-01-26 19:20:36 CET,2021-01-26,19:20:36,+0200,374729426,tickeron,Tickeron,,"$NTRS in Downtrend: its price may drop because broke its higher Bollinger Band on January 6, 2021. View odds for this and other indicators:  https://t.co/mLAeV0Nupb #NorthernTrust #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/Df7vSyttwg",en,[],['https://srnk.us/go/2488703'],['https://pbs.twimg.com/media/EsrYArEU0AEuPCZ.jpg'],0,0,0,"['northerntrust', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['ntrs'],https://twitter.com/Tickeron/status/1354132145602654209,False,,1,https://pbs.twimg.com/media/EsrYArEU0AEuPCZ.jpg,,,,,,,[],,,,
1354101172731342849,1354101172731342849,2021-01-26 17:17:32 CET,2021-01-26,17:17:32,+0200,2422703600,swingtradebot,SwingTradeBot,,50 DMA Support today: $SOLN $AROW $FLNG $ITGR $ONE $NTRS $PRFX ...  https://t.co/aW7zteKP9U,en,[],['https://swingtradebot.com/alerts/35-50-dma-support'],[],0,0,0,[],"['soln', 'arow', 'flng', 'itgr', 'one', 'ntrs', 'prfx']",https://twitter.com/SwingTradeBot/status/1354101172731342849,False,,0,,,,,,,,[],,,,
1353885920076980224,1353885920076980224,2021-01-26 03:02:11 CET,2021-01-26,03:02:11,+0200,716737614771044352,optioncharts,max pain,,$NTRS Max Pain is 90.00 for maturity 02/19/2021. #maxpain #options  https://t.co/BsEZcB1k8T  https://t.co/QKASM2qmJR,en,[],['http://maximum-pain.com/options/NTRS?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/Esn4EeSXMAAT7yD.jpg'],0,0,0,"['maxpain', 'options']",['ntrs'],https://twitter.com/optioncharts/status/1353885920076980224,False,,1,https://pbs.twimg.com/media/Esn4EeSXMAAT7yD.jpg,,,,,,,[],,,,
