id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355665729295699970,1355665729295699970,2021-01-31 00:54:31 CET,2021-01-31,00:54:31,+0200,3195592128,consistentlylky,Consistently Lucky 📈📊,,"Came across this today, some companies on my watch this week. (Not as enticing as last week, gains are gains) I’d say $PYPL $AMZN &amp; $PENN  $AMZN $BABA $PFE $UPS $PINS $PYPL $SNAP $GOOGL $XOM $F $TMO $PTON $APPS $SPOT $BP $CMG $OTIS $EBAY $VRTX $SIRI $LGND $BIIB $PENN $REGN  https://t.co/mEwfd1P2WG",en,[],[],['https://pbs.twimg.com/media/EtBKy7CXcAEIMR8.jpg'],0,0,1,[],"['pypl', 'amzn', 'penn', 'amzn', 'baba', 'pfe', 'ups', 'pins', 'pypl', 'snap', 'googl', 'xom', 'f', 'tmo', 'pton', 'apps', 'spot', 'bp', 'cmg', 'otis', 'ebay', 'vrtx', 'siri', 'lgnd', 'biib', 'penn', 'regn']",https://twitter.com/ConsistentlyLky/status/1355665729295699970,False,,1,https://pbs.twimg.com/media/EtBKy7CXcAEIMR8.jpg,,,,,,,[],,,,
1355642965176279040,1355642965176279040,2021-01-30 23:24:04 CET,2021-01-30,23:24:04,+0200,837481040650326016,goat_ofwallst,Trader Mike Ⓜ️👑 🐐,,#earnins this week  $AMZN $BABA $PFE $UPS $PINS $PYPL  $SNAP $GOOGL $XOM $F $QCOM $TMO  $PTON $ABBV $APPS $SPOT $ON $ATVI  $CLX $BMY $BP $GILD $CMG $EA $OTIS  $EBAY $QTNT $NXPI $FEYE $VRTX $SIRI  $CRUS $MRK $PLUS $LGND $BlIB  $PENN $HOG $ARLP $MDC $REGN  https://t.co/M3glm2wGgw,en,[],[],['https://pbs.twimg.com/media/EtA2FpgXYAYB_zn.jpg'],3,0,2,['earnins'],"['amzn', 'baba', 'pfe', 'ups', 'pins', 'pypl', 'snap', 'googl', 'xom', 'f', 'qcom', 'tmo', 'pton', 'abbv', 'apps', 'spot', 'on', 'atvi', 'clx', 'bmy', 'bp', 'gild', 'cmg', 'ea', 'otis', 'ebay', 'qtnt', 'nxpi', 'feye', 'vrtx', 'siri', 'crus', 'mrk', 'plus', 'lgnd', 'blib', 'penn', 'hog', 'arlp', 'mdc', 'regn']",https://twitter.com/Goat_ofWallSt/status/1355642965176279040,False,,1,https://pbs.twimg.com/media/EtA2FpgXYAYB_zn.jpg,,,,,,,[],,,,
1355626716652167170,1355626716652167170,2021-01-30 22:19:30 CET,2021-01-30,22:19:30,+0200,351124316,brandonvanzee,𝐁𝐫𝐚𝐧𝐝𝐨𝐧 𝐕𝐚𝐧 𝐙𝐞𝐞,,Another big earnings week on the horizon. Dividend investors might want to keep their eyes on:  $AMGN $CB $SMG $ALL $HUM $YUM $PM $EL $SNY $AON $ITW $PFE $UPS $XOM $QCOM $TMO $ABBV $ATVI $CLX $BMY $BP $GILD $OTIS $MRK $HOG $MDC $MCK $MPC,en,[],[],[],4,1,17,[],"['amgn', 'cb', 'smg', 'all', 'hum', 'yum', 'pm', 'el', 'sny', 'aon', 'itw', 'pfe', 'ups', 'xom', 'qcom', 'tmo', 'abbv', 'atvi', 'clx', 'bmy', 'bp', 'gild', 'otis', 'mrk', 'hog', 'mdc', 'mck', 'mpc']",https://twitter.com/BrandonVanZee/status/1355626716652167170,False,https://twitter.com/eWhispers/status/1355517171359768579,0,,,,,,,,[],,,,
1355625516871655432,1355625516871655432,2021-01-30 22:14:44 CET,2021-01-30,22:14:44,+0200,368414441,swan1427,J-Swan,,#earnings   Another HUGE week.   Lets get our piece!   $AMZN $BABA $PFE $UPS $PINS $PYPL $SNAP $GOOGL $XOM $F $QCOM $TMO $PTON $ABBV $APPS $SPOT $ON $ATVI $CLX $BMY $BP $GILD $CMG $EA $OTIS $EBAY $QTNT $NXPI $FEYE $VRTX $SIRI $CRUS $MRK $PLUS $LGND $BIIB $PENN $HOG $ARLP $MDC  https://t.co/nMZfiY6fIs,en,[],[],['https://pbs.twimg.com/media/EtAmOUsXMAEkhlR.jpg'],2,1,4,['earnings'],"['amzn', 'baba', 'pfe', 'ups', 'pins', 'pypl', 'snap', 'googl', 'xom', 'f', 'qcom', 'tmo', 'pton', 'abbv', 'apps', 'spot', 'on', 'atvi', 'clx', 'bmy', 'bp', 'gild', 'cmg', 'ea', 'otis', 'ebay', 'qtnt', 'nxpi', 'feye', 'vrtx', 'siri', 'crus', 'mrk', 'plus', 'lgnd', 'biib', 'penn', 'hog', 'arlp', 'mdc']",https://twitter.com/swan1427/status/1355625516871655432,False,,1,https://pbs.twimg.com/media/EtAmOUsXMAEkhlR.jpg,,,,,,,[],,,,
1355592868748951552,1355592868748951552,2021-01-30 20:05:00 CET,2021-01-30,20:05:00,+0200,2570920968,alpha_bronze,AlphaBronze,,Busy week! Earnings season in full spin! $AMZN $BABA $PFE $UPS $PINS $PYPL $SNAP $GOOGL $XOM $F $QCOM $TMO $PTON $ABBV $APPS $SPOT $ON $ATVI $CLX $BMY $BP $GILD $CMG $EA $OTIS $EBAY $QTNT $VRTX $SIRI $CRUS $MRK $LGND $BIIB $REGN #WallStreet  #earnings   https://t.co/ZdtddpEVUO  https://t.co/2s206qO6iQ,en,[],['http://bit.ly/36uc2ee'],['https://pbs.twimg.com/media/Es_9IdCW8AU7Ici.jpg'],0,1,8,"['wallstreet', 'earnings']","['amzn', 'baba', 'pfe', 'ups', 'pins', 'pypl', 'snap', 'googl', 'xom', 'f', 'qcom', 'tmo', 'pton', 'abbv', 'apps', 'spot', 'on', 'atvi', 'clx', 'bmy', 'bp', 'gild', 'cmg', 'ea', 'otis', 'ebay', 'qtnt', 'vrtx', 'siri', 'crus', 'mrk', 'lgnd', 'biib', 'regn']",https://twitter.com/Alpha_Bronze/status/1355592868748951552,False,,1,https://pbs.twimg.com/media/Es_9IdCW8AU7Ici.jpg,,,,,,,[],,,,
1355592666856226817,1355592666856226817,2021-01-30 20:04:12 CET,2021-01-30,20:04:12,+0200,2166486516,_sirpeter,Pedro Gallego Gil,,#earnings for the week    https://t.co/Ptrh1sYTVA   $AMZN $BABA $PFE $UPS $PINS $PYPL $SNAP $GOOGL $XOM $F $QCOM $TMO $PTON $ABBV $APPS $SPOT $ON $ATVI $CLX $BMY $BP $GILD $CMG $EA $OTIS $EBAY $QTNT $NXPI $FEYE $VRTX $SIRI $CRUS $MRK $PLUS $LGND $BIIB $PENN $HOG $ARLP $MDC $REGN  https://t.co/FjziBVlvmH,en,[],['http://eps.sh/cal'],['https://pbs.twimg.com/media/EtAIWKEXYAIq5sZ.jpg'],1,0,1,['earnings'],"['amzn', 'baba', 'pfe', 'ups', 'pins', 'pypl', 'snap', 'googl', 'xom', 'f', 'qcom', 'tmo', 'pton', 'abbv', 'apps', 'spot', 'on', 'atvi', 'clx', 'bmy', 'bp', 'gild', 'cmg', 'ea', 'otis', 'ebay', 'qtnt', 'nxpi', 'feye', 'vrtx', 'siri', 'crus', 'mrk', 'plus', 'lgnd', 'biib', 'penn', 'hog', 'arlp', 'mdc', 'regn']",https://twitter.com/_SirPeter/status/1355592666856226817,False,,1,https://pbs.twimg.com/media/EtAIWKEXYAIq5sZ.jpg,,,,,,,[],,,,
1355576905060278277,1355576905060278277,2021-01-30 19:01:34 CET,2021-01-30,19:01:34,+0200,397230151,omillionaires,Option Millionaires,,Some implied moves for #earnings next week(1of2):  $AMZN 6.4% $GOOGL 6.2% $CMG 6.7% $PYPL 8.5% $QCOM 7.9% $EA 6.7% $SPOT 9.2% $SNAP 15.9% $PTON 11.6% $PINS 18.7% $PENN 12.9% $ABBV 4.8% $OTIS 7.1% $TMO 6.4% $NXPI 6.9% $VRTX 4.1% $WMG 10.7% $CRUS 9.6% $BABA 6.5% $UPS 8.1%,en,[],[],[],28,87,364,['earnings'],"['amzn', 'googl', 'cmg', 'pypl', 'qcom', 'ea', 'spot', 'snap', 'pton', 'pins', 'penn', 'abbv', 'otis', 'tmo', 'nxpi', 'vrtx', 'wmg', 'crus', 'baba', 'ups']",https://twitter.com/OMillionaires/status/1355576905060278277,False,,0,,,,,,,,[],,,,
1355550864879050752,1355550864879050752,2021-01-30 17:18:05 CET,2021-01-30,17:18:05,+0200,239671704,its_me_jey,JVee,,Earnings release this week.   #earnings #RobinHood   $AMZN $BABA $PFE $UPS $PINS $PYPL $SNAP $GOOGL $XOM $F $QCOM $TMO $PTON $ABBV $APPS $SPOT $ON $ATVI $CLX $BMY $BP $GILD $CMG $EA $OTIS $EBAY $QTNT $NXPI $FEYE $VRTX $SIRI $CRUS $MRK $PLUS $LGND $BIIB $PENN $HOG $ARLP $MDC $REGN,en,[],[],[],0,0,1,"['earnings', 'robinhood']","['amzn', 'baba', 'pfe', 'ups', 'pins', 'pypl', 'snap', 'googl', 'xom', 'f', 'qcom', 'tmo', 'pton', 'abbv', 'apps', 'spot', 'on', 'atvi', 'clx', 'bmy', 'bp', 'gild', 'cmg', 'ea', 'otis', 'ebay', 'qtnt', 'nxpi', 'feye', 'vrtx', 'siri', 'crus', 'mrk', 'plus', 'lgnd', 'biib', 'penn', 'hog', 'arlp', 'mdc', 'regn']",https://twitter.com/its_me_jey/status/1355550864879050752,False,,0,,,,,,,,[],,,,
1355540139590746112,1355540139590746112,2021-01-30 16:35:28 CET,2021-01-30,16:35:28,+0200,118794845,marcodacostafx,Trading MarcoDaCosta,,#WallStreet 🇺🇸 #earnings for the week:  $AMZN $BABA $PFE $UPS $PINS $PYPL $SNAP $GOOGL $XOM $F $QCOM $TMO $PTON $ABBV $APPS $SPOT $EA $CMG $GILD 🔍  $ON $ATVI $CLX $BMY $BP $OTIS $EBAY $QTNT $NXPI $FEYE $VRTX $SIRI $CRUS $MRK $PLUS $LGND $BIIB $PENN $HOG $ARLP $MDC $REGN  https://t.co/G8wDF774XJ,en,[],[],['https://pbs.twimg.com/media/Es_YkleW8AQh3i0.jpg'],0,0,1,"['wallstreet', 'earnings']","['amzn', 'baba', 'pfe', 'ups', 'pins', 'pypl', 'snap', 'googl', 'xom', 'f', 'qcom', 'tmo', 'pton', 'abbv', 'apps', 'spot', 'ea', 'cmg', 'gild', 'on', 'atvi', 'clx', 'bmy', 'bp', 'otis', 'ebay', 'qtnt', 'nxpi', 'feye', 'vrtx', 'siri', 'crus', 'mrk', 'plus', 'lgnd', 'biib', 'penn', 'hog', 'arlp', 'mdc', 'regn']",https://twitter.com/MarcoDaCostaFX/status/1355540139590746112,False,,1,https://pbs.twimg.com/media/Es_YkleW8AQh3i0.jpg,,,,,,,[],,,,
1355539679018442752,1355539679018442752,2021-01-30 16:33:38 CET,2021-01-30,16:33:38,+0200,118794845,marcodacostafx,Trading MarcoDaCosta,,#WallStreet 🇺🇸 #earnings for the week:  $AMZN $BABA $PFE $UPS $PINS $PYPL $SNAP $GOOGL $XOM $F $QCOM $TMO $PTON $ABBV $APPS $SPOT $EA $CMG $GILD 🔍  $ON $ATVI $CLX $BMY $BP $OTIS $EBAY $QTNT $NXPI $FEYE $VRTX $SIRI $CRUS $MRK $PLUS $LGND $BIIB $PENN $HOG $ARLP $MDC $REGN  https://t.co/dTDLqlkNyE,en,[],[],['https://pbs.twimg.com/media/Es_YJtEXAAMmPiG.jpg'],0,0,1,"['wallstreet', 'earnings']","['amzn', 'baba', 'pfe', 'ups', 'pins', 'pypl', 'snap', 'googl', 'xom', 'f', 'qcom', 'tmo', 'pton', 'abbv', 'apps', 'spot', 'ea', 'cmg', 'gild', 'on', 'atvi', 'clx', 'bmy', 'bp', 'otis', 'ebay', 'qtnt', 'nxpi', 'feye', 'vrtx', 'siri', 'crus', 'mrk', 'plus', 'lgnd', 'biib', 'penn', 'hog', 'arlp', 'mdc', 'regn']",https://twitter.com/MarcoDaCostaFX/status/1355539679018442752,False,,1,https://pbs.twimg.com/media/Es_YJtEXAAMmPiG.jpg,,,,,,,[],,,,
