id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355662822127009792,1355660721363709954,2021-01-31 00:42:58 CET,2021-01-31,00:42:58,+0200,1283122861465456640,momoneyam,Mo Money 💸,,@ladypieface They're all going to be swing trade type plays.  Not for long term buy &amp; hold like $O or $T.,en,[],[],[],0,0,1,[],"['o', 't']",https://twitter.com/MoMoneyAM/status/1355662822127009792,False,,0,,,,,,,,"[{'screen_name': 'ladypieface', 'name': 'i have faith in the future', 'id': '1101298465601138688'}]",,,,
1355662313945227266,1355660721363709954,2021-01-31 00:40:57 CET,2021-01-31,00:40:57,+0200,1101298465601138688,ladypieface,i have faith in the future,,@MoMoneyAM I'm probably just going to buy $O this week but I'd be curious to see your picks,en,[],[],[],1,0,1,[],['o'],https://twitter.com/ladypieface/status/1355662313945227266,False,,0,,,,,,,,"[{'screen_name': 'MoMoneyAM', 'name': 'Mo Money 💸', 'id': '1283122861465456640'}]",,,,
1355661330800369665,1355648386662354952,2021-01-31 00:37:02 CET,2021-01-31,00:37:02,+0200,1260691461852585984,pharapos,Pedro Harapos,,@ElPitazoTV Una $oberana con$ulta popular a la $o$iedad Vene$olana.??? No $e..... Digo Yo.???  $$$$$$,es,[],[],[],0,0,0,[],"['o', 'e']",https://twitter.com/PHarapos/status/1355661330800369665,False,,0,,,,,,,,"[{'screen_name': 'ElPitazoTV', 'name': 'El Pitazo', 'id': '2828470096'}]",,,,
1355657737896529920,1355657737896529920,2021-01-31 00:22:46 CET,2021-01-31,00:22:46,+0200,1389217340,tweet_smurf,tweet_smurf,,$o $59.06,und,[],[],[],0,0,0,[],['o'],https://twitter.com/tweet_smurf/status/1355657737896529920,False,https://twitter.com/tweet_smurf/status/1344930973788487680,0,,,,,,,,[],,,,
1355652035656478722,1355652035656478722,2021-01-31 00:00:06 CET,2021-01-31,00:00:06,+0200,1209912306144034816,jwalkereklaw,JWRW 💸,,Naruto Shippuden Ramen 🍜  👟 $NKE Nike 📱 $AAPL Apple 📺 $ROKU Roku 📦 $UPS UPS 🚙 $TSLA Tesla 🏘 $O Realty Income  https://t.co/W03e2CyycT,und,[],[],['https://pbs.twimg.com/media/EtA-V5eXUAALa3k.jpg'],0,0,0,[],"['nke', 'aapl', 'roku', 'ups', 'tsla', 'o']",https://twitter.com/JWalkeReklaW/status/1355652035656478722,False,,1,https://pbs.twimg.com/media/EtA-V5eXUAALa3k.jpg,,,,,,,[],,,,
1355645997905571850,1355595078841094154,2021-01-30 23:36:07 CET,2021-01-30,23:36:07,+0200,1171613669517594624,jjt86725924,JTrippy,,"@DCDOWORK @petenajarian $O, $IIPR, &amp; $FRT",in,[],[],[],0,0,1,[],"['o', 'iipr', 'frt']",https://twitter.com/JJT86725924/status/1355645997905571850,False,,0,,,,,,,,"[{'screen_name': 'DCDOWORK', 'name': 'Dennis Coyle', 'id': '60407575'}, {'screen_name': 'petenajarian', 'name': 'Pete Najarian', 'id': '14292717'}]",,,,
1355635379081277442,1355635379081277442,2021-01-30 22:53:55 CET,2021-01-30,22:53:55,+0200,2454197521,kuncit0,ivan,,"Que $o$pecho$o que se vayan a penale$ no se me haría raro, en esos brazucas.",es,[],[],[],0,0,0,[],['o'],https://twitter.com/Kuncit0/status/1355635379081277442,False,https://twitter.com/2010MisterChip/status/1355630631401775104,0,,,,,,,,[],,,,
1355614854954983424,1355614854954983424,2021-01-30 21:32:22 CET,2021-01-30,21:32:22,+0200,1196304745603817472,stockmarkettile,Dissecting the Markets,,If you missed $NOK  You can always invest in NOK:  $NNN National Retail Properties $O Realty Income $K Kellogg’s   Inspired by @BusinessFamous,en,"[{'screen_name': 'businessfamous', 'name': '𝐁𝐮𝐬𝐢𝐧𝐞𝐬𝐬𝐅𝐚𝐦𝐨𝐮𝐬 📜💰 📈', 'id': '1244806396144738307'}]",[],[],1,1,12,[],"['nok', 'nnn', 'o', 'k']",https://twitter.com/stockmarkettile/status/1355614854954983424,False,,0,,,,,,,,[],,,,
1355614743940247556,1355593109040734211,2021-01-30 21:31:55 CET,2021-01-30,21:31:55,+0200,997645076737282048,elioamarilla1,elioamarilla,,@BlasLlanoPy Gran vendido lo que $o$ nde HC rymba jagua,es,[],[],[],0,4,24,[],['o'],https://twitter.com/elioamarilla1/status/1355614743940247556,False,,0,,,,,,,,"[{'screen_name': 'BlasLlanoPy', 'name': 'Blas Llano', 'id': '417523084'}]",,,,
1355608029425586176,1355575267822080006,2021-01-30 21:05:14 CET,2021-01-30,21:05:14,+0200,1302014219483709440,billyrayvalent5,Billy Ray Valentine 🍊,,@DividendGrowth @SJosephBurns $O and other REITS should be kept out of IRAs due to potential Unrelated Business Taxable Income (UBTI) due to taxation pass through. Same with MLPs,en,[],[],[],0,0,0,[],['o'],https://twitter.com/BillyRayValent5/status/1355608029425586176,False,,0,,,,,,,,"[{'screen_name': 'DividendGrowth', 'name': 'Dividend Growth Investor', 'id': '18589072'}, {'screen_name': 'SJosephBurns', 'name': 'Steve Burns', 'id': '203652149'}]",,,,
