id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355568036959420419,1355568036959420419,2021-01-30 18:26:19 CET,2021-01-30,18:26:19,+0200,2706322670,leijaatx,Tim,,Reckless 1yr Price Targets:  $PAYC $481.66 $DIT $129.16 $MSFT $287.08  I like the healthy pullback in the market this week.,en,[],[],[],0,0,1,[],"['payc', 'dit', 'msft']",https://twitter.com/LeijaATX/status/1355568036959420419,False,,0,,,,,,,,[],,,,
1355545209623482371,1355545209623482371,2021-01-30 16:55:37 CET,2021-01-30,16:55:37,+0200,1249143027806941184,smartstocks_,Smartstocks,,Paycom $PAYC buy the dip,en,[],[],[],0,1,0,[],['payc'],https://twitter.com/Smartstocks_/status/1355545209623482371,False,,0,,,,,,,,[],,,,
1355533032808194050,1355533032808194050,2021-01-30 16:07:14 CET,2021-01-30,16:07:14,+0200,237930369,alexisoomoz,Alexis Zoomo,,$TDG $Y $BIO $FCNCA $MKTX $NOW $ALGN $GHC $CHE $NVDA $FICO $ONEQ $ABDE $IDXX $ASML $REGN $LRCX $TMO $UHAL $ORLY $PAYC $RH $MSCI $AVGO $TYL $ROP $TFX $HUM $GWW $DJCO $NEU $BYDDF &amp; $SNDL  https://t.co/1wXMDaUoJZ retweet #retweet,ht,[],['https://stocktwits.com/symbol/SNDL'],[],0,0,0,['retweet'],"['tdg', 'y', 'bio', 'fcnca', 'mktx', 'now', 'algn', 'ghc', 'che', 'nvda', 'fico', 'oneq', 'abde', 'idxx', 'asml', 'regn', 'lrcx', 'tmo', 'uhal', 'orly', 'payc', 'rh', 'msci', 'avgo', 'tyl', 'rop', 'tfx', 'hum', 'gww', 'djco', 'neu', 'byddf', 'sndl']",https://twitter.com/Alexisoomoz/status/1355533032808194050,False,,0,,,,,,,,[],,,,
1355512607252258816,1355512607252258816,2021-01-30 14:46:04 CET,2021-01-30,14:46:04,+0200,1349323787238473730,dannhalc,Dann Halc,,🤮2021 YTD  🔻Sarepta Thx $SRPT      -48% 🔻Chindata $CD              -31% 🔻Irhythm Tech $IRTC      -29% 🔻Bridgebio $BBIO          -20% 🔻Las Vegas Sands $LVS -19% 🔻Cae Inc $CAE               -19% 🔻Global Payments $GPN -18% 🔻Paycom $PAYC            -16%,en,[],[],[],0,0,1,[],"['srpt', 'cd', 'irtc', 'bbio', 'lvs', 'cae', 'gpn', 'payc']",https://twitter.com/DannHalc/status/1355512607252258816,False,,0,,,,,,,,[],,,,
1355501356430340098,1355500284798251008,2021-01-30 14:01:22 CET,2021-01-30,14:01:22,+0200,857693619406467072,gualestrit,Gualestrit,,🤮2021 YTD  🔻Sarepta Thx $SRPT      -48% 🔻Chindata $CD              -31% 🔻Irhythm Tech $IRTC      -29% 🔻Bridgebio $BBIO          -20% 🔻Las Vegas Sands $LVS -19% 🔻Cae Inc $CAE               -19% 🔻Global Payments $GPN -18% 🔻Paycom $PAYC            -16%,en,[],[],[],1,7,19,[],"['srpt', 'cd', 'irtc', 'bbio', 'lvs', 'cae', 'gpn', 'payc']",https://twitter.com/gualestrit/status/1355501356430340098,False,,0,,,,,,,,[],,,,
1355499294741041155,1355499290672521218,2021-01-30 13:53:10 CET,2021-01-30,13:53:10,+0200,71185856,chipssaas,Chips & SaaS,,2/3  2/8 $BLKB $CDK $CHGG $NUAN $VRNS 2/9 $AKAM $AYX $CDAY $FISV $LYFT $MODN $RPD Pre-mkt $AVYA 2/10 $AVLR $EGAN $LUMN $PAYC $QLYS $SSNC $TLND $TYL $UBER $Z $ZG Pre-mkt $CRTO 2/11 $BL $DDOG $DIS $FROG $HUBS $JCOM $LLNW $NET $SPSC $TWOU Pre-mkt $CYBR $NSIT $ZBRA 2/16 $CSOD,en,[],[],[],1,0,3,[],"['blkb', 'cdk', 'chgg', 'nuan', 'vrns', 'akam', 'ayx', 'cday', 'fisv', 'lyft', 'modn', 'rpd', 'avya', 'avlr', 'egan', 'lumn', 'payc', 'qlys', 'ssnc', 'tlnd', 'tyl', 'uber', 'z', 'zg', 'crto', 'bl', 'ddog', 'dis', 'frog', 'hubs', 'jcom', 'llnw', 'net', 'spsc', 'twou', 'cybr', 'nsit', 'zbra', 'csod']",https://twitter.com/ChipsSaas/status/1355499294741041155,False,,0,,,,,,,,[],,,,
1355440479668629504,1355440479668629504,2021-01-30 09:59:27 CET,2021-01-30,09:59:27,+0200,374729426,tickeron,Tickeron,,$PAYC in Downtrend: Stochastic indicator remains in oversold zone for 10 days. View odds for this and other indicators:  https://t.co/tEQsFplCNb #PaycomSoftware #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/fZJC4zPrHK,en,[],['https://srnk.us/go/2497142'],['https://pbs.twimg.com/media/Es997vrVgAQkWFI.jpg'],0,0,0,"['paycomsoftware', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['payc'],https://twitter.com/Tickeron/status/1355440479668629504,False,,1,https://pbs.twimg.com/media/Es997vrVgAQkWFI.jpg,,,,,,,[],,,,
1355439716208943104,1355439716208943104,2021-01-30 09:56:25 CET,2021-01-30,09:56:25,+0200,1134049078424162304,newsfilterio,Investor News,,Form SC 13G/A (statement of acquisition of beneficial ownership by individuals) filed with the SEC $PAYC  https://t.co/ie3KKsaEtV,en,[],['https://newsfilter.io/articles/sc-13ga-form---amend-statement-of-acquisition-of-beneficial-ownership-by-individuals---paycom-softwa-febaa183f94639b6ab7738e7d0f150cb'],[],0,0,1,[],['payc'],https://twitter.com/newsfilterio/status/1355439716208943104,False,,0,,,,,,,,[],,,,
1355302731490197504,1355302731490197504,2021-01-30 00:52:06 CET,2021-01-30,00:52:06,+0200,2403576536,twits_anil,Anil,,Portfolio summary  YTD 9% versus SP 500 -1.1% A/C 3 yr CAGR 48%; 5 yr CAGR 28% Top positions: $PINS $TSLA $TTD $SE $MELI $FSLY $CRWD $TWLO $TMDX $NOW $APPN $ETSY $PAYC $MA $CRM $BNGO $MSFT $ADYEY $ZS $ADBE $AMZN $SQ $YALA $NVCR $NIO $LMND $RNG $VEEV $ROKU $AAPL,en,[],[],[],1,1,11,[],"['pins', 'tsla', 'ttd', 'se', 'meli', 'fsly', 'crwd', 'twlo', 'tmdx', 'now', 'appn', 'etsy', 'payc', 'ma', 'crm', 'bngo', 'msft', 'adyey', 'zs', 'adbe', 'amzn', 'sq', 'yala', 'nvcr', 'nio', 'lmnd', 'rng', 'veev', 'roku', 'aapl']",https://twitter.com/twits_anil/status/1355302731490197504,False,,0,,,,,,,,[],,,,
1355292981566304258,1355292981566304258,2021-01-30 00:13:21 CET,2021-01-30,00:13:21,+0200,1347683143424339970,stonks_memedar,Stonks Memedar 📡,,Tickers with the most bullish news sentiment for 2021-01-29 as of 18:10:02 EST  $CVX $UPS $GME $AMZN $SPCE $LUV $WMT $PAYC $U $TSLA $TEAM $WYNN $XOM $PLTR $OKTA $FB $AMC $SPLK  https://t.co/RDvDOayLTN,en,[],[],['https://pbs.twimg.com/media/Es73yABXcAU-bR9.jpg'],0,0,1,[],"['cvx', 'ups', 'gme', 'amzn', 'spce', 'luv', 'wmt', 'payc', 'u', 'tsla', 'team', 'wynn', 'xom', 'pltr', 'okta', 'fb', 'amc', 'splk']",https://twitter.com/stonks_memedar/status/1355292981566304258,False,,1,https://pbs.twimg.com/media/Es73yABXcAU-bR9.jpg,,,,,,,[],,,,
