id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355569132373233673,1355531710906179586,2021-01-30 18:30:41 CET,2021-01-30,18:30:41,+0200,1319581789690732544,almansa_if,Almansa,,@indepenrentista $PNW,und,[],[],[],0,0,2,[],['pnw'],https://twitter.com/almansa_IF/status/1355569132373233673,False,,0,,,,,,,,"[{'screen_name': 'indepenrentista', 'name': 'El Indepenrentista', 'id': '1264968130687905794'}]",,,,
1355423917205114883,1355423917205114883,2021-01-30 08:53:39 CET,2021-01-30,08:53:39,+0200,374729426,tickeron,Tickeron,,"$PNW in -2.62% Downtrend, sliding for three consecutive days on January 27, 2021. View odds for this and other indicators:  https://t.co/LhrZ5L1J2I #PinnacleWestCapital #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/fgmMDXEAZO",en,[],['https://srnk.us/go/2497036'],['https://pbs.twimg.com/media/Es9u3rMVoAEgq8b.png'],0,0,0,"['pinnaclewestcapital', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['pnw'],https://twitter.com/Tickeron/status/1355423917205114883,False,,1,https://pbs.twimg.com/media/Es9u3rMVoAEgq8b.png,,,,,,,[],,,,
1355040752103870467,1355040752103870467,2021-01-29 07:31:05 CET,2021-01-29,07:31:05,+0200,374729426,tickeron,Tickeron,,"$PNW in -2.62% Downtrend, sliding for three consecutive days on January 27, 2021. View odds for this and other indicators:  https://t.co/VKPaWmUYvf #PinnacleWestCapital #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/AxOxzijMYi",en,[],['https://srnk.us/go/2494558'],['https://pbs.twimg.com/media/Es4SYhzUYAMaIdK.png'],0,0,0,"['pinnaclewestcapital', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['pnw'],https://twitter.com/Tickeron/status/1355040752103870467,False,,1,https://pbs.twimg.com/media/Es4SYhzUYAMaIdK.png,,,,,,,[],,,,
1354915353596473344,1354915353596473344,2021-01-28 23:12:48 CET,2021-01-28,23:12:48,+0200,716737614771044352,optioncharts,max pain,,$PNW Implied Volatility expiration 02/19/2021 #maxpain #options  https://t.co/SHN5stU9fx  https://t.co/I9lBpkTmyQ,en,[],['http://maximum-pain.com/iv/PNW?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/Es2gVZLXEAA8faG.jpg'],0,0,0,"['maxpain', 'options']",['pnw'],https://twitter.com/optioncharts/status/1354915353596473344,False,,1,https://pbs.twimg.com/media/Es2gVZLXEAA8faG.jpg,,,,,,,[],,,,
1354834475620904964,1354834475620904964,2021-01-28 17:51:25 CET,2021-01-28,17:51:25,+0200,2422703600,swingtradebot,SwingTradeBot,,Rose Above Previous Day's High today: $SDPI $FHLC $FXU $BXP $PNW $UBA $MEDS $TSQ $TOPS $FANH $LOKB $MITK $SLF $REAL $GSAT $IMH $ECC $TTD $INBK $HWBK ...  https://t.co/TBYRpvrFqi,en,[],['https://swingtradebot.com/alerts/42-rose-above-previous-day-s-high'],[],0,0,0,[],"['sdpi', 'fhlc', 'fxu', 'bxp', 'pnw', 'uba', 'meds', 'tsq', 'tops', 'fanh', 'lokb', 'mitk', 'slf', 'real', 'gsat', 'imh', 'ecc', 'ttd', 'inbk', 'hwbk']",https://twitter.com/SwingTradeBot/status/1354834475620904964,False,,0,,,,,,,,[],,,,
1354795196609933319,1354795196609933319,2021-01-28 15:15:20 CET,2021-01-28,15:15:20,+0200,727519600787750913,marketchmln,Chameleon 🦎,,$PNW Goes ex div tomorrow for $0.83. It has increased its div 3 times in 3 years. Annual Yld is 4.4%  https://t.co/2Rvee38jSU,en,[],['https://marketchameleon.com/Overview/PNW/Dividends/'],[],0,0,0,[],['pnw'],https://twitter.com/MarketChmln/status/1354795196609933319,False,,0,,,,,,,,[],,,,
1354769956831850500,1354769956831850500,2021-01-28 13:35:02 CET,2021-01-28,13:35:02,+0200,1256266882019135489,jmans1111,Jeffrey Manson,,#Shortsetup $PNW #Entry can be at the #breakout $66.01 or wait for #pullback to the #zone posted on the chart. (ALLWAYS MANAGE YOUR RISK PER YOUR TRADE PLAN)  https://t.co/YF3zo5sumB,en,[],[],['https://pbs.twimg.com/media/Es0cCYAVoAIfk12.jpg'],0,0,5,"['shortsetup', 'entry', 'breakout', 'pullback', 'zone']",['pnw'],https://twitter.com/jmans1111/status/1354769956831850500,False,,1,https://pbs.twimg.com/media/Es0cCYAVoAIfk12.jpg,,,,,,,[],,,,
1354536839294537731,1354536839294537731,2021-01-27 22:08:43 CET,2021-01-27,22:08:43,+0200,822135280979230720,yieldboost,Yield Boost,,added to $VZ and $PNW at closing,en,[],[],[],0,0,0,[],"['vz', 'pnw']",https://twitter.com/yieldboost/status/1354536839294537731,False,,0,,,,,,,,[],,,,
1354499300324220929,1354499300324220929,2021-01-27 19:39:33 CET,2021-01-27,19:39:33,+0200,18948706,cyberwar,cyberwar,, https://t.co/7oQBZC8ul3 $ZS $CRWD $SAIL $OKTA $TENB $ABST $RPD $PNW $QYLS $FEYE $FTNT $ZIXI $CHKP $CYBR $PFPT $MIME $TUFN $CYRN,de,[],['https://thansyn.com/2020-was-a-very-good-year-for-cybersecurity/'],[],0,3,6,[],"['zs', 'crwd', 'sail', 'okta', 'tenb', 'abst', 'rpd', 'pnw', 'qyls', 'feye', 'ftnt', 'zixi', 'chkp', 'cybr', 'pfpt', 'mime', 'tufn', 'cyrn']",https://twitter.com/cyberwar/status/1354499300324220929,False,,0,,,,,,,,[],,,,
1354457662151389188,1354457662151389188,2021-01-27 16:54:05 CET,2021-01-27,16:54:05,+0200,1319581789690732544,almansa_if,Almansa,,"Amplio $PNW a 75,60 $",ht,[],[],[],0,0,1,[],['pnw'],https://twitter.com/almansa_IF/status/1354457662151389188,False,,0,,,,,,,,[],,,,
