id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355617342244454405,1355617342244454405,2021-01-30 21:42:15 CET,2021-01-30,21:42:15,+0200,1335932966778908672,bolsacon50,Bolsacon50,,"Ayer entré en $PPL Apuntaros esta dividendera $1,66 anual, con cerca del 6% de rentabilidad 💪💪💪",es,[],[],[],0,0,0,[],['ppl'],https://twitter.com/bolsacon50/status/1355617342244454405,False,https://twitter.com/Focus_on_Dvds/status/1355611753816719362,0,,,,,,,,[],,,,
1355611753816719362,1355611753816719362,2021-01-30 21:20:02 CET,2021-01-30,21:20:02,+0200,323138766,focus_on_dvds,Focus on Dividends,,PPL Stock Has Paid Quarterly #Dividends for 300 Consecutive Quarters $PPL  https://t.co/Nj0PN9AJIk #investing  https://t.co/yGgY09dDsB,en,[],['https://buff.ly/3bZJQ6e'],['https://pbs.twimg.com/media/EtAZtN4XEAwqo1f.png'],0,0,2,"['dividends', 'investing']",['ppl'],https://twitter.com/Focus_on_Dvds/status/1355611753816719362,False,,1,https://pbs.twimg.com/media/EtAZtN4XEAwqo1f.png,,,,,,,[],,,,
1355574960039849986,1355574960039849986,2021-01-30 18:53:50 CET,2021-01-30,18:53:50,+0200,1335932966778908672,bolsacon50,Bolsacon50,,$PRCH $DMTK $PINS $APTS $MO $PEP $PPL $HII,in,[],[],[],0,0,1,[],"['prch', 'dmtk', 'pins', 'apts', 'mo', 'pep', 'ppl', 'hii']",https://twitter.com/bolsacon50/status/1355574960039849986,False,https://twitter.com/indepenrentista/status/1355531710906179586,0,,,,,,,,[],,,,
1355550924928921613,1355546233809625090,2021-01-30 17:18:20 CET,2021-01-30,17:18:20,+0200,1271146197022015488,intinvestlong,المستثمر العالمي,,@alsabban1982 أعتقد $PPL يا دكتور  لو صح انتبه لأن السهم غير متطابق مع الشريعة، مكبل بالديون,ar,[],[],[],0,0,0,[],['ppl'],https://twitter.com/IntInvestLong/status/1355550924928921613,False,,0,,,,,,,,"[{'screen_name': 'alsabban1982', 'name': 'Ahmad Alsabban | أحمد الصبان', 'id': '76725916'}]",,,,
1355550687506149379,1355546233809625090,2021-01-30 17:17:23 CET,2021-01-30,17:17:23,+0200,76725916,alsabban1982,Ahmad Alsabban | أحمد الصبان,,صح ! 🥳🥳 $PPL  عيبها الوحيد ان مركزها المالي غير جيد مثل باقي قطاعها لكن بالنسبة لي تستاهل مغامرة صغيرة معها 200 - 300 سهم  https://t.co/zlbuii67au,ar,[],[],['https://pbs.twimg.com/media/Es_iKmkXcAAa4t6.jpg'],2,3,67,[],['ppl'],https://twitter.com/alsabban1982/status/1355550687506149379,False,,1,https://pbs.twimg.com/media/Es_iKmkXcAAa4t6.jpg,,,,,,,[],,,,
1355503550999179269,1355503550999179269,2021-01-30 14:10:05 CET,2021-01-30,14:10:05,+0200,1335932966778908672,bolsacon50,Bolsacon50,,Semana complicada. No todo es subir y subir. Me saltaron SL en $DM $NIO sin pérdidas y cerré $JMIA con +33% y amplié en estas bajadas en $DMTK $PINS $APTS $MO y entré nuevo en $PPL $PEP y $HII. En cartera growth de confianza 100% no hay SL. En cartera div. supero 2000$/año 💪💪,es,[],[],[],0,0,0,[],"['dm', 'nio', 'jmia', 'dmtk', 'pins', 'apts', 'mo', 'ppl', 'pep', 'hii']",https://twitter.com/bolsacon50/status/1355503550999179269,False,,0,,,,,,,,[],,,,
1355491711246602244,1355491711246602244,2021-01-30 13:23:02 CET,2021-01-30,13:23:02,+0200,323138766,focus_on_dvds,Focus on Dividends,,PPL Stock Has Paid Quarterly Dividends for 300 Consecutive Quarters $PPL  https://t.co/Nj0PN9AJIk #investing  https://t.co/9M77W05FHq,en,[],['https://buff.ly/3bZJQ6e'],['https://pbs.twimg.com/media/Es-sh0zXIAIXwFk.png'],0,1,0,['investing'],['ppl'],https://twitter.com/Focus_on_Dvds/status/1355491711246602244,False,,1,https://pbs.twimg.com/media/Es-sh0zXIAIXwFk.png,,,,,,,[],,,,
1355402866131783682,1355402866131783682,2021-01-30 07:30:00 CET,2021-01-30,07:30:00,+0200,1355197425456037891,investingol,林檎@資産運用,,高配当株も興味あり $AT&amp;T $PPL $JT,ja,[],[],[],0,0,2,[],"['at', 'ppl', 'jt']",https://twitter.com/investingol/status/1355402866131783682,False,,0,,,,,,,,[],,,,
1355373434855976966,1355373434855976966,2021-01-30 05:33:03 CET,2021-01-30,05:33:03,+0200,323138766,focus_on_dvds,Focus on Dividends,,PPL Stock Has Paid Quarterly #Dividends for 300 Consecutive Quarters $PPL  https://t.co/Nj0PN9AJIk #investing  https://t.co/mcibmddIBC,en,[],['https://buff.ly/3bZJQ6e'],['https://pbs.twimg.com/media/Es9A9O4XUAEJqHE.png'],0,0,0,"['dividends', 'investing']",['ppl'],https://twitter.com/Focus_on_Dvds/status/1355373434855976966,False,,1,https://pbs.twimg.com/media/Es9A9O4XUAEJqHE.png,,,,,,,[],,,,
1355339402956787714,1355339402956787714,2021-01-30 03:17:49 CET,2021-01-30,03:17:49,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$VERB CEO To Verify Merger Discussions With Fortune 500 Company As Early As Next Week  https://t.co/Mv3xmUJu9A  $NYCB $PPL $MON $MOMO $HRL $MDT $AMRN $DG $MNKD $NOV,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],1,0,1,[],"['verb', 'nycb', 'ppl', 'mon', 'momo', 'hrl', 'mdt', 'amrn', 'dg', 'mnkd', 'nov']",https://twitter.com/askwarrenbuffet/status/1355339402956787714,False,,0,,,,,,,,[],,,,
