id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355481006497624066,1355481006497624066,2021-01-30 12:40:30 CET,2021-01-30,12:40:30,+0200,374729426,tickeron,Tickeron,,"$PVH in -11.21% Downtrend, falling for three consecutive days on January 27, 2021. View odds for this and other indicators:  https://t.co/nbAde9kKSc #PVH #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/zvEHhRx3sA",en,[],['https://srnk.us/go/2497419'],['https://pbs.twimg.com/media/Es-iytgUUAML5Lu.png'],0,0,0,"['pvh', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['pvh'],https://twitter.com/Tickeron/status/1355481006497624066,False,,1,https://pbs.twimg.com/media/Es-iytgUUAML5Lu.png,,,,,,,[],,,,
1355475286318608384,1355475286318608384,2021-01-30 12:17:46 CET,2021-01-30,12:17:46,+0200,39546678,mediasentiment,Media Sentiment®,,$PVH  new alert at  https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 107,en,[],['http://www.aheadsup.com/twitter/newsentiment.html?user=usequities'],[],0,0,0,"['stocks', 'daytrading', 'nyse', 'nasdaq', 'market']",['pvh'],https://twitter.com/mediasentiment/status/1355475286318608384,False,,0,,,,,,,,[],,,,
1355474032242651137,1355474032242651137,2021-01-30 12:12:47 CET,2021-01-30,12:12:47,+0200,849417718642159616,themarketsdaily,The Markets Daily,,Citigroup Raises PVH $PVH Price Target to $105.00  https://t.co/vZtpWHongN,en,[],['http://zpr.io/Rn38a'],[],0,0,0,[],['pvh'],https://twitter.com/TheMarketsDaily/status/1355474032242651137,False,,0,,,,,,,,[],,,,
1355347416321576961,1355347416321576961,2021-01-30 03:49:39 CET,2021-01-30,03:49:39,+0200,2356524462,allstocknews,$Stocknewsalerts,,$PVH New Form SC 13G/A for PVH Corp From our Stock News Alerts App,en,[],[],[],0,0,0,[],['pvh'],https://twitter.com/Allstocknews/status/1355347416321576961,False,,0,,,,,,,,[],,,,
1355251904692023296,1355251904692023296,2021-01-29 21:30:08 CET,2021-01-29,21:30:08,+0200,28093810,clay1016,Clay Eltzroth,,"Interesting chart here looking at how many times ""jeans"" is mentioned versus ""relaxed"" on conference calls. Perhaps @LEVIS could have seen the move to more relaxed clothes coming. via @TheTerminal  $AEO $PVH $LEVI $ANF $VFC  https://t.co/plgy2u05QK",en,"[{'screen_name': 'levis', 'name': ""levi's®"", 'id': '203144854'}, {'screen_name': 'theterminal', 'name': 'bloomberg terminal', 'id': '3236381990'}]",[],['https://pbs.twimg.com/media/Es7RIZ7XIAIpNSz.png'],0,0,5,[],"['aeo', 'pvh', 'levi', 'anf', 'vfc']",https://twitter.com/Clay1016/status/1355251904692023296,False,,1,https://pbs.twimg.com/media/Es7RIZ7XIAIpNSz.png,,,,,,,[],,,,
1355218412516085768,1355218412516085768,2021-01-29 19:17:02 CET,2021-01-29,19:17:02,+0200,121370906,chartmill,ChartMill,,$PVH has an average volume of 1068540. This is a good sign as it is always nice to have a liquid stock.  https://t.co/oL2QIjfctJ  https://t.co/ZirbNWFXV9,en,[],['https://www.chartmill.com/stock/analyzer/stock/PVH?key=6041c1ad-8c67-4c45-8ff8-193891b35d44&utm_source=twitterUS&utm_medium=TA&utm_content=PVH&utm_campaign=social_tracking'],['https://pbs.twimg.com/media/Es6z9wLXABM0ll9.png'],0,0,0,[],['pvh'],https://twitter.com/ChartMill/status/1355218412516085768,False,,1,https://pbs.twimg.com/media/Es6z9wLXABM0ll9.png,,,,,,,[],,,,
1355146034561822722,1355146034561822722,2021-01-29 14:29:26 CET,2021-01-29,14:29:26,+0200,2356524462,allstocknews,$Stocknewsalerts,,$PVH New Form SC 13G/A for PVH Corp From our Stock News Alerts App,en,[],[],[],0,0,0,[],['pvh'],https://twitter.com/Allstocknews/status/1355146034561822722,False,,0,,,,,,,,[],,,,
1355054151768567809,1355054151768567809,2021-01-29 08:24:20 CET,2021-01-29,08:24:20,+0200,374729426,tickeron,Tickeron,,"$PVH in -11.21% Downtrend, falling for three consecutive days on January 27, 2021. View odds for this and other indicators:  https://t.co/BqAk4C1Vbv #PVH #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/N3H4zDFPRw",en,[],['https://srnk.us/go/2494645'],['https://pbs.twimg.com/media/Es4ekezVcAUbaZw.png'],0,0,0,"['pvh', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['pvh'],https://twitter.com/Tickeron/status/1355054151768567809,False,,1,https://pbs.twimg.com/media/Es4ekezVcAUbaZw.png,,,,,,,[],,,,
1354857518384734215,1354857518384734215,2021-01-28 19:22:59 CET,2021-01-28,19:22:59,+0200,2422703600,swingtradebot,SwingTradeBot,,Rose Above Previous Day's High today: $NTB $PVH $LEND $GPP $BRZU $NHTC $EFL $TCBI $XMVM $MDB $IR $EHT $MHK $FLIC $BRKS $IFGL $VEA $AIMC $CNP $ALLY ...  https://t.co/TBYRpvrFqi,en,[],['https://swingtradebot.com/alerts/42-rose-above-previous-day-s-high'],[],0,0,0,[],"['ntb', 'pvh', 'lend', 'gpp', 'brzu', 'nhtc', 'efl', 'tcbi', 'xmvm', 'mdb', 'ir', 'eht', 'mhk', 'flic', 'brks', 'ifgl', 'vea', 'aimc', 'cnp', 'ally']",https://twitter.com/SwingTradeBot/status/1354857518384734215,False,,0,,,,,,,,[],,,,
1354835384748945415,1354835384748945415,2021-01-28 17:55:02 CET,2021-01-28,17:55:02,+0200,2812632288,investingstockz,Investing.com Stocks,,"#Pvh, $PVH, is up 5.2% -  https://t.co/ndRkJntLML",nl,[],['https://invst.ly/7183a'],[],0,0,0,['pvh'],['pvh'],https://twitter.com/InvestingStockz/status/1354835384748945415,False,,0,,,,,,,,[],,,,
1354833680041209860,1354833680041209860,2021-01-28 17:48:15 CET,2021-01-28,17:48:15,+0200,1233901069366771712,invesbrain,invesBrain,,".@LEVIS Shares Sink 9% As 1Q Guidance Disappoints😮  Levi Strauss $LEVI expects Q1 adjusted #EPS to be in the range of $0.20 to $0.24, lagging the Street consensus of $0.33/share.  $GPS $VFC $PVH $HNNMY #StocksInNews #retail   https://t.co/zz7U3X9tvg",en,"[{'screen_name': 'levis', 'name': ""levi's®"", 'id': '203144854'}]",['https://bit.ly/3iV3GB4'],[],0,0,1,"['eps', 'stocksinnews', 'retail']","['levi', 'gps', 'vfc', 'pvh', 'hnnmy']",https://twitter.com/invesBrain/status/1354833680041209860,False,,0,,,,,,,,[],,,,
1354796122091433984,1354796122091433984,2021-01-28 15:19:01 CET,2021-01-28,15:19:01,+0200,2365945074,madkrs04,"Raj Springer, MBA",,The #greater #fool will be left #holding the #bag &amp; is #usually the #last #one #turning the #lights #out after everyone has to #left the #party. $V $AAL $VIR $CAJ $TR $PLTR $FUBO $BA $SPCE $TRV $APPN $FLGT $AXP $DIS $MSFT $JPM $JNJ $NOW $NKE $NOW $CAT $CCL $UAL $PVH $HD $HON $MCD  https://t.co/gH6pn1h5AZ,en,[],[],"['https://pbs.twimg.com/media/Es0z5FFXUAMW3yP.jpg', 'https://pbs.twimg.com/media/Es0z5FGXUAQx2nu.jpg', 'https://pbs.twimg.com/media/Es0z5FFXAAIdab5.jpg', 'https://pbs.twimg.com/media/Es0z5FLW8AYw7Hr.jpg']",0,0,0,"['greater', 'fool', 'holding', 'bag', 'usually', 'last', 'one', 'turning', 'lights', 'out', 'left', 'party']","['v', 'aal', 'vir', 'caj', 'tr', 'pltr', 'fubo', 'ba', 'spce', 'trv', 'appn', 'flgt', 'axp', 'dis', 'msft', 'jpm', 'jnj', 'now', 'nke', 'now', 'cat', 'ccl', 'ual', 'pvh', 'hd', 'hon', 'mcd']",https://twitter.com/Madkrs04/status/1354796122091433984,False,,1,https://pbs.twimg.com/media/Es0z5FFXUAMW3yP.jpg,,,,,,,[],,,,
1354771680237932544,1354771680237932544,2021-01-28 13:41:53 CET,2021-01-28,13:41:53,+0200,716737614771044352,optioncharts,max pain,,$PVH Max Pain is 95.00 for maturity 02/19/2021. #maxpain #options  https://t.co/tKCOWWc7tZ  https://t.co/LojUzQOsIB,en,[],['http://maximum-pain.com/options/PVH?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/Es0dqhHW8AEpHRr.jpg'],0,0,0,"['maxpain', 'options']",['pvh'],https://twitter.com/optioncharts/status/1354771680237932544,False,,1,https://pbs.twimg.com/media/Es0dqhHW8AEpHRr.jpg,,,,,,,[],,,,
1354658267612336134,1354658267612336134,2021-01-28 06:11:13 CET,2021-01-28,06:11:13,+0200,72185690,15minofpham,Tuan Pham,,"Wed (1/27/21) gap down highest % below the opening 30-min low &amp; trading range &lt; 20%: (Min $5, Vol 750K, Opt Vol in any strike 500): $MBI $EAT $DM $STPK $PEIX $SNPR $MAXR $PVH $CZR $LGVW $PRPL $ADSK $CX $RXN $AES $IR $SLQT $FTEK $HAL $THBR $DAN $ABBV $APTV $KKR  https://t.co/sAa5gumAl0",en,[],[],['https://pbs.twimg.com/media/Esy1xVxVoAEfw5P.png'],0,0,1,[],"['mbi', 'eat', 'dm', 'stpk', 'peix', 'snpr', 'maxr', 'pvh', 'czr', 'lgvw', 'prpl', 'adsk', 'cx', 'rxn', 'aes', 'ir', 'slqt', 'ftek', 'hal', 'thbr', 'dan', 'abbv', 'aptv', 'kkr']",https://twitter.com/15minofPham/status/1354658267612336134,False,,1,https://pbs.twimg.com/media/Esy1xVxVoAEfw5P.png,,,,,,,[],,,,
1354540866459693057,1354540866459693057,2021-01-27 22:24:43 CET,2021-01-27,22:24:43,+0200,1134498805133524992,barmstrong_tda,Barbara Armstrong,,A sea red today with over 85% of stocks on the S&amp;P500 down today. Index down 2.57% today.  Those 'green on the screen' led by:  $AAL $CPB $IRM $DISCA $STX $VIAC $KR $FTI $HPE $JNPR Top Laggards: $MCHP $XLNX $TXT $ANTM $SIVB $LB $GAP $PVH $VF  https://t.co/Rl7iFlFgFe,en,[],[],['https://pbs.twimg.com/media/EsxLo-9UUAAZnIm.jpg'],1,0,5,[],"['aal', 'cpb', 'irm', 'disca', 'stx', 'viac', 'kr', 'fti', 'hpe', 'jnpr', 'mchp', 'xlnx', 'txt', 'antm', 'sivb', 'lb', 'gap', 'pvh', 'vf']",https://twitter.com/BArmstrong_TDA/status/1354540866459693057,False,,1,https://pbs.twimg.com/media/EsxLo-9UUAAZnIm.jpg,,,,,,,[],,,,
1354535320616906754,1354535320616906754,2021-01-27 22:02:41 CET,2021-01-27,22:02:41,+0200,19246382,tradelightspeed,Lightspeed,,"Call/Put Highest % Volume Changes: Calls: $KDP, $PBF, $MIK, $DS, $ERIC  Puts: $EXPR, $GIX, $XRT, $PVH, $GNUS",en,[],[],[],0,0,0,[],"['kdp', 'pbf', 'mik', 'ds', 'eric', 'expr', 'gix', 'xrt', 'pvh', 'gnus']",https://twitter.com/TradeLightspeed/status/1354535320616906754,False,,0,,,,,,,,[],,,,
1354489092004671488,1354489088519270401,2021-01-27 18:58:59 CET,2021-01-27,18:58:59,+0200,3222699058,__tm3k,%Bot,,$NKE - $132.37 Oversold $ORLY - $433.1 Oversold $PH - $253.89 Oversold $PGR - $88.64 Oversold $PVH - $86.11 Oversold $RSG - $91.22 Oversold $ROL - $34.61 Oversold $RCL - $67.06 Oversold $SBUX - $97.28 Oversold $SYK - $233.16 Oversold $TMUS - $125.03 Oversold,da,[],[],[],1,0,0,[],"['nke', 'orly', 'ph', 'pgr', 'pvh', 'rsg', 'rol', 'rcl', 'sbux', 'syk', 'tmus']",https://twitter.com/__tm3k/status/1354489092004671488,False,,0,,,,,,,,[],,,,
1354487114965123072,1354487114965123072,2021-01-27 18:51:08 CET,2021-01-27,18:51:08,+0200,61661638,americanbanking,US Banking News,,PVH $PVH Price Target Raised to $105.00 at Citigroup  https://t.co/yfX51vBzvy #stocks,en,[],['http://americanbankingnews.com/?p=18144197'],[],0,0,0,['stocks'],['pvh'],https://twitter.com/AmericanBanking/status/1354487114965123072,False,,0,,,,,,,,[],,,,
1354445522430545926,1354445522430545926,2021-01-27 16:05:51 CET,2021-01-27,16:05:51,+0200,2812632288,investingstockz,Investing.com Stocks,,"#Pvh, $PVH, is down 5.2% -  https://t.co/ndRkJntLML",nl,[],['https://invst.ly/7183a'],[],0,0,1,['pvh'],['pvh'],https://twitter.com/InvestingStockz/status/1354445522430545926,False,,0,,,,,,,,[],,,,
1354432812439506945,1354432812439506945,2021-01-27 15:15:21 CET,2021-01-27,15:15:21,+0200,3289917664,stockmonitorapp,Stock Monitor,,Heads up! $PGR $PVH $HON price is approaching 30 day low. Will it hold?  https://t.co/pERL03IHWu #stocks  https://t.co/U1DnagzBtZ,en,[],"['https://www.stockmonitor.com/filters/?filter=10000200&symbols=PGR,PVH,HON&uid=sp']",['https://pbs.twimg.com/media/EsvpdxAW4AA3nGb.png'],0,0,0,['stocks'],"['pgr', 'pvh', 'hon']",https://twitter.com/stockmonitorapp/status/1354432812439506945,False,,1,https://pbs.twimg.com/media/EsvpdxAW4AA3nGb.png,,,,,,,[],,,,
1354385207617585152,1354385207617585152,2021-01-27 12:06:11 CET,2021-01-27,12:06:11,+0200,3646985662,sbwcws,Shifting Wealth,,PVH Corp. price target raised to $105 from $92 at Citi $PVH,en,[],[],[],0,0,0,[],['pvh'],https://twitter.com/sbwcws/status/1354385207617585152,False,,0,,,,,,,,[],,,,
1354331754669203457,1354331754669203457,2021-01-27 08:33:47 CET,2021-01-27,08:33:47,+0200,39546678,mediasentiment,Media Sentiment®,,$PVH  new alert at  https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 25,en,[],['http://www.aheadsup.com/twitter/newsentiment.html?user=usequities'],[],0,0,0,"['stocks', 'daytrading', 'nyse', 'nasdaq', 'market']",['pvh'],https://twitter.com/mediasentiment/status/1354331754669203457,False,,0,,,,,,,,[],,,,
1354330848904925186,1354330848904925186,2021-01-27 08:30:11 CET,2021-01-27,08:30:11,+0200,374729426,tickeron,Tickeron,,"$PVH in Downtrend: its price expected to drop as it breaks its higher Bollinger Band on January 6, 2021. View odds for this and other indicators:  https://t.co/Q1slDbF6nw #PVH #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/U4rDe2k7yS",en,[],['https://srnk.us/go/2489985'],['https://pbs.twimg.com/media/EsuMuuSVEAE0cz7.jpg'],0,0,0,"['pvh', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['pvh'],https://twitter.com/Tickeron/status/1354330848904925186,False,,1,https://pbs.twimg.com/media/EsuMuuSVEAE0cz7.jpg,,,,,,,[],,,,
1354316172468969472,1354316172468969472,2021-01-27 07:31:52 CET,2021-01-27,07:31:52,+0200,72185690,15minofpham,Tuan Pham,,"Tues (1/26/21) X Below 20-Day price channel with greatest % below the opening 30-min low &amp; trading range &lt; 20% (Min $5, Vol 750K, Opt Vol in any strike 500): $OCUL $PAGS $BILL $PVH $HAL $UNP $ESI $IR $AA $PLAN $HST $SBSW $LMT $LULU  https://t.co/C8dtjVYoPg",en,[],[],['https://pbs.twimg.com/media/Est_GV4VcAId9W7.png'],0,0,0,[],"['ocul', 'pags', 'bill', 'pvh', 'hal', 'unp', 'esi', 'ir', 'aa', 'plan', 'hst', 'sbsw', 'lmt', 'lulu']",https://twitter.com/15minofPham/status/1354316172468969472,False,,1,https://pbs.twimg.com/media/Est_GV4VcAId9W7.png,,,,,,,[],,,,
1354280579471200258,1354280579471200258,2021-01-27 05:10:26 CET,2021-01-27,05:10:26,+0200,895929863521095680,tradeflags,TradeFlags,,"TD BUY $PVH at 91.52, Supp 91.52 Resis 108.79 R19  HiLo 78% T1Y 102 buy 2.4 fwdPE 14.0 DIV N/A #PVH Corp. #stocks #trading #finance #market  https://t.co/Pes2sgznk2  https://t.co/ug34iRcpm9",en,[],['https://tinyurl.com/y2kq5gxv'],['https://pbs.twimg.com/media/EstfAoYXAAMqHkE.png'],0,0,0,"['pvh', 'stocks', 'trading', 'finance', 'market']",['pvh'],https://twitter.com/TradeFlags/status/1354280579471200258,False,,1,https://pbs.twimg.com/media/EstfAoYXAAMqHkE.png,,,,,,,[],,,,
1354179947661815811,1354179947661815811,2021-01-26 22:30:33 CET,2021-01-26,22:30:33,+0200,1204967326543699968,stocksoftheday1,stocksoftheday,,$PVH PVH Corp is falling fast! It's down -4.53% today!,en,[],[],[],0,0,0,[],['pvh'],https://twitter.com/stocksoftheday1/status/1354179947661815811,False,,0,,,,,,,,[],,,,
1354115940523401216,1354115940523401216,2021-01-26 18:16:13 CET,2021-01-26,18:16:13,+0200,2422703600,swingtradebot,SwingTradeBot,,50 DMA Support today: $EWW $GLOB $FUNC $PVH ...  https://t.co/aW7zteKP9U,en,[],['https://swingtradebot.com/alerts/35-50-dma-support'],[],0,0,0,[],"['eww', 'glob', 'func', 'pvh']",https://twitter.com/SwingTradeBot/status/1354115940523401216,False,,0,,,,,,,,[],,,,
1354094305590210560,1354094305590210560,2021-01-26 16:50:14 CET,2021-01-26,16:50:14,+0200,4584354895,mitickwatcher,TickWatcher,,"Today Top Flow in #consumer discretionary sector, Buy Flow &amp; Sell Flow $GME $GM $NFLX $BWA $CCL $EXPE $DHI $YUM $OMC $PVH $AMZN $BBBY $HD $F $ORLY $FOXA $CMCSA $DIS $WHR $VFX #stock #stocks #StockMarket #Investment #investing #consumers  https://t.co/Gr3YvQQ4OY  https://t.co/YfDXuqWDfE",en,[],['https://apple.co/2XZuTYw'],"['https://pbs.twimg.com/media/Esq1lwJVcAQ1o8b.jpg', 'https://pbs.twimg.com/media/Esq1l23U4AAVzKy.jpg', 'https://pbs.twimg.com/media/Esq1l_LUYAAhflP.jpg', 'https://pbs.twimg.com/media/Esq1mENUYAAMvoe.jpg']",1,0,0,"['consumer', 'stock', 'stocks', 'stockmarket', 'investment', 'investing', 'consumers']","['gme', 'gm', 'nflx', 'bwa', 'ccl', 'expe', 'dhi', 'yum', 'omc', 'pvh', 'amzn', 'bbby', 'hd', 'f', 'orly', 'foxa', 'cmcsa', 'dis', 'whr', 'vfx']",https://twitter.com/MITickWatcher/status/1354094305590210560,False,,1,https://pbs.twimg.com/media/Esq1lwJVcAQ1o8b.jpg,,,,,,,[],,,,
1354094170168692737,1354094170168692737,2021-01-26 16:49:42 CET,2021-01-26,16:49:42,+0200,4584354895,mitickwatcher,TickWatcher,,"Today Top Flow in #consumer discretionary sector, Buy Flow &amp; Sell Flow $GME $GM $NFLX $BWA $CCL $EXPE $DHI $YUM $OMC $PVH $AMZN $BBBY $HD $F $ORLY $FOXA $CMCSA $DIS $WHR $VFX #stock #stocks #StockMarket #Investment #investing #consumers  https://t.co/Gr3YvQQ4OY  https://t.co/MTNCybAyPx",en,[],['https://apple.co/2XZuTYw'],"['https://pbs.twimg.com/media/Esq1d1pUYAERWfF.jpg', 'https://pbs.twimg.com/media/Esq1d9IVkAAFVbA.jpg', 'https://pbs.twimg.com/media/Esq1eExUcAUZJ6p.jpg', 'https://pbs.twimg.com/media/Esq1eLGVoAgbp3t.jpg']",0,0,0,"['consumer', 'stock', 'stocks', 'stockmarket', 'investment', 'investing', 'consumers']","['gme', 'gm', 'nflx', 'bwa', 'ccl', 'expe', 'dhi', 'yum', 'omc', 'pvh', 'amzn', 'bbby', 'hd', 'f', 'orly', 'foxa', 'cmcsa', 'dis', 'whr', 'vfx']",https://twitter.com/MITickWatcher/status/1354094170168692737,False,,1,https://pbs.twimg.com/media/Esq1d1pUYAERWfF.jpg,,,,,,,[],,,,
1354094159188029440,1354094159188029440,2021-01-26 16:49:40 CET,2021-01-26,16:49:40,+0200,706269135404081152,optionsprovol,OptionsPro Volume,,"Today Top Flow in #consumer discretionary sector, Buy Flow &amp; Sell Flow $GME $GM $NFLX $BWA $CCL $EXPE $DHI $YUM $OMC $PVH $AMZN $BBBY $HD $F $ORLY $FOXA $CMCSA $DIS $WHR $VFX #stock #stocks #StockMarket #Investment #investing #consumers  https://t.co/I8hjTlEqg3  https://t.co/JJqwte9axe",en,[],['https://apple.co/2XZuTYw'],"['https://pbs.twimg.com/media/Esq1dL9VcAAUA9F.jpg', 'https://pbs.twimg.com/media/Esq1dTAUwAElMkr.jpg', 'https://pbs.twimg.com/media/Esq1daTVoAAPEdH.jpg', 'https://pbs.twimg.com/media/Esq1djsVcAAHMUN.jpg']",0,0,0,"['consumer', 'stock', 'stocks', 'stockmarket', 'investment', 'investing', 'consumers']","['gme', 'gm', 'nflx', 'bwa', 'ccl', 'expe', 'dhi', 'yum', 'omc', 'pvh', 'amzn', 'bbby', 'hd', 'f', 'orly', 'foxa', 'cmcsa', 'dis', 'whr', 'vfx']",https://twitter.com/OptionsProVol/status/1354094159188029440,False,,1,https://pbs.twimg.com/media/Esq1dL9VcAAUA9F.jpg,,,,,,,[],,,,
1354082291383988226,1354082291383988226,2021-01-26 16:02:30 CET,2021-01-26,16:02:30,+0200,1022006086872821762,communiststocks,Communist Stock Analysis,,PVH - $PVH  💰 QUOTE $PVH is DOWN ⬇ on Tue Jan 26 Currently at 94.71 USD for a -1.19% loss from previous close 📉 📉 📉  📊 ANALYSIS PVH should be nationalized ☭ ☭ ☭,en,[],[],[],0,0,0,[],"['pvh', 'pvh']",https://twitter.com/communiststocks/status/1354082291383988226,False,,0,,,,,,,,[],,,,
