id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355597916388405250,1355597916388405250,2021-01-30 20:25:03 CET,2021-01-30,20:25:03,+0200,2422703600,swingtradebot,SwingTradeBot,,Recent $RE technical alerts: Expansion Breakdown plus 8 more alerts...  https://t.co/S5WUneAPK4,en,[],['https://swingtradebot.com/equities/RE'],[],0,0,0,[],['re'],https://twitter.com/SwingTradeBot/status/1355597916388405250,False,,0,,,,,,,,[],,,,
1355541182894452740,1355541182894452740,2021-01-30 16:39:37 CET,2021-01-30,16:39:37,+0200,716737614771044352,optioncharts,max pain,,$RE Delta expiration 02/19/2021 #maxpain #options  https://t.co/P8PF9U6Pf9  https://t.co/c3dHBXp6qh,en,[],['http://maximum-pain.com/greeks/RE?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/Es_ZhYyWMAAEAPJ.jpg'],0,0,0,"['maxpain', 'options']",['re'],https://twitter.com/optioncharts/status/1355541182894452740,False,,1,https://pbs.twimg.com/media/Es_ZhYyWMAAEAPJ.jpg,,,,,,,[],,,,
1355456727404081152,1355456727404081152,2021-01-30 11:04:01 CET,2021-01-30,11:04:01,+0200,374729426,tickeron,Tickeron,,"$RE's price moved below its 50-day Moving Average on January 21, 2021. View odds for this and other indicators:  https://t.co/TZra9ABfBY #EverestReGroup #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/lyDCCmJbRn",en,[],['https://srnk.us/go/2497247'],['https://pbs.twimg.com/media/Es-MtcsVoAExqrI.png'],0,0,0,"['everestregroup', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['re'],https://twitter.com/Tickeron/status/1355456727404081152,False,,1,https://pbs.twimg.com/media/Es-MtcsVoAExqrI.png,,,,,,,[],,,,
1355327114564796418,1355325966197862400,2021-01-30 02:28:59 CET,2021-01-30,02:28:59,+0200,1202425668086194177,boosebied,boose,,@tacoswithasix $i $have $no $motiva $tion $anymo $re,en,[],[],[],1,0,1,[],"['i', 'have', 'no', 'motiva', 'tion', 'anymo', 're']",https://twitter.com/BooseBied/status/1355327114564796418,False,,0,,,,,,,,"[{'screen_name': 'tacoswithasix', 'name': 'Max', 'id': '1244763360039710721'}]",,,,
1355212214181875712,1355212213280104448,2021-01-29 18:52:25 CET,2021-01-29,18:52:25,+0200,3222699058,__tm3k,%Bot,,$CHRW - $85.14 Oversold $CCL - $18.53 Oversold $CB - $144.44 Oversold $DISH - $29.44 Oversold $DG - $196.11 Oversold $DOV - $116.64 Oversold $DOW - $52.58 Oversold $EMN - $96.76 Oversold $EW - $82.5 Oversold $EL - $237.05 Oversold $RE - $209.98 Oversold $EXPD - $90.24 Oversold,da,[],[],[],2,0,0,[],"['chrw', 'ccl', 'cb', 'dish', 'dg', 'dov', 'dow', 'emn', 'ew', 'el', 're', 'expd']",https://twitter.com/__tm3k/status/1355212214181875712,False,,0,,,,,,,,[],,,,
1355188930707120131,1355188930707120131,2021-01-29 17:19:53 CET,2021-01-29,17:19:53,+0200,2422703600,swingtradebot,SwingTradeBot,,200 DMA Support today: $CCF $RE ...  https://t.co/LjP7KUcNnp,en,[],['https://swingtradebot.com/alerts/36-200-dma-support'],[],0,0,0,[],"['ccf', 're']",https://twitter.com/SwingTradeBot/status/1355188930707120131,False,,0,,,,,,,,[],,,,
1355051577346650113,1355051577346650113,2021-01-29 08:14:06 CET,2021-01-29,08:14:06,+0200,374729426,tickeron,Tickeron,,"$RE's price moved below its 50-day Moving Average on January 21, 2021. View odds for this and other indicators:  https://t.co/xrTaXr69cr #EverestReGroup #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/j8l79QElEZ",en,[],['https://srnk.us/go/2494628'],['https://pbs.twimg.com/media/Es4cOpHUwAAcMzG.png'],0,1,0,"['everestregroup', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['re'],https://twitter.com/Tickeron/status/1355051577346650113,False,,1,https://pbs.twimg.com/media/Es4cOpHUwAAcMzG.png,,,,,,,[],,,,
1355009245784145923,1355009245784145923,2021-01-29 05:25:53 CET,2021-01-29,05:25:53,+0200,1184948132,kikibones_,Kiki Bones ☠️,,"All this talk about stocks, I’m just tryna find out $WHE $RE $THE $HOESAT ?? 📈😳👨🏾‍💻  https://t.co/K6JeqxLTA5",en,[],[],"['https://pbs.twimg.com/media/Es31uUaVEAEpOoy.jpg', 'https://pbs.twimg.com/media/Es31uUZUUAI4KS3.jpg']",1,17,113,[],"['whe', 're', 'the', 'hoesat']",https://twitter.com/KikiBones_/status/1355009245784145923,False,,1,https://pbs.twimg.com/media/Es31uUaVEAEpOoy.jpg,,,,,,,[],,,,
1354831169091604481,1354831169091604481,2021-01-28 17:38:16 CET,2021-01-28,17:38:16,+0200,3222699058,__tm3k,%Bot,,2021-01-28 08:37 PST Stock Watchlist:  $DOV - $118.66 Oversold $RE - $219.21 Oversold $IR - $42.02 Oversold $NUE - $50.13 Oversold $PKG - $132.84 Oversold $SHW - $700.97 Oversold $SYK - $231.0 Oversold $WYNN - $101.88 Oversold $DPZ - $368.77 Oversold $ACAD - $48.24 Oversold,en,[],[],[],1,1,1,[],"['dov', 're', 'ir', 'nue', 'pkg', 'shw', 'syk', 'wynn', 'dpz', 'acad']",https://twitter.com/__tm3k/status/1354831169091604481,False,,0,,,,,,,,[],,,,
1354656047940694017,1354656047940694017,2021-01-28 06:02:24 CET,2021-01-28,06:02:24,+0200,1022006086872821762,communiststocks,Communist Stock Analysis,,Everest Re Group - $RE  💰 QUOTE $RE was DOWN ⬇ on Wed Jan 27 Closed at 218.93 USD for a -3.63% loss from previous close 📉 📉 📉  📊 ANALYSIS Everest Re Group should be nationalized ☭ ☭ ☭,en,[],[],[],0,0,0,[],"['re', 're']",https://twitter.com/communiststocks/status/1354656047940694017,False,,0,,,,,,,,[],,,,
