id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355594378597855233,1355594378597855233,2021-01-30 20:11:00 CET,2021-01-30,20:11:00,+0200,753910709159886849,stockscreenerhq,StockScreenerTips,,Some #stocks making new 52-week Highs. Please do your own research.  https://t.co/Z1ApJL6eZT  $nvax $uuu $strt #trading $mrvi $cbmg #investing $boom $pubm $mrna $mstr $swks $holx $gatx $phi $rhi $artna $mbii $srrk $yala #wallstreetsbets $bgfv $sach $hyre $dgx,en,[],['https://stockscreenertips.com/stock-screeners/new-52-week-highs/'],[],1,1,2,"['stocks', 'trading', 'investing', 'wallstreetsbets']","['nvax', 'uuu', 'strt', 'mrvi', 'cbmg', 'boom', 'pubm', 'mrna', 'mstr', 'swks', 'holx', 'gatx', 'phi', 'rhi', 'artna', 'mbii', 'srrk', 'yala', 'bgfv', 'sach', 'hyre', 'dgx']",https://twitter.com/StockScreenerHQ/status/1355594378597855233,False,,0,,,,,,,,[],,,,
1355545463919931394,1355545463919931394,2021-01-30 16:56:38 CET,2021-01-30,16:56:38,+0200,1288287907116195840,kwhenfinance,Kwhen Finance,,Robert Half International Inc. Shares Near 52-Week High - Market Mover  https://t.co/6vKczs4d2c $RHI #stockmarket #kwhenfinance,en,[],['https://ayr.app/l/9umR'],[],0,0,0,"['stockmarket', 'kwhenfinance']",['rhi'],https://twitter.com/kwhenfinance/status/1355545463919931394,False,,0,,,,,,,,[],,,,
1355512124798332931,1355512124798332931,2021-01-30 14:44:09 CET,2021-01-30,14:44:09,+0200,622938389,theoneksa,مشاري 📊,,اداء المحفظة في السوق الأمريكي بعد انتهاء الأسبوع:  $CPSI شهرين $WOR شهرين $HUBG  شهرين $SPXC  شهرين $FISV شهرين $VRTU شهرين $AGX شهرين $RCKY شهرين $ANF شهر $RHI (جديد)  https://t.co/zWXJsIUNkE,ar,[],[],['https://pbs.twimg.com/media/Es-_FxQXEAoynBe.jpg'],0,0,7,[],"['cpsi', 'wor', 'hubg', 'spxc', 'fisv', 'vrtu', 'agx', 'rcky', 'anf', 'rhi']",https://twitter.com/THEONEKSA/status/1355512124798332931,False,,1,https://pbs.twimg.com/media/Es-_FxQXEAoynBe.jpg,,,,,,,[],,,,
1355487872305012740,1355487872305012740,2021-01-30 13:07:47 CET,2021-01-30,13:07:47,+0200,1184025479084331008,mehabecapital,Jeremy,,"Notable gainers among liquid option names this morning include $BBBY (+12.9%), $SWKS (+10.5%), $BIIB (+9.5%), $WDC (+8.2%), and $RHI (+6.3%),",en,[],[],[],0,0,0,[],"['bbby', 'swks', 'biib', 'wdc', 'rhi']",https://twitter.com/mehabecapital/status/1355487872305012740,False,,0,,,,,,,,[],,,,
1355414206195978240,1355414206195978240,2021-01-30 08:15:03 CET,2021-01-30,08:15:03,+0200,773578537764851712,sitefocushq,SiteFocus,,"$RHI Earnings Intelligence Analysis of recent earnings identified Robert Hall International  business focus on (billing,revenue,revenues), (growth,revenues,year-over-year), (revenues,year-over-year)   https://t.co/JcGi4HwTnK",en,[],['https://www.sitefocus.com/cif/ei/CM_rhi535120210128'],[],0,0,0,[],['rhi'],https://twitter.com/SiteFocusHQ/status/1355414206195978240,False,,0,,,,,,,,[],,,,
1355321258863280128,1355321258863280128,2021-01-30 02:05:43 CET,2021-01-30,02:05:43,+0200,2292279792,graysonroze,Grayson Roze,,"New 52-week highs, S&amp;P 1500:  25  $ABT $BKE $BOOM $CVLT $DBD $DGX $ENDP $ETH $FLGT $GATX $GHC $HMSY $HOLX $KOP $LH $LLY $MSTR $PRI $RHI $SBNY $SF $SLM $SWKS $SWN $VNDA  Charts:  https://t.co/M5I5FJCAjb  https://t.co/0eD3q5dbqG",in,[],['http://schrts.co/rRWUbkpy'],['https://pbs.twimg.com/tweet_video_thumb/Es8Rf9eUcAEXF70.jpg'],2,3,12,[],"['abt', 'bke', 'boom', 'cvlt', 'dbd', 'dgx', 'endp', 'eth', 'flgt', 'gatx', 'ghc', 'hmsy', 'holx', 'kop', 'lh', 'lly', 'mstr', 'pri', 'rhi', 'sbny', 'sf', 'slm', 'swks', 'swn', 'vnda']",https://twitter.com/GraysonRoze/status/1355321258863280128,False,,1,https://pbs.twimg.com/tweet_video_thumb/Es8Rf9eUcAEXF70.jpg,,,,,,,[],,,,
1355292291024433155,1355292291024433155,2021-01-30 00:10:36 CET,2021-01-30,00:10:36,+0200,716737614771044352,optioncharts,max pain,,$RHI Delta expiration 02/19/2021 #maxpain #options  https://t.co/tpO0r1oJj2  https://t.co/uBKB8tISn9,en,[],['http://maximum-pain.com/greeks/RHI?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/Es73KDtWMAEIkIw.jpg'],0,0,0,"['maxpain', 'options']",['rhi'],https://twitter.com/optioncharts/status/1355292291024433155,False,,1,https://pbs.twimg.com/media/Es73KDtWMAEIkIw.jpg,,,,,,,[],,,,
1355285342216183809,1355285342216183809,2021-01-29 23:43:00 CET,2021-01-29,23:43:00,+0200,1251316760722182146,derivedfromdata,Derived From Data,,Job listings were down in 88% of states in #November  More analysis:  https://t.co/KouVT3LPNw  #AlternativeData #DataScience #MachineLearning #ArtificialIntelligence #DataAnalytics #BigData #Jobs #Unemployment $RHI $RANJF $KELYA $AHEXY $AMD $GLD $USO $UA $CCL $RH $MRNA $DKNG $TM  https://t.co/bNR1ayn10p,en,[],['https://dfdnews.com/2020/12/10/jobs-recap-november-2020/'],['https://pbs.twimg.com/media/EsB09czW4AQm8kG.png'],0,2,1,"['november', 'alternativedata', 'datascience', 'machinelearning', 'artificialintelligence', 'dataanalytics', 'bigdata', 'jobs', 'unemployment']","['rhi', 'ranjf', 'kelya', 'ahexy', 'amd', 'gld', 'uso', 'ua', 'ccl', 'rh', 'mrna', 'dkng', 'tm']",https://twitter.com/derivedfromdata/status/1355285342216183809,False,,1,https://pbs.twimg.com/media/EsB09czW4AQm8kG.png,,,,,,,[],,,,
1355280331650199553,1355280331650199553,2021-01-29 23:23:05 CET,2021-01-29,23:23:05,+0200,118857460,tackletrading,Tackle Trading,,$WDC gained over 7% and is Friday's top performing $SPX #stock; $SWKS $BIIB and $HOLX each gained over 5% while $DGX $RHI $LH and $DHR all closed up over 4% on the day #trading,en,[],[],[],0,0,0,"['stock', 'trading']","['wdc', 'spx', 'swks', 'biib', 'holx', 'dgx', 'rhi', 'lh', 'dhr']",https://twitter.com/TackleTrading/status/1355280331650199553,False,,0,,,,,,,,[],,,,
1355279863230255107,1355279863230255107,2021-01-29 23:21:13 CET,2021-01-29,23:21:13,+0200,118857460,tackletrading,Tackle Trading,,$SPX #stocks $ABT $DGX $HOLX $LH $LLY $RHI and $SWKS each put in new 52 week highs Friday; no $SPX companies hit new 52 week lows #trading,en,[],[],[],0,0,0,"['stocks', 'trading']","['spx', 'abt', 'dgx', 'holx', 'lh', 'lly', 'rhi', 'swks', 'spx']",https://twitter.com/TackleTrading/status/1355279863230255107,False,,0,,,,,,,,[],,,,
