id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355655037540835329,1355655037540835329,2021-01-31 00:12:02 CET,2021-01-31,00:12:02,+0200,323138766,focus_on_dvds,Focus on Dividends,,"Notable Analyst Upgrades and Downgrades for Week of January 25, 2021 $ADP, $AXP, $BAC, $CL, $CMCSA, $D, $DG, $FRT, $GLW, $KMB, $KR, $MMM, $PG, $PPG, $ROK, $SYY, $TXN, $WFC, $WMT, $WSM  https://t.co/a8ESYoEO36  https://t.co/k5RfpUqWUl",en,[],['https://buff.ly/3cnv4GM'],['https://pbs.twimg.com/media/EtBBEo-W4AkBXcy.jpg'],0,0,0,[],"['adp', 'axp', 'bac', 'cl', 'cmcsa', 'd', 'dg', 'frt', 'glw', 'kmb', 'kr', 'mmm', 'pg', 'ppg', 'rok', 'syy', 'txn', 'wfc', 'wmt', 'wsm']",https://twitter.com/Focus_on_Dvds/status/1355655037540835329,False,,1,https://pbs.twimg.com/media/EtBBEo-W4AkBXcy.jpg,,,,,,,[],,,,
1355586997151289345,1355586997151289345,2021-01-30 19:41:40 CET,2021-01-30,19:41:40,+0200,895929863521095680,tradeflags,TradeFlags,,"#GIndustry #BUY WK4 $HDD.DE, $PH, $NDSN, $MMM, $AOS, $ROK, $DOV, $GNRC  #Diversified #Industrials $DIA $XLI #growthstocks #stocks #finance #investment  https://t.co/GMfZXq2NVR  https://t.co/kLAjzG1dm1",in,[],['https://tinyurl.com/yyjyelzq'],['https://pbs.twimg.com/media/EtADMHuXIAEMV30.png'],0,0,0,"['gindustry', 'buy', 'diversified', 'industrials', 'growthstocks', 'stocks', 'finance', 'investment']","['hdd.de', 'ph', 'ndsn', 'mmm', 'aos', 'rok', 'dov', 'gnrc', 'dia', 'xli']",https://twitter.com/TradeFlags/status/1355586997151289345,False,,1,https://pbs.twimg.com/media/EtADMHuXIAEMV30.png,,,,,,,[],,,,
1355535748406120453,1355535748406120453,2021-01-30 16:18:01 CET,2021-01-30,16:18:01,+0200,323138766,focus_on_dvds,Focus on Dividends,,"Notable Analyst #Upgrades and #Downgrades for Week of January 25, 2021 $ADP, $AXP, $BAC, $CL, $CMCSA, $D, $DG, $FRT, $GLW, $KMB, $KR, $MMM, $PG, $PPG, $ROK, $SYY, $TXN, $WFC, $WMT, $WSM  https://t.co/a8ESYoEO36",en,[],['https://buff.ly/3cnv4GM'],[],0,1,1,"['upgrades', 'downgrades']","['adp', 'axp', 'bac', 'cl', 'cmcsa', 'd', 'dg', 'frt', 'glw', 'kmb', 'kr', 'mmm', 'pg', 'ppg', 'rok', 'syy', 'txn', 'wfc', 'wmt', 'wsm']",https://twitter.com/Focus_on_Dvds/status/1355535748406120453,False,,0,,,,,,,,[],,,,
1355510837759406080,1355510835528028161,2021-01-30 14:39:02 CET,2021-01-30,14:39:02,+0200,1276975724751212545,joshuatrader1,JoshuaTA,,$PCAR $EXPC $TER $ONEM $API $ISRG $ROK $SKLZ $4689 $ACCD $KMTUY $IONS $BEAM $TXG $RPTX $NVS $VEEV $JD $INCY $NTDOY $ADYEY $CDXS $TAK $NVDA $GOOG $MGA $DE $NIU,in,[],[],[],1,0,3,[],"['pcar', 'expc', 'ter', 'onem', 'api', 'isrg', 'rok', 'sklz', 'accd', 'kmtuy', 'ions', 'beam', 'txg', 'rptx', 'nvs', 'veev', 'jd', 'incy', 'ntdoy', 'adyey', 'cdxs', 'tak', 'nvda', 'goog', 'mga', 'de', 'niu']",https://twitter.com/Joshuatrader1/status/1355510837759406080,False,,0,,,,,,,,[],,,,
1355475308628094976,1355475308628094976,2021-01-30 12:17:51 CET,2021-01-30,12:17:51,+0200,39546678,mediasentiment,Media Sentiment®,,$ROK  new alert at  https://t.co/A7qrDarJHY  #stocks #daytrading  #NYSE #NASDAQ #market 108,en,[],['http://www.aheadsup.com/twitter/newsentiment.html?user=usequities'],[],0,0,0,"['stocks', 'daytrading', 'nyse', 'nasdaq', 'market']",['rok'],https://twitter.com/mediasentiment/status/1355475308628094976,False,,0,,,,,,,,[],,,,
1355474037523288064,1355474037523288064,2021-01-30 12:12:48 CET,2021-01-30,12:12:48,+0200,849417718642159616,themarketsdaily,The Markets Daily,,Rockwell Automation $ROK PT Lowered to $240.00  https://t.co/VzmqcfQb8l,en,[],['http://zpr.io/Rn38N'],[],0,0,0,[],['rok'],https://twitter.com/TheMarketsDaily/status/1355474037523288064,False,,0,,,,,,,,[],,,,
1355418730470240257,1355418730470240257,2021-01-30 08:33:02 CET,2021-01-30,08:33:02,+0200,323138766,focus_on_dvds,Focus on Dividends,,"Notable Analyst Upgrades and Downgrades for Week of January 25, 2021 $ADP, $AXP, $BAC, $CL, $CMCSA, $D, $DG, $FRT, $GLW, $KMB, $KR, $MMM, $PG, $PPG, $ROK, $SYY, $TXN, $WFC, $WMT, $WSM  https://t.co/a8ESYoEO36  https://t.co/KnQluhrRSG",en,[],['https://buff.ly/3cnv4GM'],['https://pbs.twimg.com/media/Es9qJxaXYAIKlTt.jpg'],0,0,0,[],"['adp', 'axp', 'bac', 'cl', 'cmcsa', 'd', 'dg', 'frt', 'glw', 'kmb', 'kr', 'mmm', 'pg', 'ppg', 'rok', 'syy', 'txn', 'wfc', 'wmt', 'wsm']",https://twitter.com/Focus_on_Dvds/status/1355418730470240257,False,,1,https://pbs.twimg.com/media/Es9qJxaXYAIKlTt.jpg,,,,,,,[],,,,
1355411689785577474,1355411689785577474,2021-01-30 08:05:03 CET,2021-01-30,08:05:03,+0200,773578537764851712,sitefocushq,SiteFocus,,"$ROK Earnings Intelligence Analysis of recent earnings identified Rockwell Automation, Inc (NYSE: ROK ) business focus on (growth,software,worldwide), (growth,worldwide), (revenue,software,worldwide)   https://t.co/1MdrTEyLel",en,[],['https://www.sitefocus.com/cif/ei/CM_rok671820210126'],[],0,0,0,[],['rok'],https://twitter.com/SiteFocusHQ/status/1355411689785577474,False,,0,,,,,,,,[],,,,
1355257153938882561,1355257153938882561,2021-01-29 21:50:59 CET,2021-01-29,21:50:59,+0200,174418461,serbbandit,Stock Cartel,,People tell me my 50k won't make a difference... I don't look at it as 50k i see 50 people that put 1k.  Peoples fight!!!  $amc $rok $gme,en,[],[],[],1,1,7,[],"['amc', 'rok', 'gme']",https://twitter.com/Serbbandit/status/1355257153938882561,False,,0,,,,,,,,[],,,,
1355243344171917312,1355243344171917312,2021-01-29 20:56:07 CET,2021-01-29,20:56:07,+0200,23059499,seekingalpha,Seeking Alpha,,"$ROK - Rockwell Stumbles A Bit Operationally, But The Street Doesn't Mind.  https://t.co/q3UdFzg0Nm #business #economy #trading",en,[],['https://seekingalpha.com/article/4402067-rockwell-stumbles-bit-operationally-street-doesnt-mind?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated'],[],0,0,0,"['business', 'economy', 'trading']",['rok'],https://twitter.com/SeekingAlpha/status/1355243344171917312,False,,0,,,,,,,,[],,,,
1355199851353563137,1355199851353563137,2021-01-29 18:03:17 CET,2021-01-29,18:03:17,+0200,61661638,americanbanking,US Banking News,,"Oppenheimer Comments on Rockwell Automation, Inc.’s Q2 2021 Earnings $ROK  https://t.co/ZwieYaZLYs #stocks",en,[],['http://americanbankingnews.com/?p=18180708'],[],0,0,0,['stocks'],['rok'],https://twitter.com/AmericanBanking/status/1355199851353563137,False,,0,,,,,,,,[],,,,
