id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355483584279134211,1355483584279134211,2021-01-30 12:50:44 CET,2021-01-30,12:50:44,+0200,374729426,tickeron,Tickeron,,"$SNA enters an Uptrend as Momentum Indicator exceeded the 0 level on January 19, 2021. View odds for this and other indicators:  https://t.co/8rvn4A4ts6 #Snap #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/fpGhBDbNnY",en,[],['https://srnk.us/go/2497437'],['https://pbs.twimg.com/media/Es-lIvpVgAA7_II.png'],0,0,0,"['snap', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['sna'],https://twitter.com/Tickeron/status/1355483584279134211,False,,1,https://pbs.twimg.com/media/Es-lIvpVgAA7_II.png,,,,,,,[],,,,
1355332439833530369,1355332439833530369,2021-01-30 02:50:09 CET,2021-01-30,02:50:09,+0200,1315434407692509184,earningsflyinc,Earningsfly Stock Research Bot,,Top 15 Industrials stocks with market cap over 1 billion in 5 days.    https://t.co/bITQUHjEfd  $PBI $IRM $MMM $SNA $ERJ $ADT $HMSY $DCI $MIDD $TRN $AJRD $INFO $SWK $GBX $IEP  🚀🚀🚀🚀🚀  https://t.co/nS5WLa1cOA,en,[],['https://www.earningsfly.com/stocks/pbi?source=twitter-bot'],['https://pbs.twimg.com/media/Es8bq4WXIAAd2AQ.jpg'],0,0,0,[],"['pbi', 'irm', 'mmm', 'sna', 'erj', 'adt', 'hmsy', 'dci', 'midd', 'trn', 'ajrd', 'info', 'swk', 'gbx', 'iep']",https://twitter.com/earningsflyinc/status/1355332439833530369,False,,1,https://pbs.twimg.com/media/Es8bq4WXIAAd2AQ.jpg,,,,,,,[],,,,
1355327227399790597,1355327227399790597,2021-01-30 02:29:26 CET,2021-01-30,02:29:26,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$CYDY CEO To Announce Major Boston Based Private Equity Fund To Make Investment In Company  https://t.co/Mv3xmUJu9A  $SNE $KND $SNA $USFD $CMC $HCEI $LEG $LBTYA $MFA $VIDA $JWN $EGN $FTV,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],0,1,1,[],"['cydy', 'sne', 'knd', 'sna', 'usfd', 'cmc', 'hcei', 'leg', 'lbtya', 'mfa', 'vida', 'jwn', 'egn', 'ftv']",https://twitter.com/askwarrenbuffet/status/1355327227399790597,False,,0,,,,,,,,[],,,,
1355188222310010880,1355188222310010880,2021-01-29 17:17:05 CET,2021-01-29,17:17:05,+0200,1294668543959523328,alltime_high,カフェモカ☕米国株新高値Daily☕,,【2021/01/28 All-Time High Daily(1/3)】 2021/01/28に新高値更新した時価総額5000位以内の銘柄は以下のとおり #新高値投資 #米国株 $MSFT $ABT $AMGN $ILMN $BX $TROW $KEYS $CERN $LOGI $IAC $UI $PTC $WISH $SNA $PNR $TTEK $IRDM $MTZ $ORA $MDLA $PRI $GME $AVIR $JCOM  https://t.co/aiY7UKRpqb,ja,[],[],"['https://pbs.twimg.com/media/Es6YfoCU0AAknj5.jpg', 'https://pbs.twimg.com/media/Es6Yf1yUwAEK7rV.jpg', 'https://pbs.twimg.com/media/Es6YgFIVgAUd28f.jpg', 'https://pbs.twimg.com/media/Es6YgUpUwAQ8Jq7.jpg']",1,1,6,"['新高値投資', '米国株']","['msft', 'abt', 'amgn', 'ilmn', 'bx', 'trow', 'keys', 'cern', 'logi', 'iac', 'ui', 'ptc', 'wish', 'sna', 'pnr', 'ttek', 'irdm', 'mtz', 'ora', 'mdla', 'pri', 'gme', 'avir', 'jcom']",https://twitter.com/alltime_high/status/1355188222310010880,False,,1,https://pbs.twimg.com/media/Es6YfoCU0AAknj5.jpg,,,,,,,[],,,,
1355049002723471360,1355049002723471360,2021-01-29 08:03:52 CET,2021-01-29,08:03:52,+0200,374729426,tickeron,Tickeron,,"$SNA enters an Uptrend because Momentum Indicator exceeded the 0 level on January 19, 2021. View odds for this and other indicators:  https://t.co/fO7BXMz1cl #Snap #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/XhCWN1v6zq",en,[],['https://srnk.us/go/2494612'],['https://pbs.twimg.com/media/Es4Z4yXVkAI_d7c.png'],0,0,0,"['snap', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['sna'],https://twitter.com/Tickeron/status/1355049002723471360,False,,1,https://pbs.twimg.com/media/Es4Z4yXVkAI_d7c.png,,,,,,,[],,,,
1354970049736548361,1354970049736548361,2021-01-29 02:50:08 CET,2021-01-29,02:50:08,+0200,1315434407692509184,earningsflyinc,Earningsfly Stock Research Bot,,Top 15 Industrials stocks with market cap over 1 billion in 5 days.    https://t.co/bITQUHjEfd  $PBI $IRM $MMM $ADT $AVYA $SNA $DCI $ERJ $SWK $ATI $GTES $GBX $MIDD $VRRM $ROP  🚀🚀🚀🚀🚀  https://t.co/G8Eu1uBK40,en,[],['https://www.earningsfly.com/stocks/pbi?source=twitter-bot'],['https://pbs.twimg.com/media/Es3SFAAWMAgaHuY.jpg'],0,0,0,[],"['pbi', 'irm', 'mmm', 'adt', 'avya', 'sna', 'dci', 'erj', 'swk', 'ati', 'gtes', 'gbx', 'midd', 'vrrm', 'rop']",https://twitter.com/earningsflyinc/status/1354970049736548361,False,,1,https://pbs.twimg.com/media/Es3SFAAWMAgaHuY.jpg,,,,,,,[],,,,
1354910616125890560,1353148383641350145,2021-01-28 22:53:58 CET,2021-01-28,22:53:58,+0200,416433733,nvest_in_you,Stepping Stone Trader,,We got our test at the top of the channel. Let's see what happens next week. $SNA  https://t.co/0yY9ETEjWH,en,[],[],['https://pbs.twimg.com/media/Es2b2tTXUAYZGqX.jpg'],0,0,0,[],['sna'],https://twitter.com/Nvest_In_You/status/1354910616125890560,False,,1,https://pbs.twimg.com/media/Es2b2tTXUAYZGqX.jpg,,,,,,,[],,,,
1354901685378772994,1354901685378772994,2021-01-28 22:18:29 CET,2021-01-28,22:18:29,+0200,118857460,tackletrading,Tackle Trading,,$SPX #stocks $ABMD $ABT $AMGN $AOS $CERN $ILMN $KEYS $MSFT $PNR $SNA and $TRWO each put in new 52 week highs Thursday; no $SPX companies hit new 52 week lows #trading,en,[],[],[],0,0,0,"['stocks', 'trading']","['spx', 'abmd', 'abt', 'amgn', 'aos', 'cern', 'ilmn', 'keys', 'msft', 'pnr', 'sna', 'trwo', 'spx']",https://twitter.com/TackleTrading/status/1354901685378772994,False,,0,,,,,,,,[],,,,
1354866940993548296,1354866940993548296,2021-01-28 20:00:25 CET,2021-01-28,20:00:25,+0200,1022006086872821762,communiststocks,Communist Stock Analysis,,Snap-on - $SNA  💰 QUOTE $SNA is DOWN ⬇ on Thu Jan 28 Currently at 185.34 USD for a -1.20% loss from previous close 📉 📉 📉  📊 ANALYSIS Snap-on should be nationalized ☭ ☭ ☭,en,[],[],[],0,0,0,[],"['sna', 'sna']",https://twitter.com/communiststocks/status/1354866940993548296,False,,0,,,,,,,,[],,,,
1354805945822367755,1354805945822367755,2021-01-28 15:58:03 CET,2021-01-28,15:58:03,+0200,2422703600,swingtradebot,SwingTradeBot,,New 52 Week High today: $KEYS $NEA $LOCO $UI $ABT $BKE $CORN $WBAI $ORA $AOS $SNA $SMB $VIRT $CLDR $MTZ $FIX $MUI $ABMD $AG $XRT ...  https://t.co/4Iw0Qf8EgG,in,[],['https://swingtradebot.com/alerts/27-new-52-week-high'],[],0,0,0,[],"['keys', 'nea', 'loco', 'ui', 'abt', 'bke', 'corn', 'wbai', 'ora', 'aos', 'sna', 'smb', 'virt', 'cldr', 'mtz', 'fix', 'mui', 'abmd', 'ag', 'xrt']",https://twitter.com/SwingTradeBot/status/1354805945822367755,False,,0,,,,,,,,[],,,,
