id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355662019245068288,1355662019245068288,2021-01-31 00:39:47 CET,2021-01-31,00:39:47,+0200,1257046161820655617,marc_stohr,Marc Stöhr,,That sounds very profitable. I think Tyson is well placed $TSN 💪🏼📈,en,[],[],[],0,0,1,[],['tsn'],https://twitter.com/marc_stohr/status/1355662019245068288,False,https://twitter.com/EdmondADantes/status/1355653435337699333,0,,,,,,,,[],,,,
1355658898678669314,1303799502839611393,2021-01-31 00:27:23 CET,2021-01-31,00:27:23,+0200,4439173544,edmondadantes,Edmond Dantès,,"@T_Blatt @TysonFoods @TysonFoods @TysonFoodsCEO the company should be evangelizing it's #Robotics and #AI capabilities. Why not get $TSN investors excited about the #future: ""Tyson Turns to Robot Butchers, Spurred by Coronavirus Outbreaks - WSJ""  https://t.co/kRr2vjkn6v",en,[],['https://www.wsj.com/amp/articles/meatpackers-covid-safety-automation-robots-coronavirus-11594303535'],[],0,0,0,"['robotics', 'ai', 'future']",['tsn'],https://twitter.com/EdmondADantes/status/1355658898678669314,False,,0,,,,,,,,"[{'screen_name': 'T_Blatt', 'name': 'Tyson Blätter', 'id': '2344472372'}, {'screen_name': 'TysonFoods', 'name': 'Tyson Foods', 'id': '15836048'}]",,,,
1355653858756874241,1354235067556646915,2021-01-31 00:07:21 CET,2021-01-31,00:07:21,+0200,4439173544,edmondadantes,Edmond Dantès,,"@katieeperry @RampCapitalLLC I went long on $TSN. Technology investments will at off big for them: ""Tyson Turns to Robot Butchers, Spurred by Coronavirus Outbreaks - WSJ""  https://t.co/kRr2vjkn6v",en,[],['https://www.wsj.com/amp/articles/meatpackers-covid-safety-automation-robots-coronavirus-11594303535'],[],0,0,0,[],['tsn'],https://twitter.com/EdmondADantes/status/1355653858756874241,False,,0,,,,,,,,"[{'screen_name': 'katieeperry', 'name': 'Katie Perry', 'id': '17246902'}, {'screen_name': 'RampCapitalLLC', 'name': 'Ramp Capital', 'id': '2214652482'}]",,,,
1355653435337699333,1355540736515727378,2021-01-31 00:05:40 CET,2021-01-31,00:05:40,+0200,4439173544,edmondadantes,Edmond Dantès,,"@marc_stohr @Vijayraj11122 I went long $TSN. Technology automation will drive profits: ""Tyson Turns to Robot Butchers, Spurred by Coronavirus Outbreaks - WSJ""  https://t.co/kRr2vjkn6v",en,[],['https://www.wsj.com/amp/articles/meatpackers-covid-safety-automation-robots-coronavirus-11594303535'],[],0,1,1,[],['tsn'],https://twitter.com/EdmondADantes/status/1355653435337699333,False,,0,,,,,,,,"[{'screen_name': 'marc_stohr', 'name': 'Marc Stöhr', 'id': '1257046161820655617'}, {'screen_name': 'Vijayraj11122', 'name': 'Vijay', 'id': '1351544588519915520'}]",,,,
1355652895543336967,1355331154350661632,2021-01-31 00:03:31 CET,2021-01-31,00:03:31,+0200,4439173544,edmondadantes,Edmond Dantès,,"@CarterTooCold I went long on $TSN. Robotics and AI investments will pay off big: ""Tyson Turns to Robot Butchers, Spurred by Coronavirus Outbreaks - WSJ""  https://t.co/kRr2vjkn6v",en,[],['https://www.wsj.com/amp/articles/meatpackers-covid-safety-automation-robots-coronavirus-11594303535'],[],0,0,0,[],['tsn'],https://twitter.com/EdmondADantes/status/1355652895543336967,False,,0,,,,,,,,"[{'screen_name': 'CarterTooCold', 'name': 'Carter 🥶', 'id': '1281095226501840896'}]",,,,
1355652129973796866,1354902714619027456,2021-01-31 00:00:29 CET,2021-01-31,00:00:29,+0200,4439173544,edmondadantes,Edmond Dantès,,"@loveandthevoid Going long on $TSN is a good move. They are making big investments in robotics and AI that will drive revenue/profits: ""Tyson Turns to Robot Butchers, Spurred by Coronavirus Outbreaks - WSJ""  https://t.co/kRr2vjkn6v",en,[],['https://www.wsj.com/amp/articles/meatpackers-covid-safety-automation-robots-coronavirus-11594303535'],[],0,0,0,[],['tsn'],https://twitter.com/EdmondADantes/status/1355652129973796866,False,,0,,,,,,,,"[{'screen_name': 'loveandthevoid', 'name': 'void', 'id': '952066221326843904'}]",,,,
1355635911451697153,1355635911451697153,2021-01-30 22:56:02 CET,2021-01-30,22:56:02,+0200,1315434407692509184,earningsflyinc,Earningsfly Stock Research Bot,,"Tyson Foods, Inc current quarter revenue growth YoY of 204.70% ranked 134 out of 5427 companies in our database.    https://t.co/UthPjgeBRK $TSN  🚀🚀🚀🚀🚀  https://t.co/VZfqaLFFus",en,[],['https://www.earningsfly.com/stocks/tsn?source=twitter-bot'],['https://pbs.twimg.com/media/EtAvrWpXEAcbbmk.png'],0,0,1,[],['tsn'],https://twitter.com/earningsflyinc/status/1355635911451697153,False,,1,https://pbs.twimg.com/media/EtAvrWpXEAcbbmk.png,,,,,,,[],,,,
1355544545728090116,1355540736515727378,2021-01-30 16:52:59 CET,2021-01-30,16:52:59,+0200,1257046161820655617,marc_stohr,Marc Stöhr,,@Vijayraj11122 $TSN 💪🏼💪🏼ready,en,[],[],[],1,0,1,[],['tsn'],https://twitter.com/marc_stohr/status/1355544545728090116,False,,0,,,,,,,,"[{'screen_name': 'Vijayraj11122', 'name': 'Vijay', 'id': '1351544588519915520'}]",,,,
1355540736515727378,1355540736515727378,2021-01-30 16:37:50 CET,2021-01-30,16:37:50,+0200,1351544588519915520,vijayraj11122,Vijay,,Update+Alerts+watchlist  All are here in this discord group 📌    📕⏳🟡70k+members   $WYNN $HOME $KNDI $MOBL $CBAT $NOW $PYPL $FB $GLD $TDOC $AMD $QQQ $BLNK $INTC $NFLX $BABA $BTC.X $MU $MOMO $TSN $FEYS $CAKE $SPAQ $KODK $QCOM $DOW $GOOGL $DOW $TDOC $AAL  https://t.co/ilxS1wNdhb,en,[],[],['https://pbs.twimg.com/media/Es_ZHG9W8AAIQG_.jpg'],1,0,1,[],"['wynn', 'home', 'kndi', 'mobl', 'cbat', 'now', 'pypl', 'fb', 'gld', 'tdoc', 'amd', 'qqq', 'blnk', 'intc', 'nflx', 'baba', 'btc.x', 'mu', 'momo', 'tsn', 'feys', 'cake', 'spaq', 'kodk', 'qcom', 'dow', 'googl', 'dow', 'tdoc', 'aal']",https://twitter.com/Vijayraj11122/status/1355540736515727378,False,,1,https://pbs.twimg.com/media/Es_ZHG9W8AAIQG_.jpg,,,,,,,[],,,,
1355483385674797057,1347495502988914689,2021-01-30 12:49:57 CET,2021-01-30,12:49:57,+0200,2511270283,txapieh,Txapi,,Ayer salí de $TSN a 64.46$ aunque todavía no ha dado señal de venta ya que no ha perdido las medias.,es,[],[],[],0,0,1,[],['tsn'],https://twitter.com/Txapieh/status/1355483385674797057,False,,0,,,,,,,,[],,,,
