id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355639364852862989,1355639364852862989,2021-01-30 23:09:45 CET,2021-01-30,23:09:45,+0200,716737614771044352,optioncharts,max pain,,$TYL Delta expiration 02/19/2021 #maxpain #options  https://t.co/a6rKl5bk3v  https://t.co/Fv1QUq6GzI,en,[],['http://maximum-pain.com/greeks/TYL?m=02%2f19%2f2021'],['https://pbs.twimg.com/media/EtAy0aPXcAMA3O9.jpg'],0,0,0,"['maxpain', 'options']",['tyl'],https://twitter.com/optioncharts/status/1355639364852862989,False,,1,https://pbs.twimg.com/media/EtAy0aPXcAMA3O9.jpg,,,,,,,[],,,,
1355583638050664448,1355583638050664448,2021-01-30 19:28:19 CET,2021-01-30,19:28:19,+0200,895929863521095680,tradeflags,TradeFlags,,"#GIndustry #SELL WK4 $COUP, $ESTC, $RNG, $AYX, $PEGA, $RPD, $FSLY, $TEAM, $TYL, $ANSS  #Software #Apps $VGT $FTEC $XT #growthstocks #stocks #finance #investment  https://t.co/ZLiWsasf1f  https://t.co/DPEgZzGwTT",in,[],['https://tinyurl.com/y27qjvye'],['https://pbs.twimg.com/media/EtAAInpXIAImV6S.png'],0,0,0,"['gindustry', 'sell', 'software', 'apps', 'growthstocks', 'stocks', 'finance', 'investment']","['coup', 'estc', 'rng', 'ayx', 'pega', 'rpd', 'fsly', 'team', 'tyl', 'anss', 'vgt', 'ftec', 'xt']",https://twitter.com/TradeFlags/status/1355583638050664448,False,,1,https://pbs.twimg.com/media/EtAAInpXIAImV6S.png,,,,,,,[],,,,
1355533032808194050,1355533032808194050,2021-01-30 16:07:14 CET,2021-01-30,16:07:14,+0200,237930369,alexisoomoz,Alexis Zoomo,,$TDG $Y $BIO $FCNCA $MKTX $NOW $ALGN $GHC $CHE $NVDA $FICO $ONEQ $ABDE $IDXX $ASML $REGN $LRCX $TMO $UHAL $ORLY $PAYC $RH $MSCI $AVGO $TYL $ROP $TFX $HUM $GWW $DJCO $NEU $BYDDF &amp; $SNDL  https://t.co/1wXMDaUoJZ retweet #retweet,ht,[],['https://stocktwits.com/symbol/SNDL'],[],0,0,0,['retweet'],"['tdg', 'y', 'bio', 'fcnca', 'mktx', 'now', 'algn', 'ghc', 'che', 'nvda', 'fico', 'oneq', 'abde', 'idxx', 'asml', 'regn', 'lrcx', 'tmo', 'uhal', 'orly', 'payc', 'rh', 'msci', 'avgo', 'tyl', 'rop', 'tfx', 'hum', 'gww', 'djco', 'neu', 'byddf', 'sndl']",https://twitter.com/Alexisoomoz/status/1355533032808194050,False,,0,,,,,,,,[],,,,
1355499294741041155,1355499290672521218,2021-01-30 13:53:10 CET,2021-01-30,13:53:10,+0200,71185856,chipssaas,Chips & SaaS,,2/3  2/8 $BLKB $CDK $CHGG $NUAN $VRNS 2/9 $AKAM $AYX $CDAY $FISV $LYFT $MODN $RPD Pre-mkt $AVYA 2/10 $AVLR $EGAN $LUMN $PAYC $QLYS $SSNC $TLND $TYL $UBER $Z $ZG Pre-mkt $CRTO 2/11 $BL $DDOG $DIS $FROG $HUBS $JCOM $LLNW $NET $SPSC $TWOU Pre-mkt $CYBR $NSIT $ZBRA 2/16 $CSOD,en,[],[],[],1,0,3,[],"['blkb', 'cdk', 'chgg', 'nuan', 'vrns', 'akam', 'ayx', 'cday', 'fisv', 'lyft', 'modn', 'rpd', 'avya', 'avlr', 'egan', 'lumn', 'payc', 'qlys', 'ssnc', 'tlnd', 'tyl', 'uber', 'z', 'zg', 'crto', 'bl', 'ddog', 'dis', 'frog', 'hubs', 'jcom', 'llnw', 'net', 'spsc', 'twou', 'cybr', 'nsit', 'zbra', 'csod']",https://twitter.com/ChipsSaas/status/1355499294741041155,False,,0,,,,,,,,[],,,,
1355496846806953987,1355496846806953987,2021-01-30 13:43:26 CET,2021-01-30,13:43:26,+0200,1134049078424162304,newsfilterio,Investor News,,"$100,375.00 of shares sold by Brattain Donald R (Director), reported in a new form 4 filed with the SEC  $TYL  https://t.co/jAFnQe7War",en,[],['https://newsfilter.io/articles/4-form---statement-of-changes-in-beneficial-ownership-of-securities---tyler-technologies-inc-0000860-4fc2e826f8d7845de88731947cff7809'],[],0,0,0,[],['tyl'],https://twitter.com/newsfilterio/status/1355496846806953987,False,,0,,,,,,,,[],,,,
1355495587286818819,1355495587286818819,2021-01-30 13:38:26 CET,2021-01-30,13:38:26,+0200,1134049078424162304,newsfilterio,Investor News,,"1,099 shares sold by Brattain Donald R (Director), reported in a new form 4 filed with the SEC  $TYL  https://t.co/1XHWGFMmjw",en,[],['https://newsfilter.io/articles/4-form---statement-of-changes-in-beneficial-ownership-of-securities---tyler-technologies-inc-0000860-2ac0e327bbc3f99ee72d2c7434686e26'],[],0,0,0,[],['tyl'],https://twitter.com/newsfilterio/status/1355495587286818819,False,,0,,,,,,,,[],,,,
1355193095353204745,1355193095353204745,2021-01-29 17:36:26 CET,2021-01-29,17:36:26,+0200,4312114277,fintel_io,Fintel,,"Insider Donald R Brattain reports selling 275 shares of $TYL for a total cost of $100,375.00  https://t.co/w5mLCdrxjF",en,[],['https://fintel.io/n/us/tyl/brattain-donald-r?utm_source=Twitter&utm_medium=Social&utm_campaign=insider'],[],0,0,0,[],['tyl'],https://twitter.com/fintel_io/status/1355193095353204745,False,,0,,,,,,,,[],,,,
1355169978568339462,1355169978568339462,2021-01-29 16:04:35 CET,2021-01-29,16:04:35,+0200,2422703600,swingtradebot,SwingTradeBot,,Rose Above 50 DMA today: $SCHO $SA $IMTX $GLD $SIL $APA $PGEN $GPL $MLND $TYL $AMBO $TCON $SYRS $VACQU $SLVP $CLRB $BZQ $JHS $HOLI $RYAM ...  https://t.co/qwiJH6vr1O,en,[],['https://swingtradebot.com/alerts/16-rose-above-50-dma'],[],0,0,0,[],"['scho', 'sa', 'imtx', 'gld', 'sil', 'apa', 'pgen', 'gpl', 'mlnd', 'tyl', 'ambo', 'tcon', 'syrs', 'vacqu', 'slvp', 'clrb', 'bzq', 'jhs', 'holi', 'ryam']",https://twitter.com/SwingTradeBot/status/1355169978568339462,False,,0,,,,,,,,[],,,,
1355030183527342081,1355030183527342081,2021-01-29 06:49:05 CET,2021-01-29,06:49:05,+0200,374729426,tickeron,Tickeron,,"$TYL's price moved above its 50-day Moving Average on January 27, 2021. View odds for this and other indicators:  https://t.co/cdku4iirot #TylerTechnologies #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/TYsbkmqu7X",en,[],['https://srnk.us/go/2494490'],['https://pbs.twimg.com/media/Es4IxXVVcAACIB4.jpg'],0,0,0,"['tylertechnologies', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['tyl'],https://twitter.com/Tickeron/status/1355030183527342081,False,,1,https://pbs.twimg.com/media/Es4IxXVVcAACIB4.jpg,,,,,,,[],,,,
1354923147124989958,1354901059156783104,2021-01-28 23:43:46 CET,2021-01-28,23:43:46,+0200,2440446554,logos_lp,Logos LP,,"@RampCapitalLLC $etsy, $kc, $zi, $tyl",en,[],[],[],0,0,1,[],"['etsy', 'kc', 'zi', 'tyl']",https://twitter.com/Logos_LP/status/1354923147124989958,False,,0,,,,,,,,"[{'screen_name': 'RampCapitalLLC', 'name': 'Ramp Capital', 'id': '2214652482'}]",,,,
1354908468826824705,1354901059156783104,2021-01-28 22:45:26 CET,2021-01-28,22:45:26,+0200,492399648,lockhartorigin,Zachary Lockhart,,"@RampCapitalLLC I'm seeing shockingly few mentions of $TSLA, which despite valuation issues, has a great wealth of brainpower and thus future earnings potential. other moat or smart plays for 20 years:  $FB $DIS $TYL $IJR $ABNB (valuation issue) $ISRG (valuation issue) $NKE (valuation issue)",en,[],[],[],2,0,1,[],"['tsla', 'fb', 'dis', 'tyl', 'ijr', 'abnb', 'isrg', 'nke']",https://twitter.com/LockhartOrigin/status/1354908468826824705,False,,0,,,,,,,,"[{'screen_name': 'RampCapitalLLC', 'name': 'Ramp Capital', 'id': '2214652482'}]",,,,
