id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355661592881463299,1355660657442566150,2021-01-31 00:38:05 CET,2021-01-31,00:38:05,+0200,439684440,notyopapa,not your father but you can call me daddy,,@DejaBrewTrades My watch list from my portfolio right now for near-future discounts: $DAL $BA $INTC $MSFT $KO $MO $NRZ $SPHD $RDS.B $AWK $LULU $NVDA $WM $QCLN $DRIV $CLOU $ONLN $MPLX $HTEC $SPHD $LIT,en,[],[],[],1,0,1,[],"['dal', 'ba', 'intc', 'msft', 'ko', 'mo', 'nrz', 'sphd', 'rds.b', 'awk', 'lulu', 'nvda', 'wm', 'qcln', 'driv', 'clou', 'onln', 'mplx', 'htec', 'sphd', 'lit']",https://twitter.com/notyopapa/status/1355661592881463299,False,,0,,,,,,,,"[{'screen_name': 'DejaBrewTrades', 'name': 'Dejaßrew | OTG 🏝', 'id': '950475551365586945'}]",,,,
1355606711982190594,1355606711982190594,2021-01-30 21:00:00 CET,2021-01-30,21:00:00,+0200,1028118296200007680,getirked,Irk,,"#PandemicPortfolio #13  In a busy &amp; volatile update, I talk  #outperformance; add to #BarrickGold $GOLD, #Pepsi $PEP, #UnitedHealth $UNH &amp; #WasteManagement $WM; &amp; I collect #DigitalRealty $DLR dividends.  Don't get mad, #GetIrked &amp; follow along for free:  https://t.co/nZiwQAKRPk  https://t.co/9JkKvsQgcn",en,[],['http://bit.ly/Gi-PP13'],"['https://pbs.twimg.com/media/Es77wDqUcAAFtlb.jpg', 'https://pbs.twimg.com/media/Es77wDqUUAcOODI.jpg', 'https://pbs.twimg.com/media/Es77wDqVgAAtNVu.jpg']",0,0,0,"['pandemicportfolio', 'outperformance', 'barrickgold', 'pepsi', 'unitedhealth', 'wastemanagement', 'digitalrealty', 'getirked']","['gold', 'pep', 'unh', 'wm', 'dlr']",https://twitter.com/GetIrked/status/1355606711982190594,False,,1,https://pbs.twimg.com/media/Es77wDqUcAAFtlb.jpg,,,,,,,[],,,,
1355560948824608771,1355560948824608771,2021-01-30 17:58:09 CET,2021-01-30,17:58:09,+0200,1264325424865087488,blockholdings,Block Holdings,,"What are your favorite “set it and forget it stocks”   Mine are $JNJ, $SBUX, $WM",en,[],[],[],2,1,3,[],"['jnj', 'sbux', 'wm']",https://twitter.com/BlockHoldings/status/1355560948824608771,False,,0,,,,,,,,[],,,,
1355560366676164612,1355326565123465216,2021-01-30 17:55:51 CET,2021-01-30,17:55:51,+0200,1302255730918076416,invest4decades,Roy,,"Moves made this month, sold of my cost basis in $CDLX to add to positions in $V $WM $VEEV and $INMD.",en,[],[],[],0,0,0,[],"['cdlx', 'v', 'wm', 'veev', 'inmd']",https://twitter.com/Invest4decades/status/1355560366676164612,False,,0,,,,,,,,[],,,,
1355538056573546502,1355538056573546502,2021-01-30 16:27:12 CET,2021-01-30,16:27:12,+0200,1689636164,sappcms,Mitch,,"Waste Management Inc. (WM) Rises 1.04% for January 28 | Equities News | 4Q earnings reporting before market opening on Thursday, February 18, 2021 | $WM  https://t.co/4MPKVNO9uf",en,[],['https://www.equities.com/news/waste-management-inc-wm-rises-1-04-for-january-28'],[],0,0,0,[],['wm'],https://twitter.com/sappcms/status/1355538056573546502,False,,0,,,,,,,,[],,,,
1355449508415504387,1355449508415504387,2021-01-30 10:35:20 CET,2021-01-30,10:35:20,+0200,374729426,tickeron,Tickeron,,$WM in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators:  https://t.co/4saG3QtyhB #WasteManagement #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  https://t.co/wUGxnXNzM3,en,[],['https://srnk.us/go/2497200'],['https://pbs.twimg.com/media/Es-GJQuVoAQP1im.jpg'],0,0,0,"['wastemanagement', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",['wm'],https://twitter.com/Tickeron/status/1355449508415504387,False,,1,https://pbs.twimg.com/media/Es-GJQuVoAQP1im.jpg,,,,,,,[],,,,
1355341378855837698,1355326565123465216,2021-01-30 03:25:40 CET,2021-01-30,03:25:40,+0200,1296603134136070144,envisliberty,Envisliberty,,"@Invest4decades Great portfolio, dude. Bravo.  Just my opinion: 1. Invest a significant portion of your money in crypto (half of that in BTC) 2. Your stake in $JMIA is too high - Invest in ""the future"", not racial clichés 3. $WM $ZBRA $V &amp; $PAGS are not excellent long-term investment options.",en,[],[],[],1,0,0,[],"['jmia', 'wm', 'zbra', 'v', 'pags']",https://twitter.com/envisliberty/status/1355341378855837698,False,,0,,,,,,,,"[{'screen_name': 'Invest4decades', 'name': 'Roy', 'id': '1302255730918076416'}]",,,,
1355339211310723076,1355339211310723076,2021-01-30 03:17:03 CET,2021-01-30,03:17:03,+0200,586116334,askwarrenbuffet,Ask Warren HQ,,$BTSC Confirmation Coming Of New Non Toxic Shareholder Friendly Line Of Credit From JP Morgan $JPM  https://t.co/Mv3xmUJu9A  $WM $KBR $AGN $NI $CPB $ABB $XNET $PSX $DFCO $SC $IVZ $CLX  $EOG $XSNX $AAOI $NKTR,en,[],['https://askwarrenhq.blogspot.com/p/breaking-news.html'],[],1,0,1,[],"['btsc', 'jpm', 'wm', 'kbr', 'agn', 'ni', 'cpb', 'abb', 'xnet', 'psx', 'dfco', 'sc', 'ivz', 'clx', 'eog', 'xsnx', 'aaoi', 'nktr']",https://twitter.com/askwarrenbuffet/status/1355339211310723076,False,,0,,,,,,,,[],,,,
1355326565123465216,1355326565123465216,2021-01-30 02:26:48 CET,2021-01-30,02:26:48,+0200,1302255730918076416,invest4decades,Roy,,"Current holdings, end of January. $JMIA 11.6% $SQ  8.8% $TTD 7.8% $MELI 7.6% $TDOC 6.5% $STNE 6.4% $PINS 5.2% $VEEV 4.7% $AVLR 4.2% $PYPL 4% $MTLS 3.8% $INMD 3.8% $CRWD 3.7% $LPSN 3.4% $CDLX 3.3% $WM 3.3% $ZBRA 2.6% $V 2.6% $BABA 2.6% $DKNG 2.1% $PAGS 2%",und,[],[],[],3,1,1,[],"['jmia', 'sq', 'ttd', 'meli', 'tdoc', 'stne', 'pins', 'veev', 'avlr', 'pypl', 'mtls', 'inmd', 'crwd', 'lpsn', 'cdlx', 'wm', 'zbra', 'v', 'baba', 'dkng', 'pags']",https://twitter.com/Invest4decades/status/1355326565123465216,False,,0,,,,,,,,[],,,,
1355323809138499587,1355312202560000002,2021-01-30 02:15:51 CET,2021-01-30,02:15:51,+0200,1354857450818527233,silverspot225,Silverspot225,,@Wealth_Theory Silver/Gold Junior explorers. Will jump 10-25x once silver/Gold breaks through. $SVE $DSV $BBB $BHS $MTS $EVER $WM $ELY $TUO,en,[],[],[],0,0,0,[],"['sve', 'dsv', 'bbb', 'bhs', 'mts', 'ever', 'wm', 'ely', 'tuo']",https://twitter.com/silverspot225/status/1355323809138499587,False,,0,,,,,,,,"[{'screen_name': 'Wealth_Theory', 'name': 'Wealth Theory ™', 'id': '1090068803562684419'}]",,,,
