order;AAPL;AMD;AMZN;FB;INTC;MSFT;NFLX;NVDA;TSLA;TWTR
(1, 1);0.5703125;0.546875;-1.0;-1.0;0.5078125;-1.0;-1.0;0.609375;-1.0;-1.0
(1, 2);-1.0;-1.0;-1.0;0.5078125;0.515625;0.5;0.5859375;0.6015625;-1.0;-1.0
(1, 3);-1.0;0.5390625;-1.0;-1.0;-1.0;0.5078125;-1.0;0.609375;-1.0;-1.0
(1, 4);-1.0;0.5390625;0.5546875;-1.0;0.5390625;0.4921875;0.5703125;0.609375;-1.0;-1.0
(1, 5);-1.0;-1.0;-1.0;-1.0;0.53125;0.4765625;0.5703125;0.609375;-1.0;-1.0
(2, 1);0.5703125;0.53125;0.546875;-1.0;0.546875;-1.0;0.6015625;-1.0;-1.0;0.515625
(2, 2);-1.0;0.5234375;-1.0;0.5;0.5234375;-1.0;-1.0;-1.0;-1.0;0.515625
(2, 3);-1.0;-1.0;-1.0;-1.0;0.5234375;-1.0;0.59375;-1.0;-1.0;-1.0
(2, 4);-1.0;-1.0;-1.0;-1.0;0.515625;0.46875;-1.0;0.5703125;-1.0;-1.0
(2, 5);-1.0;-1.0;0.5390625;0.5078125;0.5234375;-1.0;0.6171875;-1.0;-1.0;-1.0
(3, 1);-1.0;0.5390625;-1.0;-1.0;0.59375;-1.0;-1.0;0.5703125;-1.0;0.5078125
(3, 2);-1.0;0.5390625;-1.0;-1.0;0.578125;-1.0;-1.0;-1.0;-1.0;-1.0
(3, 3);-1.0;0.5390625;-1.0;0.515625;0.578125;-1.0;0.59375;0.5703125;-1.0;-1.0
(3, 4);-1.0;-1.0;-1.0;0.484375;0.515625;0.4609375;-1.0;0.5625;-1.0;-1.0
(3, 5);-1.0;0.546875;0.546875;-1.0;0.515625;0.4609375;-1.0;0.59375;-1.0;-1.0
(4, 1);-1.0;0.5390625;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;0.5078125
(4, 2);-1.0;0.53125;-1.0;-1.0;0.59375;-1.0;-1.0;-1.0;-1.0;0.5078125
(4, 3);-1.0;0.5390625;-1.0;-1.0;0.546875;0.4609375;-1.0;-1.0;-1.0;-1.0
(4, 4);-1.0;0.546875;-1.0;-1.0;0.59375;0.4609375;-1.0;-1.0;-1.0;-1.0
(4, 5);-1.0;0.546875;0.5625;-1.0;0.5390625;0.4609375;-1.0;0.6015625;-1.0;-1.0
(5, 1);-1.0;0.5390625;-1.0;-1.0;0.5625;0.484375;-1.0;0.59375;-1.0;0.515625
(5, 2);0.5625;0.546875;-1.0;-1.0;0.5625;0.484375;-1.0;-1.0;-1.0;0.515625
(5, 3);-1.0;0.546875;-1.0;-1.0;0.5703125;0.4765625;0.5859375;0.59375;-1.0;0.5078125
(5, 4);-1.0;0.5390625;-1.0;-1.0;0.5390625;-1.0;-1.0;0.609375;-1.0;0.515625
(5, 5);-1.0;0.546875;-1.0;0.5;-1.0;0.46875;0.5859375;0.59375;-1.0;0.5078125
