;mean;std
ml_sentiment;0.4107;0.1855
pct_pos;0.4283;0.0742
pct_neg;0.0733;0.0478
volume;21,272,286.7371;18,463,098.6026
num_tweets;190.162;188.2602
return;0.0013;0.0172
label;0.5575;0.497
return_lag2;0.0013;0.0172
senti_lag2;0.4099;0.1865
ma_2;0.0013;0.0104
ms_2;0.4104;0.1344
return_lag3;0.0013;0.0172
senti_lag3;0.4091;0.1866
ma_3;0.0013;0.0081
ms_3;0.41;0.1129
return_lag4;0.0013;0.0171
senti_lag4;0.4084;0.1871
ma_4;0.0013;0.0067
ms_4;0.4095;0.1013
return_lag5;0.0013;0.0171
senti_lag5;0.4078;0.1875
ma_5;0.0013;0.0059
ms_5;0.409;0.0928
days_in_trend;0.5235;0.7467
